,prince_male,prince_female,tuple,average_male,average_female,female-male
0,-0.031776913,0.052175023,"('unsociable', 'sociable')",-0.0317769,0.052175,0.0839519
1,1.51502,1.4390659,"('unfriendly', 'friendly')",1.51502,1.4390659,-0.0759541
2,0.71131074,0.83146065,"('unlikable', 'likable')",0.7113107,0.8314607,0.12015
3,0.73695767,1.0059175,"('repellent', 'pleasant')",0.7369577,1.0059175,0.2689598
4,-6.7514505,-6.7302475,"('disliked', 'liked')",-6.7514505,-6.7302475,0.021203
5,0.105046384,0.09065128,"('distant', 'outgoing')",0.1050464,0.0906513,-0.0143951
6,0.25879267,0.21967658,"('distant', 'open')",0.2587927,0.2196766,-0.0391161
7,1.0501058,1.2526618,"('insensitive', 'sensitive')",1.0501058,1.2526618,0.202556
8,1.4531,1.2865524,"('unaffectionate', 'affectionate')",1.4531,1.2865524,-0.1665476
9,1.6875303,1.644981,"('unaffectionate', 'caring')",1.6875303,1.644981,-0.0425493
10,1.1512167,1.3688875,"('unsympathetic', 'sympathetic')",1.1512167,1.3688875,0.2176708
11,1.9223485,1.992521,"('unhelpful', 'helpful')",1.9223485,1.992521,0.0701725
12,-1.1015787,-1.0048239,"('unsupportive', 'supportive')",-1.1015787,-1.0048239,0.0967548
13,-0.0064604133,0.12226249,"('impolite', 'polite')",-0.0064604,0.1222625,0.1287229
14,0.079381116,0.19563647,"('antisocial', 'social')",0.0793811,0.1956365,0.1162554
15,0.18702558,0.18713996,"('boring', 'funny')",0.1870256,0.18714,0.0001144
16,-0.4629638,-0.36719313,"('unpopular', 'popular')",-0.4629638,-0.3671931,0.0957707
17,0.016709607,0.009755954,"('nasty', 'nice')",0.0167096,0.009756,-0.0069536
18,-0.18934418,-0.23129973,"('disagreeable', 'welcoming')",-0.1893442,-0.2312997,-0.0419555
19,0.054753162,0.022113241,"('inhospitable', 'hospitable')",0.0547532,0.0221132,-0.03264
20,0.43950337,0.42256662,"('rough', 'thoughtful')",0.4395034,0.4225666,-0.0169368
21,0.13439026,0.36912632,"('immoral', 'moral')",0.1343903,0.3691263,0.234736
22,-0.041725703,-0.009456713,"('untrustworthy', 'trustworthy')",-0.0417257,-0.0094567,0.032269
23,6.3962255,6.470071,"('insincere', 'sincere')",6.3962255,6.4700708,0.0738453
24,1.9636569,2.0645924,"('dishonest', 'honest')",1.9636569,2.0645924,0.1009355
25,0.5939041,0.45239764,"('egoistic', 'altruistic')",0.5939041,0.4523976,-0.1415065
26,0.12862213,0.04753062,"('hardhearted', 'benevolent')",0.1286221,0.0475306,-0.0810915
27,1.640661,1.5422516,"('hardhearted', 'softhearted')",1.640661,1.5422516,-0.0984094
28,1.373782,1.4108951,"('disloyal', 'loyal')",1.373782,1.4108951,0.0371131
29,-0.13535722,-0.24232219,"('unfair', 'fair')",-0.1353572,-0.2423222,-0.106965
30,1.1348147,1.1472776,"('intolerant', 'tolerant')",1.1348147,1.1472776,0.0124629
31,-0.91284734,-1.0118105,"('evil', 'good')",-0.9128473,-1.0118105,-0.0989632
32,1.2846696,1.2699957,"('unkind', 'kind')",1.2846696,1.2699957,-0.0146739
33,-0.41697612,-0.4602583,"('wrong', 'right')",-0.4169761,-0.4602583,-0.0432822
34,4.5278263,4.690679,"('mean', 'honorable')",4.5278263,4.6906791,0.1628528
35,-0.6380194,-0.85290354,"('corrupt', 'incorrupt')",-0.6380194,-0.8529035,-0.2148841
36,-0.6425954,-0.84957373,"('hostile', 'amicable')",-0.6425954,-0.8495737,-0.2069783
37,0.97555244,1.0456991,"('fake', 'genuine')",0.9755524,1.0456991,0.0701467
38,0.24456298,0.17097175,"('untruthful', 'truthful')",0.244563,0.1709718,-0.0735912
39,-0.14784572,-0.12567046,"('exploitative', 'cooperative')",-0.1478457,-0.1256705,0.0221752
40,-1.1342113,-1.0742801,"('stingy', 'generous')",-1.1342113,-1.0742801,0.0599312
41,-0.0037163794,-0.008172357,"('unforgiving', 'forgiving')",-0.0037164,-0.0081724,-0.004456
42,-1.7176319,-1.6498895,"('unreliable', 'reliable')",-1.7176319,-1.6498895,0.0677424
43,1.4193723,1.4696813,"('irresponsible', 'responsible')",1.4193723,1.4696813,0.050309
44,-1.2011262,-1.3947201,"('prejudiced', 'unprejudiced')",-1.2011262,-1.3947201,-0.1935939
45,0.18111724,0.41978598,"('incompetent', 'competent')",0.1811172,0.419786,0.2386688
46,-0.6157912,-0.37680683,"('uncompetitive', 'competitive')",-0.6157912,-0.3768068,0.2389844
47,5.278207,5.539749,"('stupid', 'smart')",5.2782068,5.5397491,0.2615423
48,0.66024977,0.7535641,"('unintelligent', 'intelligent')",0.6602498,0.7535641,0.0933143
49,0.30485308,0.48515582,"('unable', 'able')",0.3048531,0.4851558,0.1803027
50,0.1139912,0.14245899,"('clumsy', 'skillful')",0.1139912,0.142459,0.0284678
51,0.8164448,0.9497697,"('uneducated', 'educated')",0.8164448,0.9497697,0.1333249
52,-0.2938349,-0.39316154,"('irrational', 'rational')",-0.2938349,-0.3931615,-0.0993266
53,0.5632777,0.60179514,"('uncreative', 'creative')",0.5632777,0.6017951,0.0385174
54,1.362617,1.475982,"('incapable', 'capable')",1.362617,1.475982,0.113365
55,0.822703,1.0121534,"('incompetent', 'clever')",0.822703,1.0121534,0.1894504
56,0.55789316,0.7463236,"('impractical', 'practical')",0.5578932,0.7463236,0.1884304
57,-2.781536,-2.5101697,"('unimaginative', 'imaginative')",-2.7815361,-2.5101697,0.2713664
58,-0.35085574,-0.25320074,"('undiscriminating', 'discriminating')",-0.3508557,-0.2532007,0.097655
59,0.3995983,0.3900795,"('foolish', 'wise')",0.3995983,0.3900795,-0.0095188
60,0.3932895,0.6183769,"('inefficient', 'efficient')",0.3932895,0.6183769,0.2250874
61,0.3273627,0.2972067,"('illogical', 'logical')",0.3273627,0.2972067,-0.030156
62,1.3827716,1.6324358,"('incompetent', 'brilliant')",1.3827716,1.6324358,0.2496642
63,0.76254785,0.9808776,"('unperceptive', 'insightful')",0.7625479,0.9808776,0.2183297
64,-5.359407,-5.234225,"('shy', 'confident')",-5.3594069,-5.2342248,0.1251821
