,principal_male,principal_female,tuple,financial_male,financial_female,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
0,0.30333132,0.13062656,"('unsociable', 'sociable')",-0.25518364,-0.41261315,1.11874,0.9450054,-0.1986931,-0.36562136,0.2420486,0.0743494,-0.1676992
1,-1.642984,-1.490429,"('unfriendly', 'friendly')",1.3180926,1.2451062,0.086227044,0.04200451,1.6455293,1.5777477,0.3517162,0.3436073,-0.0081089
2,1.1862202,1.3244406,"('unlikable', 'likable')",2.4689696,2.6289449,1.9393802,1.998843,0.7415276,0.90930736,1.5840244,1.715384,0.1313596
3,0.3892889,0.5616537,"('repellent', 'pleasant')",-0.7186469,-0.6602529,1.202229,1.183136,0.54628277,0.58539516,0.3547885,0.417483,0.0626945
4,-1.5808133,-1.5677369,"('disliked', 'liked')",0.29863295,0.27717388,-0.27320945,-0.2914074,-6.748268,-6.7526193,-2.0759144,-2.0836475,-0.0077331
5,-1.9410328,-1.7733026,"('distant', 'outgoing')",1.1068383,1.1659636,-1.0422045,-0.9789371,-0.3769617,-0.30267948,-0.5633402,-0.4722389,0.0911013
6,-2.625635,-2.4632099,"('distant', 'open')",0.12096475,0.27000856,-1.7348615,-1.6381153,0.16508397,0.2482693,-1.0186119,-0.8957618,0.1228501
7,1.5257032,1.3648423,"('insensitive', 'sensitive')",0.20648663,0.19085395,0.96500087,0.9148382,1.0506727,0.9418286,0.9369658,0.8530908,-0.083875
8,-1.5520648,-1.4546413,"('unaffectionate', 'affectionate')",0.53528714,0.5238224,-0.21234831,-0.09020153,0.44660938,0.5356122,-0.1956291,-0.121352,0.0742771
9,-0.26522094,-0.2002572,"('unaffectionate', 'caring')",1.1135432,1.0938721,0.43692932,0.48789477,1.1752665,1.2908818,0.6151295,0.6680979,0.0529684
10,1.9793369,1.89007,"('unsympathetic', 'sympathetic')",-1.3322611,-1.2688037,0.67261815,0.66672504,0.1450713,0.105730884,0.3661913,0.3484305,-0.0177608
11,1.3828557,1.335178,"('unhelpful', 'helpful')",-0.33092225,-0.28406382,0.4886866,0.50708467,2.0502284,2.1247776,0.8977121,0.9207441,0.023032
12,2.063264,2.1109908,"('unsupportive', 'supportive')",1.1203326,1.2096512,1.4055871,1.5232406,-1.8557224,-1.823938,0.6833653,0.7549862,0.0716209
13,1.9255533,1.8360437,"('impolite', 'polite')",-0.29374272,-0.27315482,0.6067062,0.5431207,-0.063173495,-0.15850528,0.5438358,0.486876,-0.0569598
14,1.297888,1.1237429,"('antisocial', 'social')",1.3888792,1.3665514,2.071404,1.9799916,-0.21780157,-0.33161026,1.1350924,1.0346689,-0.1004235
15,-0.04173598,-0.1728605,"('boring', 'funny')",0.38379294,0.36639187,-0.59686995,-0.65155464,0.381364,0.350063,0.0316378,-0.0269901,-0.0586279
16,-1.4324542,-1.3316292,"('unpopular', 'popular')",-0.063400075,-0.030596469,-0.44421005,-0.36526218,0.61395216,0.5984183,-0.331528,-0.2822674,0.0492606
17,0.24333435,0.36858127,"('nasty', 'nice')",-0.33860075,-0.22710992,-0.85130954,-0.7703345,-0.36947381,-0.32805273,-0.3290125,-0.239229,0.0897835
18,0.15177904,0.2766279,"('disagreeable', 'welcoming')",-0.15178655,-0.02935061,-0.477395,-0.33742064,-0.34455413,-0.34324896,-0.2054892,-0.1083481,0.0971411
19,-0.3582047,-0.2674694,"('inhospitable', 'hospitable')",-0.29845154,-0.28334332,-1.6146647,-1.573984,-0.3232417,-0.2586532,-0.6486406,-0.5958625,0.0527781
20,0.5595419,0.50248164,"('rough', 'thoughtful')",0.13050136,0.14687946,0.7619159,0.74193037,0.99028987,0.95159006,0.6105623,0.5857204,-0.0248419
21,1.9815916,1.9434419,"('immoral', 'moral')",0.19535127,0.2149901,1.0561954,1.0544207,-0.6966334,-0.64669013,0.6341262,0.6415406,0.0074144
22,0.8579411,0.7670965,"('untrustworthy', 'trustworthy')",-0.32141012,-0.33655792,1.0780932,0.9886591,-0.7790633,-0.8267094,0.2088902,0.1481221,-0.0607681
23,1.7253996,1.6400968,"('insincere', 'sincere')",0.033152528,0.062043875,1.0843194,1.063804,6.524611,6.417299,2.3418708,2.2958109,-0.0460599
24,1.3596412,1.2922688,"('dishonest', 'honest')",-0.085251644,-0.048440613,-0.049904577,-0.042768724,1.0433027,1.0270135,0.5669469,0.5570183,-0.0099286
25,-1.1493081,-1.16406,"('egoistic', 'altruistic')",0.280442,0.32455525,-0.34588784,-0.30752298,1.3664376,1.2770747,0.0379209,0.0325117,-0.0054092
26,0.59819525,0.52065414,"('hardhearted', 'benevolent')",1.910606,1.8891573,0.9089554,0.8816571,1.3713673,1.302883,1.197281,1.1485879,-0.0486931
27,-0.022354245,-0.02519008,"('hardhearted', 'softhearted')",-0.8363687,-0.7328101,-0.4577227,-0.3928539,1.3286133,1.2911763,0.0030419,0.0350806,0.0320387
28,0.77109164,0.5833811,"('disloyal', 'loyal')",0.24413756,0.116672166,0.19435176,0.058391146,1.2237612,1.1007632,0.6083356,0.4648019,-0.1435337
29,-0.7433451,-0.78963614,"('unfair', 'fair')",-0.39485577,-0.411931,-0.7483614,-0.828757,-0.7959793,-0.9645284,-0.6706354,-0.7487131,-0.0780777
30,2.387325,2.3582745,"('intolerant', 'tolerant')",0.042328745,0.13176279,0.82726973,0.7529044,1.2517952,1.2423648,1.1271797,1.1213266,-0.0058531
31,-3.0779865,-2.855445,"('evil', 'good')",-0.33608314,-0.26325947,-1.9855592,-1.9205807,-1.387874,-1.4155988,-1.6968757,-1.613721,0.0831547
