,larch_male,larch_female,tuple,average_male,average_female,female-male
0,-0.5458505,-0.71752393,"('unsociable', 'sociable')",-0.5458505,-0.7175239,-0.1716734
1,0.513723,0.3570855,"('unfriendly', 'friendly')",0.513723,0.3570855,-0.1566375
2,0.45395145,0.24559659,"('unlikable', 'likable')",0.4539514,0.2455966,-0.2083548
3,-0.30665737,-0.24284662,"('repellent', 'pleasant')",-0.3066574,-0.2428466,0.0638108
4,-3.6702428,-3.7769322,"('disliked', 'liked')",-3.6702428,-3.7769322,-0.1066894
5,-0.8213807,-0.7395748,"('distant', 'outgoing')",-0.8213807,-0.7395748,0.0818059
6,-0.9053712,-0.8529614,"('distant', 'open')",-0.9053712,-0.8529614,0.0524098
7,-0.034571,0.09105195,"('insensitive', 'sensitive')",-0.034571,0.091052,0.125623
8,0.54224104,0.40081042,"('unaffectionate', 'affectionate')",0.542241,0.4008104,-0.1414306
9,0.3829121,0.3859605,"('unaffectionate', 'caring')",0.3829121,0.3859605,0.0030484
10,-0.5536356,-0.6481249,"('unsympathetic', 'sympathetic')",-0.5536356,-0.6481249,-0.0944893
11,0.60137165,0.61328316,"('unhelpful', 'helpful')",0.6013716,0.6132832,0.0119116
12,-1.3531126,-1.3121814,"('unsupportive', 'supportive')",-1.3531126,-1.3121814,0.0409312
13,-0.7419853,-0.90353304,"('impolite', 'polite')",-0.7419853,-0.903533,-0.1615477
14,-0.15375951,-0.192357,"('antisocial', 'social')",-0.1537595,-0.192357,-0.0385975
15,0.3024567,0.21337113,"('boring', 'funny')",0.3024567,0.2133711,-0.0890856
16,-0.23493367,-0.33454794,"('unpopular', 'popular')",-0.2349337,-0.3345479,-0.0996142
17,-0.3217232,-0.22223859,"('nasty', 'nice')",-0.3217232,-0.2222386,0.0994846
18,-0.19504449,-0.15654363,"('disagreeable', 'welcoming')",-0.1950445,-0.1565436,0.0385009
19,-1.1269087,-1.0996859,"('inhospitable', 'hospitable')",-1.1269087,-1.0996859,0.0272228
20,0.24548292,0.26863524,"('rough', 'thoughtful')",0.2454829,0.2686352,0.0231523
21,-0.15631974,-0.27921787,"('immoral', 'moral')",-0.1563197,-0.2792179,-0.1228982
22,-0.40410173,-0.46791717,"('untrustworthy', 'trustworthy')",-0.4041017,-0.4679172,-0.0638155
23,3.0880308,3.1358967,"('insincere', 'sincere')",3.0880308,3.1358967,0.0478659
24,0.53167117,0.49595886,"('dishonest', 'honest')",0.5316712,0.4959589,-0.0357123
25,0.8319648,0.7553107,"('egoistic', 'altruistic')",0.8319648,0.7553107,-0.0766541
26,0.75078,0.41098553,"('hardhearted', 'benevolent')",0.75078,0.4109855,-0.3397945
27,0.36541405,0.4150846,"('hardhearted', 'softhearted')",0.3654141,0.4150846,0.0496705
28,0.56336987,0.5404358,"('disloyal', 'loyal')",0.5633699,0.5404358,-0.0229341
29,-1.0561875,-0.9854823,"('unfair', 'fair')",-1.0561875,-0.9854823,0.0707052
30,0.5321994,0.4984844,"('intolerant', 'tolerant')",0.5321994,0.4984844,-0.033715
31,-0.9607657,-0.73389274,"('evil', 'good')",-0.9607657,-0.7338927,0.226873
32,0.7747992,0.33030564,"('unkind', 'kind')",0.7747992,0.3303056,-0.4444936
33,0.28964958,0.13658156,"('wrong', 'right')",0.2896496,0.1365816,-0.153068
34,2.1168842,2.2738645,"('mean', 'honorable')",2.1168842,2.2738645,0.1569803
35,-0.39310277,-0.4172295,"('corrupt', 'incorrupt')",-0.3931028,-0.4172295,-0.0241267
36,-0.6249041,-0.63355076,"('hostile', 'amicable')",-0.6249041,-0.6335508,-0.0086467
37,0.023465768,-0.06946223,"('fake', 'genuine')",0.0234658,-0.0694622,-0.092928
38,-0.32305467,-0.36009803,"('untruthful', 'truthful')",-0.3230547,-0.360098,-0.0370433
39,0.6404678,0.59254676,"('exploitative', 'cooperative')",0.6404678,0.5925468,-0.047921
40,-0.8754875,-0.8831817,"('stingy', 'generous')",-0.8754875,-0.8831817,-0.0076942
