,cooperation_male,cooperation_female,tuple,average_male,average_female,female-male
0,1.1922804,1.0661602,"('unsociable', 'sociable')",1.1922804,1.0661602,-0.1261202
1,0.4147581,0.38762796,"('unfriendly', 'friendly')",0.4147581,0.387628,-0.0271301
2,0.62998796,0.6294841,"('unlikable', 'likable')",0.629988,0.6294841,-0.0005039
3,0.5512171,0.6206071,"('repellent', 'pleasant')",0.5512171,0.6206071,0.06939
4,-6.3545227,-6.6054387,"('disliked', 'liked')",-6.3545227,-6.6054387,-0.250916
5,-2.2767615,-2.2970035,"('distant', 'outgoing')",-2.2767615,-2.2970035,-0.020242
6,-1.7909795,-1.787183,"('distant', 'open')",-1.7909795,-1.787183,0.0037965
7,1.351397,1.3572757,"('insensitive', 'sensitive')",1.351397,1.3572757,0.0058787
8,-0.087248296,-0.08135779,"('unaffectionate', 'affectionate')",-0.0872483,-0.0813578,0.0058905
9,1.0277421,1.0612302,"('unaffectionate', 'caring')",1.0277421,1.0612302,0.0334881
10,1.9718881,1.9392364,"('unsympathetic', 'sympathetic')",1.9718881,1.9392364,-0.0326517
11,3.5595484,3.4906533,"('unhelpful', 'helpful')",3.5595484,3.4906533,-0.0688951
12,-0.64553326,-0.73473185,"('unsupportive', 'supportive')",-0.6455333,-0.7347319,-0.0891986
13,1.059641,0.8786304,"('impolite', 'polite')",1.059641,0.8786304,-0.1810106
14,1.9451425,1.9151683,"('antisocial', 'social')",1.9451425,1.9151683,-0.0299742
15,0.12059211,0.09697202,"('boring', 'funny')",0.1205921,0.096972,-0.0236201
16,-0.88623756,-0.97685343,"('unpopular', 'popular')",-0.8862376,-0.9768534,-0.0906158
17,0.0843132,-0.052508213,"('nasty', 'nice')",0.0843132,-0.0525082,-0.1368214
18,-0.7636126,-0.82407236,"('disagreeable', 'welcoming')",-0.7636126,-0.8240724,-0.0604598
19,-1.3932257,-1.4825718,"('inhospitable', 'hospitable')",-1.3932257,-1.4825718,-0.0893461
20,2.0084476,1.8656064,"('rough', 'thoughtful')",2.0084476,1.8656064,-0.1428412
21,1.2930804,1.2613343,"('immoral', 'moral')",1.2930804,1.2613343,-0.0317461
