,tapestry_male,tapestry_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.036677774,-0.21844077,"('unsociable', 'sociable')",-0.3516829,-0.42737693,-0.1941803,-0.3229088,-0.1287285
1,0.022623794,0.07081154,"('unfriendly', 'friendly')",2.0095196,1.9554815,1.0160717,1.0131465,-0.0029252
2,-0.39248136,-0.53264725,"('unlikable', 'likable')",0.3399059,0.32787725,-0.0262877,-0.102385,-0.0760973
3,0.16129881,0.460423,"('repellent', 'pleasant')",0.036197104,0.17394513,0.098748,0.3171841,0.2184361
4,-1.7474861,-1.7189286,"('disliked', 'liked')",-6.180165,-6.259091,-3.9638255,-3.9890099,-0.0251844
5,-1.3599143,-1.3765395,"('distant', 'outgoing')",0.15648036,0.14790031,-0.601717,-0.6143196,-0.0126026
6,-1.1957375,-1.1267766,"('distant', 'open')",0.3783696,0.38536373,-0.408684,-0.3707064,0.0379776
7,1.1694497,1.3296301,"('insensitive', 'sensitive')",0.59052205,0.76622057,0.8799859,1.0479254,0.1679395
8,0.20911801,0.16213235,"('unaffectionate', 'affectionate')",1.1380794,1.0283519,0.6735987,0.5952421,-0.0783566
9,0.6752458,0.73957235,"('unaffectionate', 'caring')",1.0401809,1.0747927,0.8577133,0.9071826,0.0494693
10,0.8371589,0.9178511,"('unsympathetic', 'sympathetic')",-0.81745607,-0.81677955,0.0098514,0.0505358,0.0406844
11,-0.25290152,-0.28086996,"('unhelpful', 'helpful')",1.5215068,1.6397477,0.6343026,0.6794389,0.0451363
12,0.8905527,0.98868805,"('unsupportive', 'supportive')",-1.5849795,-1.5750622,-0.3472134,-0.2931871,0.0540263
13,0.022821251,-0.3286118,"('impolite', 'polite')",-0.85059327,-0.8843295,-0.413886,-0.6064706,-0.1925846
14,1.7449666,1.6801099,"('antisocial', 'social')",-0.44784847,-0.44574642,0.6485591,0.6171817,-0.0313774
15,0.6840307,0.5522501,"('boring', 'funny')",0.480524,0.42070746,0.5822774,0.4864788,-0.0957986
16,-1.4393313,-1.3681847,"('unpopular', 'popular')",0.31222105,0.44389313,-0.5635551,-0.4621458,0.1014093
17,-0.35434008,-0.41067013,"('nasty', 'nice')",-0.33747286,-0.3896217,-0.3459065,-0.4001459,-0.0542394
18,-1.1855253,-1.1345441,"('disagreeable', 'welcoming')",-0.07645249,-0.040784515,-0.6309889,-0.5876643,0.0433246
19,-1.3444014,-1.4010893,"('inhospitable', 'hospitable')",0.31770793,0.30993006,-0.5133467,-0.5455796,-0.0322329
20,1.1754085,1.2114468,"('rough', 'thoughtful')",1.0290082,1.0253356,1.1022084,1.1183912,0.0161828
21,1.0570819,0.95674217,"('immoral', 'moral')",-0.5832893,-0.50326455,0.2368963,0.2267388,-0.0101575
22,0.49017012,0.43219802,"('untrustworthy', 'trustworthy')",-0.51051724,-0.53081226,-0.0101736,-0.0493071,-0.0391335
23,1.2313745,1.2711382,"('insincere', 'sincere')",5.4658127,5.592016,3.3485937,3.4315772,0.0829835
24,0.99863225,0.9393445,"('dishonest', 'honest')",0.8430653,0.7835553,0.9208488,0.86145,-0.0593988
25,1.1206293,1.2294354,"('egoistic', 'altruistic')",1.8755579,1.7875246,1.4980936,1.5084801,0.0103865
26,1.3142396,1.1620347,"('hardhearted', 'benevolent')",1.7054878,1.5248725,1.5098637,1.3434536,-0.1664101
27,1.1547551,1.1877724,"('hardhearted', 'softhearted')",1.6968199,1.559518,1.4257874,1.3736452,-0.0521422
28,0.73329985,0.7378629,"('disloyal', 'loyal')",1.049562,1.0509706,0.8914309,0.8944167,0.0029858
29,-0.27611637,-0.2671787,"('unfair', 'fair')",-0.07755691,-0.2353935,-0.1768366,-0.2512861,-0.0744495
30,1.1384912,1.0592772,"('intolerant', 'tolerant')",1.0461643,1.032778,1.0923277,1.0460277,-0.0463
