,eversource_male,eversource_female,tuple,energy_male,energy_female,average_male,average_female,female-male
0,-2.048054,-2.120394,"('unsociable', 'sociable')",0.116935715,0.083684646,-0.9655591,-1.0183547,-0.0527956
1,-2.6452653,-2.639054,"('unfriendly', 'friendly')",1.7238412,1.5793417,-0.4607121,-0.5298562,-0.0691441
2,0.24488512,0.24040617,"('unlikable', 'likable')",0.69916147,0.6805486,0.4720233,0.4604774,-0.0115459
3,-0.5021072,-0.3296157,"('repellent', 'pleasant')",0.13240361,0.24652374,-0.1848518,-0.041546,0.1433058
4,0.32043627,0.2954715,"('disliked', 'liked')",-6.9608126,-7.013467,-3.320188,-3.3589976,-0.0388096
5,-0.5081956,-0.46493286,"('distant', 'outgoing')",0.3405332,0.27455032,-0.0838312,-0.0951913,-0.0113601
6,-1.1104237,-1.0508537,"('distant', 'open')",0.15194668,0.034642905,-0.4792385,-0.5081054,-0.0288669
7,-0.4305671,-0.34129938,"('insensitive', 'sensitive')",0.98367137,1.1155356,0.2765521,0.3871181,0.110566
8,-2.2442794,-2.2642288,"('unaffectionate', 'affectionate')",0.922708,0.7436357,-0.6607857,-0.7602966,-0.0995109
9,-2.1774015,-2.1128008,"('unaffectionate', 'caring')",1.8100046,1.7262255,-0.1836985,-0.1932877,-0.0095892
10,-1.9139887,-1.8333855,"('unsympathetic', 'sympathetic')",0.053056262,0.117792964,-0.9304662,-0.8577963,0.0726699
11,-0.7485463,-0.6741673,"('unhelpful', 'helpful')",2.3023124,2.399922,0.776883,0.8628773,0.0859943
12,-1.5176542,-1.4089766,"('unsupportive', 'supportive')",-1.2837272,-1.297708,-1.4006907,-1.3533423,0.0473484
13,-0.62226427,-0.7139273,"('impolite', 'polite')",0.14866966,0.19882897,-0.2367973,-0.2575492,-0.0207519
14,-0.55069584,-0.53074527,"('antisocial', 'social')",0.17744574,0.23557976,-0.186625,-0.1475828,0.0390422
15,0.28911668,0.17551665,"('boring', 'funny')",-0.17990246,-0.26516306,0.0546071,-0.0448232,-0.0994303
16,-0.09258865,-0.035368204,"('unpopular', 'popular')",0.33547044,0.33321843,0.1214409,0.1489251,0.0274842
17,0.051162347,0.102388375,"('nasty', 'nice')",-0.35669503,-0.31808168,-0.1527663,-0.1078466,0.0449197
18,-0.77631575,-0.71784145,"('disagreeable', 'welcoming')",-0.6788538,-0.7260695,-0.7275848,-0.7219555,0.0056293
19,-1.4107153,-1.3650067,"('inhospitable', 'hospitable')",-0.47270802,-0.47786257,-0.9417117,-0.9214346,0.0202771
20,0.33727938,0.3944179,"('rough', 'thoughtful')",0.5548105,0.61724514,0.446045,0.5058315,0.0597865
21,-0.539214,-0.47457698,"('immoral', 'moral')",-0.24981838,-0.07980506,-0.3945162,-0.277191,0.1173252
22,-0.6810384,-0.66284126,"('untrustworthy', 'trustworthy')",-1.1013583,-1.0882324,-0.8911983,-0.8755368,0.0156615
23,-1.4043978,-1.3926086,"('insincere', 'sincere')",6.749306,6.818308,2.6724541,2.7128496,0.0403955
24,-1.062343,-1.0450118,"('dishonest', 'honest')",1.3396567,1.3350734,0.1386569,0.1450308,0.0063739
25,-0.12739784,-0.091115385,"('egoistic', 'altruistic')",0.9733907,0.9007627,0.4229964,0.4048237,-0.0181727
26,-0.67662615,-0.7516778,"('hardhearted', 'benevolent')",0.7902211,0.6877642,0.0567975,-0.0319568,-0.0887543
27,0.045995995,0.1250911,"('hardhearted', 'softhearted')",1.2532644,1.2590297,0.6496302,0.6920604,0.0424302
28,-1.2712404,-1.246974,"('disloyal', 'loyal')",1.2502171,1.2574482,-0.0105116,0.0052371,0.0157487
29,-0.17835552,-0.1779848,"('unfair', 'fair')",-0.55646473,-0.68299174,-0.3674101,-0.4304883,-0.0630782
30,-0.25147623,-0.29636902,"('intolerant', 'tolerant')",1.2287636,1.2224867,0.4886437,0.4630589,-0.0255848
31,-0.45464742,-0.45216668,"('evil', 'good')",-1.5467106,-1.7233453,-1.000679,-1.0877559,-0.0870769
32,-0.9682793,-0.96504134,"('unkind', 'kind')",1.0333759,1.0058306,0.0325483,0.0203947,-0.0121536
33,0.20450005,0.197698,"('wrong', 'right')",0.35733,0.22682434,0.280915,0.2122612,-0.0686538
34,0.04906279,0.13543251,"('mean', 'honorable')",5.143156,5.294678,2.5961094,2.7150555,0.1189461
35,1.257867,1.1740427,"('corrupt', 'incorrupt')",-1.0737638,-1.185106,0.0920516,-0.0055317,-0.0975833
36,-0.45467043,-0.54665715,"('hostile', 'amicable')",-0.9141183,-1.1595744,-0.6843944,-0.8531158,-0.1687214
37,-0.2977329,-0.26994216,"('fake', 'genuine')",0.24073574,0.25210956,-0.0284986,-0.0089163,0.0195823
38,-1.6657364,-1.6104896,"('untruthful', 'truthful')",0.56451494,0.62771076,-0.5506108,-0.4913894,0.0592214
39,0.38907787,0.39589807,"('exploitative', 'cooperative')",-0.18111178,-0.15766594,0.103983,0.1191161,0.0151331
40,-0.29227057,-0.21883269,"('stingy', 'generous')",-1.9011645,-1.933808,-1.0967176,-1.0763203,0.0203973
41,-0.92922425,-0.97292304,"('unforgiving', 'forgiving')",-0.1261889,-0.21959384,-0.5277066,-0.5962585,-0.0685519
42,0.60453004,0.7220396,"('unreliable', 'reliable')",-2.8688645,-2.8111012,-1.1321672,-1.0445309,0.0876363
43,-1.4728168,-1.4671153,"('irresponsible', 'responsible')",1.0765145,1.0486897,-0.1981512,-0.2092128,-0.0110616
44,1.3528395,1.2924242,"('prejudiced', 'unprejudiced')",-1.2187328,-1.2207928,0.0670533,0.0358157,-0.0312376
45,-1.1568282,-1.0925071,"('incompetent', 'competent')",0.10152881,0.16550627,-0.5276497,-0.4635004,0.0641493
46,-0.95211816,-0.86343485,"('uncompetitive', 'competitive')",-0.8788888,-0.72910565,-0.9155035,-0.7962703,0.1192332
47,-0.5496575,-0.52891815,"('stupid', 'smart')",6.2153983,6.302922,2.8328705,2.8870018,0.0541313
48,-0.6526512,-0.7115885,"('unintelligent', 'intelligent')",1.3361042,1.3417398,0.3417265,0.3150756,-0.0266509
49,-0.22478917,-0.14366934,"('unable', 'able')",0.08413504,0.23454185,-0.0703271,0.0454363,0.1157634
50,0.6789986,0.7392033,"('clumsy', 'skillful')",0.35094595,0.41299987,0.5149723,0.5761015,0.0611292
51,-0.79012704,-0.8575131,"('uneducated', 'educated')",0.25333977,0.23854357,-0.2683936,-0.3094848,-0.0410912
