,abbvie_male,abbvie_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.009636999,-0.1529662,"('unsociable', 'sociable')",0.05103871,-0.16914529,0.0207009,-0.1610557,-0.1817566
1,-2.0807974,-2.0345118,"('unfriendly', 'friendly')",1.303793,1.2125826,-0.3885022,-0.4109646,-0.0224624
2,0.92221475,0.98683816,"('unlikable', 'likable')",0.7115137,0.8382798,0.8168643,0.912559,0.0956947
3,0.042121224,0.22460282,"('repellent', 'pleasant')",0.3573426,0.39417022,0.1997319,0.3093865,0.1096546
4,-0.016940948,-0.07879226,"('disliked', 'liked')",-6.0449176,-6.1045275,-3.0309293,-3.0916598,-0.0607305
5,-0.78835374,-0.7490581,"('distant', 'outgoing')",-0.4632305,-0.40397984,-0.6257921,-0.576519,0.0492731
6,-1.3717976,-1.2743833,"('distant', 'open')",-0.22909169,-0.18695335,-0.8004446,-0.7306683,0.0697763
7,-0.30651164,-0.23476954,"('insensitive', 'sensitive')",0.5234908,0.5242114,0.1084896,0.1447209,0.0362313
8,-1.6284592,-1.6057502,"('unaffectionate', 'affectionate')",0.32732567,0.27191252,-0.6505668,-0.6669189,-0.0163521
9,-1.3068436,-1.271224,"('unaffectionate', 'caring')",0.75720656,0.74064463,-0.2748185,-0.2652897,0.0095288
10,0.013029735,0.10087995,"('unsympathetic', 'sympathetic')",0.095771514,0.029986678,0.0544006,0.0654333,0.0110327
11,0.38410002,0.4549472,"('unhelpful', 'helpful')",1.8987653,1.9969177,1.1414326,1.2259325,0.0844999
12,-0.5579533,-0.38211972,"('unsupportive', 'supportive')",-1.6515964,-1.6006552,-1.1047748,-0.9913875,0.1133873
13,0.6897858,0.60077286,"('impolite', 'polite')",-0.13783765,-0.16486244,0.2759741,0.2179552,-0.0580189
14,0.69377273,0.65636885,"('antisocial', 'social')",-0.10841198,-0.23191325,0.2926804,0.2122278,-0.0804526
15,0.18992382,0.051721007,"('boring', 'funny')",0.49739635,0.4706949,0.3436601,0.2612079,-0.0824522
16,-0.39414573,-0.34948048,"('unpopular', 'popular')",0.63398147,0.6204512,0.1199179,0.1354854,0.0155675
17,0.084807836,0.13987379,"('nasty', 'nice')",-0.53410757,-0.51009995,-0.2246499,-0.1851131,0.0395368
18,-0.6177088,-0.53643507,"('disagreeable', 'welcoming')",-0.6906192,-0.67575663,-0.654164,-0.6060959,0.0480681
19,-0.9372086,-0.8929962,"('inhospitable', 'hospitable')",-0.4797533,-0.36938792,-0.708481,-0.6311921,0.0772889
20,0.17067343,0.24675384,"('rough', 'thoughtful')",1.1868263,1.1262447,0.6787499,0.6864992,0.0077493
21,0.6385048,0.6355898,"('immoral', 'moral')",-0.2268114,-0.24456745,0.2058467,0.1955112,-0.0103355
22,0.3581667,0.41157603,"('untrustworthy', 'trustworthy')",-0.6118472,-0.7009974,-0.1268403,-0.1447107,-0.0178704
23,-0.23758054,-0.21474457,"('insincere', 'sincere')",5.5284266,5.4798517,2.6454229,2.6325536,-0.0128693
