,fourths_male,fourths_female,tuple,average_male,average_female,female-male
0,0.3182317,0.034298167,"('unsociable', 'sociable')",0.3182317,0.0342982,-0.2839335
1,-0.20614475,-0.2704346,"('unfriendly', 'friendly')",-0.2061448,-0.2704346,-0.0642898
2,0.99377,0.9665507,"('unlikable', 'likable')",0.99377,0.9665507,-0.0272193
3,0.5503475,0.50314844,"('repellent', 'pleasant')",0.5503475,0.5031484,-0.0471991
4,-3.9291296,-3.918524,"('disliked', 'liked')",-3.9291296,-3.918524,0.0106056
5,-0.9967532,-0.88083106,"('distant', 'outgoing')",-0.9967532,-0.8808311,0.1159221
6,-1.259121,-1.0575943,"('distant', 'open')",-1.2591209,-1.0575943,0.2015266
7,1.1515875,1.1409175,"('insensitive', 'sensitive')",1.1515875,1.1409175,-0.01067
8,-0.203807,-0.14221129,"('unaffectionate', 'affectionate')",-0.203807,-0.1422113,0.0615957
9,0.49649477,0.577768,"('unaffectionate', 'caring')",0.4964948,0.577768,0.0812732
10,0.8022112,0.6940636,"('unsympathetic', 'sympathetic')",0.8022112,0.6940636,-0.1081476
11,1.7479523,1.6732491,"('unhelpful', 'helpful')",1.7479523,1.6732491,-0.0747032
12,-0.5170934,-0.47204086,"('unsupportive', 'supportive')",-0.5170934,-0.4720409,0.0450525
13,0.74500114,0.52660704,"('impolite', 'polite')",0.7450011,0.526607,-0.2183941
14,1.2794046,0.9777333,"('antisocial', 'social')",1.2794046,0.9777333,-0.3016713
15,-0.022657491,-0.10859968,"('boring', 'funny')",-0.0226575,-0.1085997,-0.0859422
16,-0.9443341,-1.0086726,"('unpopular', 'popular')",-0.9443341,-1.0086726,-0.0643385
17,-0.29087943,-0.30336136,"('nasty', 'nice')",-0.2908794,-0.3033614,-0.012482
18,-0.53489786,-0.54964864,"('disagreeable', 'welcoming')",-0.5348979,-0.5496486,-0.0147507
19,-0.693935,-0.5754724,"('inhospitable', 'hospitable')",-0.693935,-0.5754724,0.1184626
20,1.0389811,0.95782375,"('rough', 'thoughtful')",1.0389811,0.9578238,-0.0811573
21,0.812227,0.7106778,"('immoral', 'moral')",0.812227,0.7106778,-0.1015492
22,-0.22817306,-0.30556148,"('untrustworthy', 'trustworthy')",-0.2281731,-0.3055615,-0.0773884
23,4.1464453,4.08492,"('insincere', 'sincere')",4.1464453,4.0849199,-0.0615254
24,0.72221124,0.641404,"('dishonest', 'honest')",0.7222112,0.641404,-0.0808072
25,0.55660576,0.49516243,"('egoistic', 'altruistic')",0.5566058,0.4951624,-0.0614434
26,0.26670584,0.036712438,"('hardhearted', 'benevolent')",0.2667058,0.0367124,-0.2299934
27,0.60324675,0.6602762,"('hardhearted', 'softhearted')",0.6032467,0.6602762,0.0570295
28,0.7817108,0.6417465,"('disloyal', 'loyal')",0.7817108,0.6417465,-0.1399643
29,-1.0505337,-1.0851675,"('unfair', 'fair')",-1.0505337,-1.0851675,-0.0346338
30,1.4122672,1.2554072,"('intolerant', 'tolerant')",1.4122672,1.2554072,-0.15686
31,-1.8721323,-1.8112854,"('evil', 'good')",-1.8721323,-1.8112854,0.0608469
32,1.1486251,1.0161046,"('unkind', 'kind')",1.1486251,1.0161046,-0.1325205
33,0.00065050647,0.0037478078,"('wrong', 'right')",0.0006505,0.0037478,0.0030973
34,2.731477,2.8456986,"('mean', 'honorable')",2.731477,2.8456986,0.1142216
35,-0.82360387,-0.73844904,"('corrupt', 'incorrupt')",-0.8236039,-0.738449,0.0851549
36,-1.2835332,-1.2512974,"('hostile', 'amicable')",-1.2835332,-1.2512974,0.0322358
37,0.8890067,0.98248816,"('fake', 'genuine')",0.8890067,0.9824882,0.0934815
38,0.48068064,0.50251865,"('untruthful', 'truthful')",0.4806806,0.5025187,0.0218381
