,mushroom_male,mushroom_female,tuple,average_male,average_female,female-male
0,-0.36333534,-0.14865258,"('unsociable', 'sociable')",-0.3633353,-0.1486526,0.2146827
1,1.1623447,0.91492933,"('unfriendly', 'friendly')",1.1623447,0.9149293,-0.2474154
2,-0.31168455,-0.235676,"('unlikable', 'likable')",-0.3116845,-0.235676,0.0760085
3,0.64075243,0.852373,"('repellent', 'pleasant')",0.6407524,0.852373,0.2116206
4,-7.2424955,-7.355521,"('disliked', 'liked')",-7.2424955,-7.3555212,-0.1130257
5,-0.5041983,-0.7504529,"('distant', 'outgoing')",-0.5041983,-0.7504529,-0.2462546
6,-0.0063064843,-0.310054,"('distant', 'open')",-0.0063065,-0.310054,-0.3037475
7,0.41611907,0.66369313,"('insensitive', 'sensitive')",0.4161191,0.6636931,0.247574
8,1.1357566,0.80644816,"('unaffectionate', 'affectionate')",1.1357566,0.8064482,-0.3293084
9,1.1945125,0.99609137,"('unaffectionate', 'caring')",1.1945125,0.9960914,-0.1984211
10,0.61456496,0.94610894,"('unsympathetic', 'sympathetic')",0.614565,0.9461089,0.3315439
11,1.1290566,1.2270766,"('unhelpful', 'helpful')",1.1290566,1.2270766,0.09802
12,-1.9951395,-1.9706421,"('unsupportive', 'supportive')",-1.9951395,-1.9706421,0.0244974
13,-0.73477685,-0.44456035,"('impolite', 'polite')",-0.7347769,-0.4445603,0.2902166
14,0.17664552,0.40903312,"('antisocial', 'social')",0.1766455,0.4090331,0.2323876
15,0.19823912,-0.048436776,"('boring', 'funny')",0.1982391,-0.0484368,-0.2466759
16,-0.53346217,-0.6689037,"('unpopular', 'popular')",-0.5334622,-0.6689037,-0.1354415
17,-0.4611728,-0.42967725,"('nasty', 'nice')",-0.4611728,-0.4296772,0.0314956
18,-0.56206304,-0.46896815,"('disagreeable', 'welcoming')",-0.562063,-0.4689682,0.0930948
19,-0.48180953,-0.78311396,"('inhospitable', 'hospitable')",-0.4818095,-0.783114,-0.3013045
20,1.1347114,1.0441415,"('rough', 'thoughtful')",1.1347114,1.0441415,-0.0905699
21,-0.6377595,-0.36806008,"('immoral', 'moral')",-0.6377595,-0.3680601,0.2696994
22,-0.6698931,-0.41951072,"('untrustworthy', 'trustworthy')",-0.6698931,-0.4195107,0.2503824
23,5.899945,5.9395275,"('insincere', 'sincere')",5.8999448,5.9395275,0.0395827
24,1.4284713,1.2951124,"('dishonest', 'honest')",1.4284713,1.2951124,-0.1333589
25,0.8832474,0.64224285,"('egoistic', 'altruistic')",0.8832474,0.6422428,-0.2410046
26,0.9591489,0.76629144,"('hardhearted', 'benevolent')",0.9591489,0.7662914,-0.1928575
27,1.5858264,1.3603206,"('hardhearted', 'softhearted')",1.5858264,1.3603206,-0.2255058
28,0.9450136,0.9194609,"('disloyal', 'loyal')",0.9450136,0.9194609,-0.0255527
29,-0.4991606,-0.68413764,"('unfair', 'fair')",-0.4991606,-0.6841376,-0.184977
30,0.76287013,0.92473274,"('intolerant', 'tolerant')",0.7628701,0.9247327,0.1618626
31,-0.98821414,-1.2806442,"('evil', 'good')",-0.9882141,-1.2806442,-0.2924301
32,0.6160289,0.65527767,"('unkind', 'kind')",0.6160289,0.6552777,0.0392488
33,-0.51438135,-0.72273624,"('wrong', 'right')",-0.5143813,-0.7227362,-0.2083549
34,4.4416685,4.419808,"('mean', 'honorable')",4.4416685,4.4198079,-0.0218606
35,-0.44894344,-0.93138725,"('corrupt', 'incorrupt')",-0.4489434,-0.9313872,-0.4824438
36,-0.48124275,-0.8564273,"('hostile', 'amicable')",-0.4812427,-0.8564273,-0.3751846
37,0.8154389,0.8006951,"('fake', 'genuine')",0.8154389,0.8006951,-0.0147438
38,-0.50337714,-0.52549404,"('untruthful', 'truthful')",-0.5033771,-0.525494,-0.0221169
39,0.43148127,0.518143,"('exploitative', 'cooperative')",0.4314813,0.518143,0.0866617
40,-1.3891528,-1.3490416,"('stingy', 'generous')",-1.3891528,-1.3490416,0.0401112
41,0.053902898,0.058614753,"('unforgiving', 'forgiving')",0.0539029,0.0586148,0.0047119
42,-2.4106643,-2.1370106,"('unreliable', 'reliable')",-2.4106643,-2.1370106,0.2736537
43,0.5953082,0.7753037,"('irresponsible', 'responsible')",0.5953082,0.7753037,0.1799955
44,-0.7595104,-0.61148727,"('prejudiced', 'unprejudiced')",-0.7595104,-0.6114873,0.1480231
45,-0.1384627,-0.09918994,"('incompetent', 'competent')",-0.1384627,-0.0991899,0.0392728
46,-0.771,-0.43344018,"('uncompetitive', 'competitive')",-0.771,-0.4334402,0.3375598
47,4.798407,4.859544,"('stupid', 'smart')",4.7984071,4.8595438,0.0611367
48,0.21433395,0.19111687,"('unintelligent', 'intelligent')",0.214334,0.1911169,-0.0232171
49,0.060511198,0.032408927,"('unable', 'able')",0.0605112,0.0324089,-0.0281023
50,-0.49668336,-0.57525027,"('clumsy', 'skillful')",-0.4966834,-0.5752503,-0.0785669
51,0.079758935,0.21661478,"('uneducated', 'educated')",0.0797589,0.2166148,0.1368559
52,-0.43510756,-0.6821935,"('irrational', 'rational')",-0.4351076,-0.6821935,-0.2470859
53,0.022374924,-0.25365648,"('uncreative', 'creative')",0.0223749,-0.2536565,-0.2760314
54,0.84850746,0.7775415,"('incapable', 'capable')",0.8485075,0.7775415,-0.070966
55,0.63451403,0.849263,"('incompetent', 'clever')",0.634514,0.849263,0.214749
