,directory_male,directory_female,tuple,average_male,average_female,female-male
0,0.22569089,0.12804285,"('unsociable', 'sociable')",0.2256909,0.1280428,-0.0976481
1,1.1772547,1.2299918,"('unfriendly', 'friendly')",1.1772547,1.2299918,0.0527371
2,0.10547955,0.26435328,"('unlikable', 'likable')",0.1054796,0.2643533,0.1588737
3,0.41469413,0.7864201,"('repellent', 'pleasant')",0.4146941,0.7864201,0.371726
4,-7.462366,-7.433077,"('disliked', 'liked')",-7.4623661,-7.4330769,0.0292892
5,-0.77682006,-0.6377537,"('distant', 'outgoing')",-0.7768201,-0.6377537,0.1390664
6,-0.22346494,-0.18681014,"('distant', 'open')",-0.2234649,-0.1868101,0.0366548
7,1.699287,1.6368285,"('insensitive', 'sensitive')",1.6992871,1.6368285,-0.0624586
8,0.7353638,0.84618354,"('unaffectionate', 'affectionate')",0.7353638,0.8461835,0.1108197
9,1.1845024,1.2239301,"('unaffectionate', 'caring')",1.1845024,1.2239301,0.0394277
10,1.3698108,1.3476149,"('unsympathetic', 'sympathetic')",1.3698108,1.3476149,-0.0221959
11,1.7571272,1.8078178,"('unhelpful', 'helpful')",1.7571272,1.8078178,0.0506906
12,-1.273021,-1.3161242,"('unsupportive', 'supportive')",-1.273021,-1.3161242,-0.0431032
13,-0.4501416,-0.172402,"('impolite', 'polite')",-0.4501416,-0.172402,0.2777396
14,0.37901375,0.32125178,"('antisocial', 'social')",0.3790137,0.3212518,-0.0577619
15,0.44543678,0.42430404,"('boring', 'funny')",0.4454368,0.424304,-0.0211328
16,-0.77798843,-0.7131603,"('unpopular', 'popular')",-0.7779884,-0.7131603,0.0648281
17,-0.024061877,0.08765574,"('nasty', 'nice')",-0.0240619,0.0876557,0.1117176
18,-1.0865217,-0.8022186,"('disagreeable', 'welcoming')",-1.0865217,-0.8022186,0.2843031
19,-0.6527475,-0.5913127,"('inhospitable', 'hospitable')",-0.6527475,-0.5913127,0.0614348
20,0.86298984,0.7277186,"('rough', 'thoughtful')",0.8629898,0.7277186,-0.1352712
21,-0.3016732,-0.1334292,"('immoral', 'moral')",-0.3016732,-0.1334292,0.168244
22,-0.07508066,-0.060206883,"('untrustworthy', 'trustworthy')",-0.0750807,-0.0602069,0.0148738
23,6.156453,6.3202753,"('insincere', 'sincere')",6.1564531,6.3202753,0.1638222
24,1.1112332,1.1892067,"('dishonest', 'honest')",1.1112332,1.1892067,0.0779735
25,0.3522458,0.49942097,"('egoistic', 'altruistic')",0.3522458,0.499421,0.1471752
26,2.110596,1.5836849,"('hardhearted', 'benevolent')",2.1105959,1.5836849,-0.526911
27,1.7999152,1.6943114,"('hardhearted', 'softhearted')",1.7999152,1.6943114,-0.1056038
28,1.2158847,1.0397813,"('disloyal', 'loyal')",1.2158847,1.0397813,-0.1761034
29,-0.3430313,-0.5608898,"('unfair', 'fair')",-0.3430313,-0.5608898,-0.2178585
30,0.7319787,0.90779275,"('intolerant', 'tolerant')",0.7319787,0.9077927,0.175814
31,-1.1839309,-1.1916807,"('evil', 'good')",-1.1839309,-1.1916807,-0.0077498
32,1.1298319,1.0287961,"('unkind', 'kind')",1.1298319,1.0287961,-0.1010358
33,-0.20461018,-0.3379114,"('wrong', 'right')",-0.2046102,-0.3379114,-0.1333012
