,du_male,du_female,tuple,pont_male,pont_female,ei_male,ei_female,de_male,de_female,nemours_male,nemours_female,&_male,&_female,co_male,co_female,average_male,average_female,female-male
0,0.14258245,-0.020168677,"('unsociable', 'sociable')",0.05156848,-0.09739144,0.41314015,0.25279033,0.7789579,0.7137134,-1.955479,-2.024805,1.0716841,1.118808,-0.9694413,-0.72507584,-0.0667124,-0.1117328,-0.0450204
1,-0.35889605,-0.5436722,"('unfriendly', 'friendly')",1.008099,0.7188638,-0.9803247,-1.2222327,-0.96773857,-1.1839755,-0.40429622,-0.6031592,1.041729,0.8105381,2.6860325,2.255312,0.2892293,0.0330963,-0.256133
2,0.8671166,0.9367482,"('unlikable', 'likable')",0.84240705,0.8752287,0.56966615,0.69929403,1.1564095,1.1414098,0.5304497,0.5148948,1.5526222,1.6344717,0.7866634,0.9711577,0.9007621,0.9676008,0.0668387
3,-0.5090278,-0.34988132,"('repellent', 'pleasant')",-0.89218575,-0.9075001,0.3356518,0.3126604,-0.31781575,-0.21984236,-1.499101,-1.4068481,-0.47077787,-0.36651677,-0.08862538,0.091183014,-0.4916974,-0.4066779,0.0850195
4,-0.34519327,-0.46990895,"('disliked', 'liked')",-0.49803984,-0.5575592,-0.8777897,-0.85119957,-0.39576766,-0.5367738,0.27860525,0.17945763,-0.49052915,-0.72173697,-7.202505,-7.0377026,-1.3616028,-1.4279176,-0.0663148
5,0.39947113,0.19492391,"('distant', 'outgoing')",0.90433174,0.8160473,-0.29312378,-0.2539455,0.098724365,-0.08469626,1.896379,1.7507598,1.0334046,0.75864565,1.4989825,1.2956729,0.7911671,0.6396297,-0.1515374
6,0.20364961,-0.031369295,"('distant', 'open')",1.5228842,1.4202099,-0.03427592,-0.04843007,0.11138998,-0.07051086,2.0940354,1.9156883,1.4426122,1.1298496,1.6624272,1.3397139,1.000389,0.8078788,-0.1925102
7,-0.75250214,-0.75954694,"('insensitive', 'sensitive')",-0.6302097,-0.7238774,-0.38098136,-0.4800077,-0.61664194,-0.512747,-2.6303105,-2.6356514,0.21009868,0.35426325,-0.36826104,-0.20970306,-0.7384011,-0.7096101,0.028791
8,-0.7502877,-0.897078,"('unaffectionate', 'affectionate')",0.29563186,0.1745571,-1.7540114,-1.8882526,-0.08595686,-0.2308381,0.33438754,0.1685488,0.34139842,0.14358641,2.1804595,1.7712271,0.0802316,-0.1083213,-0.1885529
9,-0.6982355,-0.8581848,"('unaffectionate', 'caring')",-0.036528848,-0.18741727,-1.121023,-1.3143464,-0.74110717,-0.9171525,-0.35715914,-0.5093919,0.6483536,0.4435442,1.9104642,1.604186,-0.0564623,-0.2483947,-0.1919324
