,civilian_male,civilian_female,tuple,average_male,average_female,female-male
0,0.07436969,-0.034614213,"('unsociable', 'sociable')",0.0743697,-0.0346142,-0.1089839
1,0.69443655,0.7279479,"('unfriendly', 'friendly')",0.6944366,0.7279479,0.0335113
2,0.24065816,0.3662089,"('unlikable', 'likable')",0.2406582,0.3662089,0.1255507
3,0.62122303,0.70746326,"('repellent', 'pleasant')",0.621223,0.7074633,0.0862403
4,-7.3380833,-7.4651575,"('disliked', 'liked')",-7.3380833,-7.4651575,-0.1270742
5,-1.0190346,-0.902373,"('distant', 'outgoing')",-1.0190346,-0.902373,0.1166616
6,-0.52401847,-0.42629692,"('distant', 'open')",-0.5240185,-0.4262969,0.0977216
7,0.9737301,0.9671492,"('insensitive', 'sensitive')",0.9737301,0.9671492,-0.0065809
8,1.0510693,0.95482284,"('unaffectionate', 'affectionate')",1.0510693,0.9548228,-0.0962465
9,1.7902333,1.7464528,"('unaffectionate', 'caring')",1.7902333,1.7464528,-0.0437805
10,0.98394746,0.9580548,"('unsympathetic', 'sympathetic')",0.9839475,0.9580548,-0.0258927
11,1.5763791,1.528965,"('unhelpful', 'helpful')",1.5763791,1.528965,-0.0474141
12,-1.669664,-1.7437767,"('unsupportive', 'supportive')",-1.669664,-1.7437767,-0.0741127
13,-0.19203284,-0.19353099,"('impolite', 'polite')",-0.1920328,-0.193531,-0.0014982
14,0.37596133,0.26678875,"('antisocial', 'social')",0.3759613,0.2667888,-0.1091725
15,-0.09736727,-0.16512918,"('boring', 'funny')",-0.0973673,-0.1651292,-0.0677619
16,-0.61062336,-0.53679794,"('unpopular', 'popular')",-0.6106234,-0.5367979,0.0738255
17,-0.23956701,-0.20604543,"('nasty', 'nice')",-0.239567,-0.2060454,0.0335216
18,-0.6127317,-0.5315915,"('disagreeable', 'welcoming')",-0.6127317,-0.5315915,0.0811402
19,-1.0948422,-1.0386528,"('inhospitable', 'hospitable')",-1.0948422,-1.0386528,0.0561894
20,0.99994475,0.9482061,"('rough', 'thoughtful')",0.9999447,0.9482061,-0.0517386
21,-0.029895546,0.047755912,"('immoral', 'moral')",-0.0298955,0.0477559,0.0776514
22,-0.08168567,-0.14658895,"('untrustworthy', 'trustworthy')",-0.0816857,-0.146589,-0.0649033
23,5.934747,5.927809,"('insincere', 'sincere')",5.9347472,5.9278088,-0.0069384
24,1.393105,1.2593813,"('dishonest', 'honest')",1.393105,1.2593813,-0.1337237
25,0.577464,0.6648775,"('egoistic', 'altruistic')",0.577464,0.6648775,0.0874135
26,1.1764008,1.0638589,"('hardhearted', 'benevolent')",1.1764008,1.0638589,-0.1125419
27,1.2301884,1.141665,"('hardhearted', 'softhearted')",1.2301884,1.141665,-0.0885234
28,1.511731,1.3974277,"('disloyal', 'loyal')",1.511731,1.3974277,-0.1143033
29,-0.32546768,-0.46459994,"('unfair', 'fair')",-0.3254677,-0.4645999,-0.1391322
30,0.7091799,0.76901555,"('intolerant', 'tolerant')",0.7091799,0.7690156,0.0598357
31,-1.6772816,-1.6130028,"('evil', 'good')",-1.6772816,-1.6130028,0.0642788
32,1.2836194,1.1651065,"('unkind', 'kind')",1.2836194,1.1651065,-0.1185129
33,-0.05333113,-0.11303033,"('wrong', 'right')",-0.0533311,-0.1130303,-0.0596992
34,4.1114755,4.243131,"('mean', 'honorable')",4.1114755,4.2431312,0.1316557
35,-0.94328934,-1.211759,"('corrupt', 'incorrupt')",-0.9432893,-1.211759,-0.2684697
36,-0.62008,-0.6551566,"('hostile', 'amicable')",-0.62008,-0.6551566,-0.0350766
