,fifth_male,fifth_female,tuple,third_male,third_female,bancorp_male,bancorp_female,average_male,average_female,female-male
0,2.6566556,2.4688506,"('unsociable', 'sociable')",0.8352708,0.7209096,-0.24123052,-0.25070387,1.0835653,0.9796855,-0.1038798
1,-1.7384335,-1.6765234,"('unfriendly', 'friendly')",-1.2092059,-1.1695297,1.3975965,1.2246113,-0.516681,-0.5404806,-0.0237996
2,0.23961076,0.215941,"('unlikable', 'likable')",1.2797787,1.2971398,1.1581795,1.162998,0.892523,0.8920263,-0.0004967
3,1.6475506,1.6266383,"('repellent', 'pleasant')",-0.16585395,-0.06251587,-0.77117497,-0.6813676,0.2368405,0.2942516,0.0574111
4,-2.1629817,-2.1236863,"('disliked', 'liked')",-0.076774895,-0.020546142,-2.697404,-2.630648,-1.6457202,-1.5916268,0.0540934
5,-3.2252383,-3.08532,"('distant', 'outgoing')",-0.79436016,-0.66357327,1.234638,1.2010782,-0.9283202,-0.8492717,0.0790485
6,-3.3537586,-3.2413855,"('distant', 'open')",-0.847957,-0.68301153,1.1453046,1.0769506,-1.0188036,-0.9491488,0.0696548
7,4.3255024,4.1920786,"('insensitive', 'sensitive')",1.7663081,1.7205778,-0.17430182,-0.12991446,1.9725029,1.9275807,-0.0449222
8,-1.8859751,-1.9085152,"('unaffectionate', 'affectionate')",-0.52198005,-0.5010123,0.66633904,0.4775971,-0.5805387,-0.6439768,-0.0634381
9,0.2772162,0.33439788,"('unaffectionate', 'caring')",-0.045629725,0.03431985,1.4508114,1.3558682,0.5607993,0.574862,0.0140627
10,4.736353,4.52221,"('unsympathetic', 'sympathetic')",1.5931032,1.5436726,-1.5645593,-1.5213025,1.588299,1.5148602,-0.0734388
11,3.1877742,3.0665503,"('unhelpful', 'helpful')",1.8095762,1.8030971,0.8800123,0.89463913,1.9591208,1.9214288,-0.037692
12,2.462183,2.3839915,"('unsupportive', 'supportive')",1.8007734,1.9261886,-0.9653797,-0.94942987,1.0991923,1.1202501,0.0210578
13,3.144754,3.0175817,"('impolite', 'polite')",1.4416384,1.3609422,-0.34246564,-0.316652,1.4146423,1.3539573,-0.060685
14,3.2620804,3.0623093,"('antisocial', 'social')",1.6724389,1.5484854,-0.86644894,-0.8635735,1.3560235,1.2490737,-0.1069498
15,-0.21281086,-0.27706456,"('boring', 'funny')",0.37743464,0.28345025,1.2773026,1.1881365,0.4806421,0.398174,-0.0824681
16,-2.4984145,-2.4292183,"('unpopular', 'popular')",-1.6107683,-1.532146,0.48947996,0.52230984,-1.2065676,-1.1463515,0.0602161
17,-0.8563328,-0.8658557,"('nasty', 'nice')",-0.20798385,-0.16165863,0.195933,0.2700461,-0.2894612,-0.2524894,0.0369718
18,-0.27364564,-0.22483629,"('disagreeable', 'welcoming')",0.17704818,0.30526182,-0.52481824,-0.5655782,-0.2071386,-0.1617176,0.045421
