,gran_male,gran_female,tuple,average_male,average_female,female-male
0,0.32685295,0.14111678,"('unsociable', 'sociable')",0.3268529,0.1411168,-0.1857361
1,0.98162645,1.1294305,"('unfriendly', 'friendly')",0.9816265,1.1294305,0.147804
2,-0.10364357,0.11394741,"('unlikable', 'likable')",-0.1036436,0.1139474,0.217591
3,0.8918588,1.0152093,"('repellent', 'pleasant')",0.8918588,1.0152093,0.1233505
4,-6.946806,-7.182695,"('disliked', 'liked')",-6.946806,-7.1826949,-0.2358889
5,-0.4524819,-0.32736254,"('distant', 'outgoing')",-0.4524819,-0.3273625,0.1251194
6,-0.066447064,-0.005319122,"('distant', 'open')",-0.0664471,-0.0053191,0.061128
7,1.2674153,1.2480618,"('insensitive', 'sensitive')",1.2674153,1.2480618,-0.0193535
8,0.9711406,1.0570719,"('unaffectionate', 'affectionate')",0.9711406,1.0570719,0.0859313
9,1.098755,1.2476516,"('unaffectionate', 'caring')",1.098755,1.2476516,0.1488966
10,1.0446138,0.9675098,"('unsympathetic', 'sympathetic')",1.0446138,0.9675098,-0.077104
11,1.3253188,1.3889605,"('unhelpful', 'helpful')",1.3253188,1.3889605,0.0636417
12,-1.4646311,-1.4468286,"('unsupportive', 'supportive')",-1.4646311,-1.4468286,0.0178025
13,-0.091247246,0.031111613,"('impolite', 'polite')",-0.0912472,0.0311116,0.1223588
14,0.27861866,0.18086159,"('antisocial', 'social')",0.2786187,0.1808616,-0.0977571
15,0.17177635,0.14098969,"('boring', 'funny')",0.1717764,0.1409897,-0.0307867
16,-0.9130497,-0.83769435,"('unpopular', 'popular')",-0.9130497,-0.8376943,0.0753554
17,0.034022972,0.045823067,"('nasty', 'nice')",0.034023,0.0458231,0.0118001
18,-0.56949866,-0.39176515,"('disagreeable', 'welcoming')",-0.5694987,-0.3917651,0.1777336
19,-0.85581267,-0.6982301,"('inhospitable', 'hospitable')",-0.8558127,-0.6982301,0.1575826
20,0.62244093,0.5126242,"('rough', 'thoughtful')",0.6224409,0.5126242,-0.1098167
21,-0.2943961,-0.10579206,"('immoral', 'moral')",-0.2943961,-0.1057921,0.188604
22,-0.036120698,-0.03616061,"('untrustworthy', 'trustworthy')",-0.0361207,-0.0361606,-3.99e-05
23,5.712287,6.027292,"('insincere', 'sincere')",5.7122869,6.0272918,0.3150049
24,1.1705714,1.2068362,"('dishonest', 'honest')",1.1705714,1.2068362,0.0362648
25,0.77177435,0.901427,"('egoistic', 'altruistic')",0.7717744,0.901427,0.1296526
26,1.2242168,0.96434027,"('hardhearted', 'benevolent')",1.2242168,0.9643403,-0.2598765
27,1.694832,1.5228242,"('hardhearted', 'softhearted')",1.694832,1.5228242,-0.1720078
28,1.1937654,1.0390251,"('disloyal', 'loyal')",1.1937654,1.0390251,-0.1547403
29,-0.21899985,-0.43132687,"('unfair', 'fair')",-0.2189998,-0.4313269,-0.2123271
30,0.6766562,0.7058337,"('intolerant', 'tolerant')",0.6766562,0.7058337,0.0291775
31,-0.866651,-0.90885156,"('evil', 'good')",-0.866651,-0.9088516,-0.0422006
32,1.1666858,1.0384073,"('unkind', 'kind')",1.1666858,1.0384073,-0.1282785
33,-0.4323551,-0.4211817,"('wrong', 'right')",-0.4323551,-0.4211817,0.0111734
34,3.9184585,4.327193,"('mean', 'honorable')",3.9184585,4.3271928,0.4087343
35,-1.0244915,-1.2701703,"('corrupt', 'incorrupt')",-1.0244915,-1.2701703,-0.2456788
36,-0.6182954,-0.71526957,"('hostile', 'amicable')",-0.6182954,-0.7152696,-0.0969742
37,1.0007463,0.99009025,"('fake', 'genuine')",1.0007463,0.9900903,-0.010656
38,-0.6551843,-0.46736982,"('untruthful', 'truthful')",-0.6551843,-0.4673698,0.1878145
39,0.33336383,0.34922963,"('exploitative', 'cooperative')",0.3333638,0.3492296,0.0158658
40,-1.1117729,-1.1552212,"('stingy', 'generous')",-1.1117729,-1.1552212,-0.0434483
41,0.65098286,0.4741488,"('unforgiving', 'forgiving')",0.6509829,0.4741488,-0.1768341
42,-1.9773725,-2.1054058,"('unreliable', 'reliable')",-1.9773725,-2.1054058,-0.1280333
43,0.9403997,1.0741206,"('irresponsible', 'responsible')",0.9403997,1.0741206,0.1337209
