,ptc_male,ptc_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.33420417,0.13414131,"('unsociable', 'sociable')",-0.12905587,-0.2776279,0.1025741,-0.0717433,-0.1743174
1,-0.6357244,-0.7421741,"('unfriendly', 'friendly')",1.633887,1.5327142,0.4990813,0.3952701,-0.1038112
2,1.3085444,1.3044113,"('unlikable', 'likable')",1.0861197,1.1096988,1.197332,1.2070551,0.0097231
3,0.43368226,0.43850982,"('repellent', 'pleasant')",0.29494166,0.3011366,0.364312,0.3698232,0.0055112
4,0.21846536,0.19446376,"('disliked', 'liked')",-5.82468,-5.8972206,-2.8031073,-2.8513784,-0.0482711
5,-1.0338866,-0.97625905,"('distant', 'outgoing')",-0.5457425,-0.54082596,-0.7898145,-0.7585425,0.031272
6,-1.4412109,-1.3612784,"('distant', 'open')",-0.17026661,-0.20050049,-0.8057387,-0.7808895,0.0248492
7,0.3662234,0.29409266,"('insensitive', 'sensitive')",0.6906687,0.6776002,0.5284461,0.4858464,-0.0425997
8,-1.2203052,-1.1992613,"('unaffectionate', 'affectionate')",0.36700508,0.2952614,-0.42665,-0.452,-0.02535
9,-0.58179736,-0.6264483,"('unaffectionate', 'caring')",0.99794143,0.96496356,0.208072,0.1692576,-0.0388144
10,-0.02763633,-0.06624003,"('unsympathetic', 'sympathetic')",-0.5189177,-0.52587074,-0.273277,-0.2960554,-0.0227784
11,0.88493806,0.7849326,"('unhelpful', 'helpful')",1.7901841,1.7859061,1.3375611,1.2854193,-0.0521418
12,0.3176901,0.40066066,"('unsupportive', 'supportive')",-1.8609576,-1.8379884,-0.7716337,-0.7186639,0.0529698
13,0.33717573,0.2332713,"('impolite', 'polite')",-0.4355428,-0.47493678,-0.0491835,-0.1208327,-0.0716492
14,1.414311,1.3002058,"('antisocial', 'social')",-0.063112,-0.16090366,0.6755995,0.5696511,-0.1059484
15,0.66133344,0.56841445,"('boring', 'funny')",0.94193447,0.8783622,0.801634,0.7233883,-0.0782457
16,-0.6515857,-0.6140249,"('unpopular', 'popular')",0.6739186,0.64156145,0.0111665,0.0137683,0.0026018
17,0.19966683,0.22229838,"('nasty', 'nice')",-0.40600482,-0.41083598,-0.103169,-0.0942688,0.0089002
18,-1.1459935,-1.1137241,"('disagreeable', 'welcoming')",-0.3120009,-0.3974661,-0.7289972,-0.7555951,-0.0265979
19,-0.007373266,0.03404019,"('inhospitable', 'hospitable')",-0.05347038,-0.027724884,-0.0304218,0.0031577,0.0335795
20,0.825139,0.8034006,"('rough', 'thoughtful')",0.9734791,0.9391698,0.899309,0.8712852,-0.0280238
21,1.1925746,1.1195315,"('immoral', 'moral')",-0.02177502,-0.021976424,0.5853998,0.5487775,-0.0366223
22,0.34965056,0.29045743,"('untrustworthy', 'trustworthy')",-0.6874837,-0.7666009,-0.1689166,-0.2380717,-0.0691551
23,0.1708285,0.06298578,"('insincere', 'sincere')",5.7143154,5.599314,2.9425719,2.8311501,-0.1114218
24,-0.04869914,-0.13992393,"('dishonest', 'honest')",0.70021796,0.6405562,0.3257594,0.2503161,-0.0754433
25,-0.5806018,-0.5689315,"('egoistic', 'altruistic')",1.466313,1.4357581,0.4428556,0.4334133,-0.0094423
26,0.7057064,0.59813076,"('hardhearted', 'benevolent')",1.9758078,1.9367542,1.3407571,1.2674425,-0.0733146
27,-0.24831639,-0.2893095,"('hardhearted', 'softhearted')",1.2370764,1.1343597,0.49438,0.4225251,-0.0718549
28,-0.11752347,-0.24743393,"('disloyal', 'loyal')",1.0583681,0.9166423,0.4704223,0.3346042,-0.1358181
