,pioneer_male,pioneer_female,tuple,natural_male,natural_female,resources_male,resources_female,co_male,co_female,average_male,average_female,female-male
0,1.535797,1.5544366,"('unsociable', 'sociable')",0.15842655,0.08245908,-0.0867123,-0.15335745,-0.4134457,-0.47005713,0.2985164,0.2533703,-0.0451461
1,-1.260899,-1.3900985,"('unfriendly', 'friendly')",0.21006984,0.04531321,1.0021794,0.74482733,2.0240185,1.9327004,0.4938422,0.3331856,-0.1606566
2,0.48602992,0.56115377,"('unlikable', 'likable')",0.18784691,0.24490514,0.7366284,0.77455616,0.7404632,0.9074763,0.5377421,0.6220229,0.0842808
3,1.751293,1.9002649,"('repellent', 'pleasant')",-0.2898492,-0.3493695,0.791158,0.77728605,0.79196054,0.8240399,0.7611406,0.7880553,0.0269147
4,-1.2982179,-1.4071989,"('disliked', 'liked')",0.06577863,0.06469892,0.097156316,0.14611788,-7.210616,-7.25766,-2.0864749,-2.1135106,-0.0270357
5,-2.7063272,-2.7527404,"('distant', 'outgoing')",0.1239797,0.21209884,0.18966591,0.2266497,-0.07825982,-0.008547451,-0.6177353,-0.5806348,0.0371005
6,-2.4938672,-2.538641,"('distant', 'open')",-0.14489958,-0.11287122,-0.035914347,-0.05020246,0.3062994,0.3770107,-0.5920954,-0.5811759,0.0109195
7,2.3305588,2.4039207,"('insensitive', 'sensitive')",1.5555149,1.5691568,1.1491348,1.1190608,0.62750715,0.6712489,1.4156789,1.4408468,0.0251679
8,-1.0173604,-1.1526034,"('unaffectionate', 'affectionate')",-0.027147263,-0.07562936,-0.23652771,-0.32193843,0.9643394,0.8976796,-0.079174,-0.1631229,-0.0839489
9,0.5997006,0.5368739,"('unaffectionate', 'caring')",0.8730595,0.81413114,1.0443571,0.92332894,1.294428,1.2736179,0.9528863,0.8869879,-0.0658984
10,2.9142315,3.0354817,"('unsympathetic', 'sympathetic')",-0.20723753,-0.27665788,-0.532981,-0.61998546,-0.6476439,-0.593004,0.3815923,0.3864586,0.0048663
11,1.5972445,1.7325536,"('unhelpful', 'helpful')",1.1352149,1.235703,0.85257334,0.9024857,1.5822335,1.7275547,1.2918166,1.3995743,0.1077577
12,2.477077,2.531317,"('unsupportive', 'supportive')",1.1747935,1.1963903,1.1719283,1.1890103,-1.9216186,-1.9114032,0.725545,0.7513286,0.0257836
13,1.8429576,1.9627038,"('impolite', 'polite')",0.34840608,0.3834085,0.16936576,0.15791509,-0.40720683,-0.39988083,0.4883807,0.5260366,0.0376559
14,1.2618984,1.3394425,"('antisocial', 'social')",0.14476751,0.18833789,0.30565545,0.38074595,-0.47859967,-0.50522524,0.3084304,0.3508253,0.0423949
15,-0.4023066,-0.441886,"('boring', 'funny')",0.96299446,0.9503347,-0.07165984,-0.120945305,0.39523885,0.4406978,0.2210667,0.2070503,-0.0140164
16,-1.5684799,-1.6969544,"('unpopular', 'popular')",0.78102577,0.6431125,0.6447388,0.57160705,-0.0034574047,0.013520002,-0.0365432,-0.1171787,-0.0806355
17,0.11864373,0.19049987,"('nasty', 'nice')",-0.119304456,-0.023527775,0.07153969,0.2301947,-0.09882614,-0.037939187,-0.0069868,0.0898069,0.0967937
18,0.3823145,0.34263012,"('disagreeable', 'welcoming')",-0.20332167,-0.1828535,-0.07914883,0.007652603,-0.4596519,-0.41423148,-0.089952,-0.0617006,0.0282514
19,-1.2443582,-1.2364422,"('inhospitable', 'hospitable')",-1.0965966,-0.98773235,-1.156549,-1.0767602,-0.12519298,0.00959802,-0.9056742,-0.8228342,0.08284
20,0.56671643,0.6205783,"('rough', 'thoughtful')",-0.58276737,-0.52727234,-0.60556316,-0.54666364,0.29528394,0.24109808,-0.0815825,-0.0530649,0.0285176
21,1.9318595,2.0744932,"('immoral', 'moral')",1.3060505,1.3452708,0.7550358,0.7760789,-0.85971,-0.755264,0.783309,0.8601447,0.0768357
22,0.9479035,0.98072994,"('untrustworthy', 'trustworthy')",0.12267327,0.1145463,-0.11368098,-0.0992095,-0.54467344,-0.48272562,0.1030556,0.1283353,0.0252797
23,1.7249831,1.8387243,"('insincere', 'sincere')",1.1704292,1.0531896,1.3039353,1.1505995,6.0194592,6.026336,2.5547018,2.5172124,-0.0374894
24,0.6140016,0.62265164,"('dishonest', 'honest')",0.018048434,0.07336684,0.12075129,0.10117875,0.74481034,0.7052108,0.3744029,0.375602,0.0011991
25,-1.189948,-1.277258,"('egoistic', 'altruistic')",0.2184712,0.1639058,1.2702777,1.1975349,1.7444142,1.6282091,0.5108038,0.4280979,-0.0827059
26,-0.13757426,-0.33576787,"('hardhearted', 'benevolent')",0.9832765,0.8537582,1.336328,1.1753122,1.6103283,1.5204833,0.9480896,0.8034464,-0.1446432
27,1.0180997,0.9701771,"('hardhearted', 'softhearted')",-0.7818334,-0.7150123,0.3858989,0.35012758,1.5681463,1.4945657,0.5475779,0.5249645,-0.0226134
28,1.3428538,1.3205049,"('disloyal', 'loyal')",0.868528,0.7641163,0.34190252,0.2279373,0.84798634,0.70896786,0.8503177,0.7553816,-0.0949361
29,-0.7188553,-0.7700533,"('unfair', 'fair')",0.2897992,0.29851714,0.12587282,0.15168634,-0.27906567,-0.39322618,-0.1455622,-0.178269,-0.0327068
30,1.8396077,1.9327048,"('intolerant', 'tolerant')",0.7307172,0.8098825,1.4641854,1.5286443,0.1552661,0.2974108,1.0474441,1.1421607,0.0947166
