,lincoln_male,lincoln_female,tuple,national_male,national_female,corp_male,corp_female,average_male,average_female,female-male
0,0.3451588,0.26715624,"('unsociable', 'sociable')",0.10360375,0.123382986,-0.36086357,-0.36700192,0.0292997,0.0078458,-0.0214539
1,-0.8096429,-1.0245064,"('unfriendly', 'friendly')",0.17543104,0.01856333,1.5370123,1.3182026,0.3009335,0.1040865,-0.196847
2,-0.029133596,0.038774747,"('unlikable', 'likable')",0.7803911,0.83967286,0.7525061,0.79005796,0.5012545,0.5561685,0.054914
3,0.54797,0.6525519,"('repellent', 'pleasant')",-0.3086981,-0.23052733,0.79694074,0.9022468,0.3454042,0.4414238,0.0960196
4,-0.88436496,-1.0123837,"('disliked', 'liked')",-0.008977238,-0.14781635,-7.375353,-7.6340356,-2.7562316,-2.9314117,-0.1751801
5,-0.9578677,-1.0146382,"('distant', 'outgoing')",-0.05271387,-0.13324662,-0.43873847,-0.58629787,-0.4831067,-0.5780609,-0.0949542
6,-1.1763831,-1.2223223,"('distant', 'open')",-0.2771881,-0.3702322,-0.10697071,-0.27124596,-0.5201806,-0.6212668,-0.1010862
7,0.36860833,0.40354732,"('insensitive', 'sensitive')",-0.20596078,-0.02598582,0.40189326,0.5126399,0.1881803,0.2967338,0.1085535
8,-0.45968014,-0.5686001,"('unaffectionate', 'affectionate')",-0.43429327,-0.6257369,0.7080278,0.6126762,-0.0619819,-0.1938869,-0.131905
9,0.25570187,0.14806183,"('unaffectionate', 'caring')",-0.07625826,-0.18048269,1.2288967,1.2045765,0.4694468,0.3907185,-0.0787283
10,0.7426902,0.7142164,"('unsympathetic', 'sympathetic')",-0.779464,-0.72109574,-0.57268685,-0.4828625,-0.2031536,-0.1632473,0.0399063
11,0.49606296,0.60403746,"('unhelpful', 'helpful')",0.34474915,0.39577556,1.480635,1.6010524,0.7738157,0.8669551,0.0931394
12,1.4829863,1.5462834,"('unsupportive', 'supportive')",0.7988244,0.85945034,-2.1812468,-2.181163,0.0335213,0.0748568,0.0413355
13,0.26145974,0.3298253,"('impolite', 'polite')",0.13825156,0.28974062,-1.0615667,-0.9169642,-0.2206185,-0.0991327,0.1214858
14,0.14055875,0.2290157,"('antisocial', 'social')",1.0254099,1.1450428,-0.22947413,-0.21178086,0.3121648,0.3874259,0.0752611
15,-0.9577936,-1.0613552,"('boring', 'funny')",-0.035677716,-0.10574584,-0.01637865,-0.06356202,-0.3366167,-0.410221,-0.0736043
16,-1.562104,-1.7423247,"('unpopular', 'popular')",-0.056482542,-0.17147055,0.2669666,0.08725633,-0.45054,-0.6088463,-0.1583063
17,0.11406733,0.21225701,"('nasty', 'nice')",-0.4059591,-0.28269845,-0.72532684,-0.6883926,-0.3390729,-0.2529447,0.0861282
18,-0.12010991,-0.12581313,"('disagreeable', 'welcoming')",0.7636569,0.86034834,-0.64164627,-0.7104632,0.0006336,0.008024,0.0073904
19,-0.9959488,-0.9683978,"('inhospitable', 'hospitable')",-0.5626532,-0.57126343,-0.96014065,-0.9545165,-0.8395809,-0.8313925,0.0081884
20,-0.008427523,0.0332542,"('rough', 'thoughtful')",0.3371053,0.37293988,0.9075557,0.9217972,0.4120778,0.4426637,0.0305859
21,0.09436623,0.15706836,"('immoral', 'moral')",0.5480396,0.71928537,-0.78921854,-0.622899,-0.0489376,0.0844849,0.1334225
22,-0.028280355,0.033381004,"('untrustworthy', 'trustworthy')",0.4871174,0.5483329,-0.91462237,-0.8700818,-0.1519284,-0.0961226,0.0558058
23,0.86019486,0.8660036,"('insincere', 'sincere')",0.2344858,0.28998372,5.876195,5.952999,2.3236252,2.3696621,0.0460369
24,0.6854319,0.69126546,"('dishonest', 'honest')",0.760494,0.7980156,0.54910356,0.56836534,0.6650098,0.6858821,0.0208723
25,0.08660757,-0.02201812,"('egoistic', 'altruistic')",-0.18952191,-0.1958566,1.4026676,1.3313427,0.4332511,0.371156,-0.0620951
26,0.023464566,-0.07433521,"('hardhearted', 'benevolent')",1.8530028,1.8073839,1.6479827,1.5235939,1.1748167,1.0855475,-0.0892692
27,-0.24249215,-0.2112023,"('hardhearted', 'softhearted')",-1.0327557,-0.92166305,1.2003528,1.1487974,-0.024965,0.0053107,0.0302757
28,0.17509434,-0.041428074,"('disloyal', 'loyal')",0.5729345,0.4107792,1.2834347,1.1774981,0.6771545,0.5156164,-0.1615381
29,-0.6434157,-0.64258546,"('unfair', 'fair')",-0.11027458,-0.11129826,0.068346016,-0.05855707,-0.2284481,-0.2708136,-0.0423655
30,0.4835616,0.60219336,"('intolerant', 'tolerant')",0.05865869,0.13504845,0.40827566,0.48334756,0.316832,0.4068631,0.0900311
31,-1.6405697,-1.622745,"('evil', 'good')",0.1683813,0.16192265,-0.7388314,-0.88144255,-0.7370066,-0.780755,-0.0437484
32,0.03866241,-0.047211953,"('unkind', 'kind')",0.59858584,0.65534914,0.5781499,0.5148954,0.4051327,0.3743442,-0.0307885
33,0.7775108,0.6544152,"('wrong', 'right')",1.317481,1.2027942,-0.44656613,-0.5341609,0.5494753,0.4410162,-0.1084591
