,scow_male,scow_female,tuple,average_male,average_female,female-male
0,0.13473435,0.11400072,"('unsociable', 'sociable')",0.1347343,0.1140007,-0.0207336
1,-0.4001966,-0.8084677,"('unfriendly', 'friendly')",-0.4001966,-0.8084677,-0.4082711
2,0.3999873,0.43235776,"('unlikable', 'likable')",0.3999873,0.4323578,0.0323705
3,-0.20606168,0.04316602,"('repellent', 'pleasant')",-0.2060617,0.043166,0.2492277
4,-2.625507,-2.706402,"('disliked', 'liked')",-2.6255071,-2.7064021,-0.080895
5,-1.3487209,-1.5408161,"('distant', 'outgoing')",-1.3487209,-1.5408161,-0.1920952
6,-1.1379896,-1.3799536,"('distant', 'open')",-1.1379896,-1.3799536,-0.241964
7,0.4812847,0.52767146,"('insensitive', 'sensitive')",0.4812847,0.5276715,0.0463868
8,0.26622066,0.0017165691,"('unaffectionate', 'affectionate')",0.2662207,0.0017166,-0.2645041
9,0.49601927,0.25684422,"('unaffectionate', 'caring')",0.4960193,0.2568442,-0.2391751
10,0.24836671,0.4012705,"('unsympathetic', 'sympathetic')",0.2483667,0.4012705,0.1529038
11,0.26326197,0.28246614,"('unhelpful', 'helpful')",0.263262,0.2824661,0.0192041
12,-1.1686006,-1.1846809,"('unsupportive', 'supportive')",-1.1686006,-1.1846809,-0.0160803
13,-0.61681926,-0.5593168,"('impolite', 'polite')",-0.6168193,-0.5593168,0.0575025
14,0.65603733,0.82532513,"('antisocial', 'social')",0.6560373,0.8253251,0.1692878
15,0.35428748,0.2115624,"('boring', 'funny')",0.3542875,0.2115624,-0.1427251
16,-0.12702009,-0.2846073,"('unpopular', 'popular')",-0.1270201,-0.2846073,-0.1575872
17,-0.44549158,-0.47127327,"('nasty', 'nice')",-0.4454916,-0.4712733,-0.0257817
18,-0.8323242,-0.87510216,"('disagreeable', 'welcoming')",-0.8323242,-0.8751022,-0.042778
19,-1.52015,-1.6076609,"('inhospitable', 'hospitable')",-1.5201499,-1.6076609,-0.087511
20,0.3660581,0.42009875,"('rough', 'thoughtful')",0.3660581,0.4200988,0.0540407
21,-0.71819824,-0.43498623,"('immoral', 'moral')",-0.7181982,-0.4349862,0.283212
22,0.43311518,0.42951614,"('untrustworthy', 'trustworthy')",0.4331152,0.4295161,-0.0035991
23,2.1386049,2.1373315,"('insincere', 'sincere')",2.1386049,2.1373315,-0.0012734
24,0.22397971,0.12512045,"('dishonest', 'honest')",0.2239797,0.1251204,-0.0988593
25,0.3794562,0.1772821,"('egoistic', 'altruistic')",0.3794562,0.1772821,-0.2021741
26,0.5416738,0.19915076,"('hardhearted', 'benevolent')",0.5416738,0.1991508,-0.342523
27,0.9244944,0.5987361,"('hardhearted', 'softhearted')",0.9244944,0.5987361,-0.3257583
28,0.402246,0.27330276,"('disloyal', 'loyal')",0.402246,0.2733028,-0.1289432
29,0.08863853,0.0061805607,"('unfair', 'fair')",0.0886385,0.0061806,-0.0824579
30,0.13629131,0.30871037,"('intolerant', 'tolerant')",0.1362913,0.3087104,0.1724191
31,-1.0941588,-1.2096931,"('evil', 'good')",-1.0941588,-1.2096931,-0.1155343
32,0.015110111,-0.19457257,"('unkind', 'kind')",0.0151101,-0.1945726,-0.2096827
33,-0.48799184,-0.6109213,"('wrong', 'right')",-0.4879918,-0.6109213,-0.1229295
34,1.7834389,1.8474538,"('mean', 'honorable')",1.7834389,1.8474538,0.0640149
35,-0.36863667,-0.6013095,"('corrupt', 'incorrupt')",-0.3686367,-0.6013095,-0.2326728
36,-0.37240863,-0.55848366,"('hostile', 'amicable')",-0.3724086,-0.5584837,-0.1860751
37,0.4513512,0.49290055,"('fake', 'genuine')",0.4513512,0.4929006,0.0415494
