,stanley_male,stanley_female,tuple,black_male,black_female,&_male,&_female,decker_male,decker_female,inc_male,inc_female,average_male,average_female,female-male
0,0.51150125,0.34384224,"('unsociable', 'sociable')",-0.83247215,-1.0109842,-1.1037402,-1.284738,-1.5249033,-1.5699677,-0.56865513,-0.82825357,-0.7036539,-0.8700203,-0.1663664
1,0.14366935,0.14939657,"('unfriendly', 'friendly')",-1.2345638,-1.2158505,-0.39122993,-0.4414583,1.100579,1.0892897,1.6314491,1.4511201,0.2499808,0.2064995,-0.0434813
2,0.68255645,0.72012043,"('unlikable', 'likable')",-0.08671585,-0.0073212385,1.4483258,1.5242729,0.9722422,1.0089409,0.82116896,0.98575747,0.7675155,0.8463541,0.0788386
3,-0.9955405,-0.85678786,"('repellent', 'pleasant')",-0.0013628099,-0.041062217,-0.55061316,-0.5564875,-1.5029856,-1.4428993,-0.020678408,-0.04770614,-0.6142361,-0.5889886,0.0252475
4,-0.094536506,-0.121505916,"('disliked', 'liked')",-0.6125137,-0.6551128,0.8919141,0.89245504,1.0036212,1.0358615,-5.0051694,-4.8574023,-0.7633368,-0.7411409,0.0221959
5,-0.31295323,-0.2404856,"('distant', 'outgoing')",-0.29103416,-0.20346324,0.9661621,1.1131465,2.8595433,2.9112036,0.14806524,0.26070565,0.6739567,0.7682214,0.0942647
6,-0.605185,-0.5550604,"('distant', 'open')",0.6360521,0.74329525,0.85047495,1.0465103,2.2839718,2.3577354,0.33696985,0.4227977,0.7004567,0.8030557,0.102599
7,-0.26999563,-0.34851944,"('insensitive', 'sensitive')",0.16136825,0.16901058,-1.896758,-1.8881651,-1.0539302,-1.0208108,0.16927299,0.049815007,-0.5780086,-0.607734,-0.0297254
8,0.670592,0.7213903,"('unaffectionate', 'affectionate')",-0.9707228,-0.9105987,0.12920412,0.12626684,1.6994678,1.6463758,0.59113264,0.55262905,0.4239347,0.4272127,0.003278
9,1.3664966,1.3602496,"('unaffectionate', 'caring')",0.18524319,0.26201984,-0.2654728,-0.33360687,0.81040055,0.7569323,0.99598366,0.9035149,0.6185302,0.589822,-0.0287082
10,0.65686417,0.44845995,"('unsympathetic', 'sympathetic')",-0.7009726,-0.8159285,-2.7618704,-2.9202929,-3.546108,-3.5739863,-0.46834135,-0.688839,-1.3640857,-1.5101173,-0.1460316
11,-0.138282,-0.18872063,"('unhelpful', 'helpful')",-0.9926489,-0.9815913,-2.1171198,-2.2419927,-1.9221486,-1.9310647,1.9638554,1.8910097,-0.6412688,-0.6904719,-0.0492031
12,1.8118857,1.8986876,"('unsupportive', 'supportive')",0.39871138,0.4730847,-0.50888014,-0.45472682,-0.009049511,0.03148655,-1.1652691,-1.1150696,0.1054796,0.1666925,0.0612129
13,0.5984818,0.4975887,"('impolite', 'polite')",-0.42700893,-0.48218614,-1.1419387,-1.2184118,-2.0433624,-2.0678978,-0.30886337,-0.449529,-0.6645383,-0.7440872,-0.0795489
14,0.3241739,0.30020142,"('antisocial', 'social')",0.21264349,0.095551915,-0.34333,-0.4381571,-1.906392,-1.916284,-0.6287439,-0.71892625,-0.4683297,-0.5355228,-0.0671931
15,-0.5308963,-0.5880327,"('boring', 'funny')",-0.29580164,-0.21394213,0.674545,0.71938086,0.26666373,0.27677387,0.25506872,0.29520574,0.0739159,0.0978771,0.0239612
16,-0.8167903,-0.7315414,"('unpopular', 'popular')",0.027481299,0.08102599,0.68907785,0.80443805,-0.30984017,-0.22461343,0.60926753,0.5758565,0.0398392,0.1010331,0.0611939
17,-0.0026485892,0.06136112,"('nasty', 'nice')",-1.2130934,-1.1987861,0.24928601,0.3110587,0.44330645,0.49581993,-0.49875563,-0.43906578,-0.204381,-0.1539224,0.0504586
18,0.23262966,0.23380335,"('disagreeable', 'welcoming')",-1.4195588,-1.3773545,0.9253111,1.1164482,-0.47593915,-0.4905036,-0.3654492,-0.40539008,-0.2206013,-0.1845993,0.036002
19,-0.89859515,-0.8128748,"('inhospitable', 'hospitable')",-0.6832287,-0.5648797,-0.47633737,-0.38116053,1.3754363,1.4152035,-0.19552854,-0.07666649,-0.1756507,-0.0840756,0.0915751
20,0.21846102,0.33753937,"('rough', 'thoughtful')",-1.411807,-1.4088887,0.15191416,0.19402008,-0.6227872,-0.5882774,1.1345884,1.0665457,-0.1059261,-0.0798122,0.0261139
21,-0.34614104,-0.46629167,"('immoral', 'moral')",-0.22271489,-0.32098332,-1.0006499,-1.0692079,-3.662349,-3.6198466,-0.96391577,-1.1070334,-1.2391541,-1.3166725,-0.0775184
22,-1.0790211,-1.2191827,"('untrustworthy', 'trustworthy')",-1.2432126,-1.2924116,-0.998306,-1.0497555,-1.6645021,-1.6651722,-1.0441426,-1.1113998,-1.2058369,-1.2675843,-0.0617474
23,0.1844889,0.0253602,"('insincere', 'sincere')",-0.26157838,-0.33256984,-1.8259927,-1.9394772,-0.7139826,-0.76208925,4.8144436,4.498331,0.4394758,0.297911,-0.1415648
24,0.59893733,0.45959336,"('dishonest', 'honest')",-0.30036566,-0.347613,-1.2184732,-1.2437172,-0.37725988,-0.44747347,0.50968266,0.38240075,-0.1574957,-0.2393619,-0.0818662
25,0.121231616,0.28084737,"('egoistic', 'altruistic')",-0.6259944,-0.50024176,0.8290301,0.87723446,1.628212,1.6536456,1.0239514,1.0363578,0.5952862,0.6695687,0.0742825
26,1.8898667,1.9126576,"('hardhearted', 'benevolent')",-0.2900771,-0.29560682,1.3894372,1.2892395,0.8024313,0.75376904,1.7464933,1.5897266,1.1076303,1.0499572,-0.0576731
27,-0.5899199,-0.45530927,"('hardhearted', 'softhearted')",-1.6783217,-1.6581107,-1.6782575,-1.5647961,-0.14094345,-0.21407671,0.93536794,0.7963096,-0.6304149,-0.6191966,0.0112183
28,0.11602697,-0.112176314,"('disloyal', 'loyal')",0.17531069,0.1285161,-0.62802273,-0.80156165,-1.2827649,-1.3040973,0.3145369,0.09285723,-0.2609826,-0.3992924,-0.1383098
29,-2.1563148,-2.1688547,"('unfair', 'fair')",-0.16469228,-0.19924262,-0.8307307,-0.76923305,-0.34833568,-0.3128035,-0.92257714,-1.0128832,-0.8845302,-0.8926034,-0.0080732
30,-0.4755038,-0.5068502,"('intolerant', 'tolerant')",-1.1605427,-1.2110579,-1.7275376,-1.7820213,-2.2658527,-2.277288,0.88675964,0.7159586,-0.9485353,-1.0122518,-0.0637165
31,-1.33626,-1.0411825,"('evil', 'good')",-1.6754572,-1.4586976,0.7933278,0.9754845,2.3097994,2.4407341,-0.9042903,-0.84840083,-0.1625761,0.0135875,0.1761636
32,0.2623025,0.1065487,"('unkind', 'kind')",-0.025571011,-0.06911704,-0.95969135,-1.0382371,-1.3232715,-1.3309057,0.84417814,0.6225358,-0.2404106,-0.341835,-0.1014244
