,johnson_male,johnson_female,tuple,controls_male,controls_female,intl_male,intl_female,plc_male,plc_female,average_male,average_female,female-male
0,0.031612813,-0.12682654,"('unsociable', 'sociable')",0.8502307,0.81867886,-1.5611721,-1.6583397,-0.6713133,-0.74110496,-0.3376605,-0.4268981,-0.0892376
1,0.28283003,0.136253,"('unfriendly', 'friendly')",-0.7093375,-0.9248012,-1.2809826,-1.4236445,2.1977544,1.8936316,0.1225661,-0.0796403,-0.2022064
2,0.55062485,0.63792044,"('unlikable', 'likable')",0.47144514,0.5140767,0.617969,0.68233407,0.34714997,0.4103191,0.4967972,0.5611626,0.0643654
3,-0.48452464,-0.41466036,"('repellent', 'pleasant')",-0.4095015,-0.32324567,-0.3860256,-0.40546274,-0.24725258,-0.19320594,-0.3818261,-0.3341437,0.0476824
4,-0.9094263,-1.0363078,"('disliked', 'liked')",-1.302195,-1.5075225,0.073582694,0.051653184,-5.022239,-4.9699354,-1.7900695,-1.8655281,-0.0754586
5,-0.16075948,-0.13338709,"('distant', 'outgoing')",-1.5028049,-1.572373,-0.13139074,-0.11775526,0.53148276,0.37696284,-0.3158681,-0.3616381,-0.04577
6,-0.3494585,-0.28316668,"('distant', 'open')",-1.9435352,-2.008474,0.010932721,-0.017548122,0.73555833,0.5416286,-0.3866257,-0.4418901,-0.0552644
7,0.25190884,0.2522519,"('insensitive', 'sensitive')",0.9800623,1.0738249,-0.6886204,-0.67029405,0.37287208,0.40966222,0.2290557,0.2663612,0.0373055
8,0.010393189,-0.015142786,"('unaffectionate', 'affectionate')",-0.6515105,-0.83372235,-1.3118516,-1.3970915,1.0277975,0.78365695,-0.2312928,-0.3655749,-0.1342821
9,0.16207148,0.11138286,"('unaffectionate', 'caring')",-0.006680131,-0.1852241,-1.8541675,-1.9142393,1.4128239,1.2067974,-0.0714881,-0.1953208,-0.1238327
10,-0.15770695,-0.19824281,"('unsympathetic', 'sympathetic')",0.7551224,0.8053229,-2.1984956,-2.197645,-0.70989627,-0.62411314,-0.5777441,-0.5536695,0.0240746
11,0.5657497,0.5722893,"('unhelpful', 'helpful')",0.9243156,0.94509226,-1.5037612,-1.4742137,0.896553,0.8969929,0.2207143,0.2350402,0.0143259
12,0.94223917,0.9523805,"('unsupportive', 'supportive')",0.9832084,1.0032139,-2.023268,-1.9407226,-1.3806151,-1.3151731,-0.3696089,-0.3250754,0.0445335
13,0.16831806,0.16490677,"('impolite', 'polite')",1.2429202,1.3173498,-0.4963185,-0.42557707,-0.8821504,-0.8095029,0.0081923,0.0617941,0.0536018
14,0.047365353,-0.0328592,"('antisocial', 'social')",1.7381011,1.7499486,-0.29056156,-0.31656364,0.08940408,0.21638784,0.3960772,0.4042284,0.0081512
15,-0.061831668,-0.10650483,"('boring', 'funny')",-0.18712848,-0.26161528,0.95274705,0.967314,0.05925029,0.02774959,0.1907593,0.1567359,-0.0340234
16,-1.1713988,-1.1740277,"('unpopular', 'popular')",-1.3482078,-1.3518589,0.20490402,0.17304122,0.20627227,0.13645068,-0.5271075,-0.5540986,-0.0269911
17,-0.15102562,-0.11803881,"('nasty', 'nice')",-1.6192441,-1.6396661,-0.7402802,-0.71237546,-0.80576706,-0.8612961,-0.8290793,-0.8328441,-0.0037648
18,-0.6594018,-0.6069315,"('disagreeable', 'welcoming')",-1.5407099,-1.5078858,-0.67660165,-0.64087737,-1.081542,-1.1777676,-0.9895638,-0.9833657,0.0061981
19,-0.5764421,-0.4862617,"('inhospitable', 'hospitable')",-1.5289074,-1.5692501,-0.62122315,-0.632749,-0.38846746,-0.51241505,-0.7787601,-0.800169,-0.0214089
20,-0.57023144,-0.5354068,"('rough', 'thoughtful')",-0.14450373,-0.07180459,-0.50829387,-0.52468574,1.1107656,1.1290746,-0.0280659,-0.0007057,0.0273602
21,-0.33140323,-0.32000154,"('immoral', 'moral')",0.44938403,0.54923666,-1.414564,-1.3120241,-1.6475627,-1.4608146,-0.7360365,-0.6359009,0.1001356
22,-0.23659569,-0.31199434,"('untrustworthy', 'trustworthy')",-0.21836692,-0.24085918,-1.1756121,-1.2289526,-1.4529113,-1.4735476,-0.7708715,-0.8138385,-0.042967
23,0.17432463,0.104648374,"('insincere', 'sincere')",0.65311974,0.6528704,-1.451637,-1.5241454,4.5454764,4.3158507,0.9803209,0.887306,-0.0930149
24,0.3827372,0.34430775,"('dishonest', 'honest')",-0.7771905,-0.80496144,-0.9361854,-0.93651146,0.44961762,0.37498122,-0.2202553,-0.255546,-0.0352907
25,0.0012631416,0.01908464,"('egoistic', 'altruistic')",-0.63959163,-0.68481547,0.12949294,0.08174069,1.5133548,1.3722348,0.2511298,0.1970612,-0.0540686
26,0.2449174,0.18429606,"('hardhearted', 'benevolent')",0.87936544,0.7443571,0.88440424,0.7834258,2.3923702,2.2419105,1.1002643,0.9884974,-0.1117669
27,-0.30921075,-0.18520647,"('hardhearted', 'softhearted')",-0.9574449,-0.9688392,-0.50028074,-0.6204735,0.6938054,0.5389227,-0.2682828,-0.3088991,-0.0406163
28,-0.18760172,-0.2930861,"('disloyal', 'loyal')",-0.28611088,-0.42230716,-1.2737452,-1.3778793,0.9038744,0.7360542,-0.2108958,-0.3393046,-0.1284088
29,0.04016824,-0.016081244,"('unfair', 'fair')",-0.27197897,-0.28787333,-0.7483326,-0.8472254,-0.61889917,-0.75375414,-0.3997606,-0.4762335,-0.0764729
