,correspondence_male,correspondence_female,tuple,average_male,average_female,female-male
0,0.6060128,0.49133575,"('unsociable', 'sociable')",0.6060128,0.4913357,-0.1146771
1,0.52407146,0.5574757,"('unfriendly', 'friendly')",0.5240715,0.5574757,0.0334042
2,0.24775586,0.35860622,"('unlikable', 'likable')",0.2477559,0.3586062,0.1108503
3,0.47415942,0.4049199,"('repellent', 'pleasant')",0.4741594,0.4049199,-0.0692395
4,-7.1413736,-7.0163126,"('disliked', 'liked')",-7.1413736,-7.0163126,0.125061
5,-1.7724228,-1.6655155,"('distant', 'outgoing')",-1.7724228,-1.6655155,0.1069073
6,-1.2231356,-1.1050795,"('distant', 'open')",-1.2231356,-1.1050795,0.1180561
7,1.3940992,1.32798,"('insensitive', 'sensitive')",1.3940992,1.32798,-0.0661192
8,0.44027454,0.4337776,"('unaffectionate', 'affectionate')",0.4402745,0.4337776,-0.0064969
9,1.3676474,1.3793663,"('unaffectionate', 'caring')",1.3676474,1.3793663,0.0117189
10,1.232454,1.1150253,"('unsympathetic', 'sympathetic')",1.2324539,1.1150253,-0.1174286
11,1.8213115,1.7758409,"('unhelpful', 'helpful')",1.8213115,1.7758409,-0.0454706
12,-1.2205559,-1.1529878,"('unsupportive', 'supportive')",-1.2205559,-1.1529878,0.0675681
13,0.37119663,0.31793657,"('impolite', 'polite')",0.3711966,0.3179366,-0.05326
14,0.92222244,0.83743596,"('antisocial', 'social')",0.9222224,0.837436,-0.0847864
15,0.20506436,0.20815155,"('boring', 'funny')",0.2050644,0.2081515,0.0030871
16,-1.3714653,-1.3909601,"('unpopular', 'popular')",-1.3714653,-1.3909601,-0.0194948
17,-0.33652788,-0.3155341,"('nasty', 'nice')",-0.3365279,-0.3155341,0.0209938
18,-1.1040236,-1.0793118,"('disagreeable', 'welcoming')",-1.1040236,-1.0793118,0.0247118
19,-0.96041715,-0.84337276,"('inhospitable', 'hospitable')",-0.9604172,-0.8433728,0.1170444
20,1.2689875,1.1673518,"('rough', 'thoughtful')",1.2689875,1.1673518,-0.1016357
21,0.48094687,0.52054685,"('immoral', 'moral')",0.4809469,0.5205469,0.0396
22,0.44843534,0.4353109,"('untrustworthy', 'trustworthy')",0.4484353,0.4353109,-0.0131244
