,estuary_male,estuary_female,tuple,average_male,average_female,female-male
0,0.24872896,0.23563614,"('unsociable', 'sociable')",0.248729,0.2356361,-0.0130929
1,1.6140908,1.6159368,"('unfriendly', 'friendly')",1.6140908,1.6159368,0.001846
2,0.12259465,0.2684387,"('unlikable', 'likable')",0.1225946,0.2684387,0.1458441
3,0.8617562,0.93944347,"('repellent', 'pleasant')",0.8617562,0.9394435,0.0776873
4,-6.727685,-6.922942,"('disliked', 'liked')",-6.727685,-6.9229422,-0.1952572
5,-0.28991202,-0.23036316,"('distant', 'outgoing')",-0.289912,-0.2303632,0.0595488
6,0.107218854,0.07735498,"('distant', 'open')",0.1072189,0.077355,-0.0298639
7,1.3388656,1.3895571,"('insensitive', 'sensitive')",1.3388656,1.3895571,0.0506915
8,1.1017318,1.065274,"('unaffectionate', 'affectionate')",1.1017318,1.065274,-0.0364578
9,1.3970988,1.4789155,"('unaffectionate', 'caring')",1.3970988,1.4789155,0.0818167
10,1.0935329,1.188923,"('unsympathetic', 'sympathetic')",1.0935329,1.188923,0.0953901
11,1.913315,2.1282556,"('unhelpful', 'helpful')",1.9133151,2.1282556,0.2149405
12,-1.2524655,-1.1354561,"('unsupportive', 'supportive')",-1.2524655,-1.1354561,0.1170094
13,0.070598185,0.1766442,"('impolite', 'polite')",0.0705982,0.1766442,0.106046
14,0.15066074,0.12513123,"('antisocial', 'social')",0.1506607,0.1251312,-0.0255295
15,0.7685943,0.70036024,"('boring', 'funny')",0.7685943,0.7003602,-0.0682341
16,-0.55800784,-0.52867264,"('unpopular', 'popular')",-0.5580078,-0.5286726,0.0293352
17,-0.018288516,0.025165815,"('nasty', 'nice')",-0.0182885,0.0251658,0.0434543
18,-0.46882397,-0.31998327,"('disagreeable', 'welcoming')",-0.468824,-0.3199833,0.1488407
19,-0.5563997,-0.45760483,"('inhospitable', 'hospitable')",-0.5563997,-0.4576048,0.0987949
20,0.5686138,0.37244564,"('rough', 'thoughtful')",0.5686138,0.3724456,-0.1961682
21,-0.114626005,0.1700463,"('immoral', 'moral')",-0.114626,0.1700463,0.2846723
22,-0.2677589,-0.13987836,"('untrustworthy', 'trustworthy')",-0.2677589,-0.1398784,0.1278805
23,6.329322,6.5948024,"('insincere', 'sincere')",6.3293219,6.5948024,0.2654805
24,1.63823,1.7666283,"('dishonest', 'honest')",1.63823,1.7666283,0.1283983
25,0.89511526,0.9027547,"('egoistic', 'altruistic')",0.8951153,0.9027547,0.0076394
