,warden_male,warden_female,tuple,average_male,average_female,female-male
0,0.91951656,0.65870976,"('unsociable', 'sociable')",0.9195166,0.6587098,-0.2608068
1,0.8808057,1.0711246,"('unfriendly', 'friendly')",0.8808057,1.0711246,0.1903189
2,0.13940737,0.22557873,"('unlikable', 'likable')",0.1394074,0.2255787,0.0861713
3,0.5102156,0.9619075,"('repellent', 'pleasant')",0.5102156,0.9619075,0.4516919
4,-6.869105,-7.1167855,"('disliked', 'liked')",-6.8691049,-7.1167855,-0.2476806
5,-1.4199576,-0.9302454,"('distant', 'outgoing')",-1.4199576,-0.9302454,0.4897122
6,-1.0235792,-0.6013861,"('distant', 'open')",-1.0235792,-0.6013861,0.4221931
7,1.5284041,1.5328022,"('insensitive', 'sensitive')",1.5284041,1.5328022,0.0043981
8,1.171556,1.1496717,"('unaffectionate', 'affectionate')",1.171556,1.1496717,-0.0218843
9,1.7898988,1.9955053,"('unaffectionate', 'caring')",1.7898988,1.9955053,0.2056065
10,1.0297699,0.8551205,"('unsympathetic', 'sympathetic')",1.0297699,0.8551205,-0.1746494
11,2.3924923,2.3010356,"('unhelpful', 'helpful')",2.3924923,2.3010356,-0.0914567
12,-1.1752943,-1.2255046,"('unsupportive', 'supportive')",-1.1752943,-1.2255046,-0.0502103
13,0.37654302,0.30929345,"('impolite', 'polite')",0.376543,0.3092934,-0.0672496
14,0.558198,0.4234213,"('antisocial', 'social')",0.558198,0.4234213,-0.1347767
15,0.3595526,0.23613703,"('boring', 'funny')",0.3595526,0.236137,-0.1234156
16,-0.6570263,-0.595116,"('unpopular', 'popular')",-0.6570263,-0.595116,0.0619103
17,-0.23617448,-0.22384693,"('nasty', 'nice')",-0.2361745,-0.2238469,0.0123276
18,-0.9191687,-0.58870006,"('disagreeable', 'welcoming')",-0.9191687,-0.5887001,0.3304686
19,-0.8705928,-0.63325775,"('inhospitable', 'hospitable')",-0.8705928,-0.6332577,0.2373351
20,0.17062283,0.07636042,"('rough', 'thoughtful')",0.1706228,0.0763604,-0.0942624
21,-0.12772664,0.15093873,"('immoral', 'moral')",-0.1277266,0.1509387,0.2786653
