,tummy_male,tummy_female,tuple,average_male,average_female,female-male
0,-0.05248987,-0.2247149,"('unsociable', 'sociable')",-0.0524899,-0.2247149,-0.172225
1,0.3527694,0.15598746,"('unfriendly', 'friendly')",0.3527694,0.1559875,-0.1967819
2,-0.48265746,-0.48364705,"('unlikable', 'likable')",-0.4826575,-0.483647,-0.0009895
3,-1.8956553,-1.7975497,"('repellent', 'pleasant')",-1.8956553,-1.7975497,0.0981056
4,-2.4930437,-2.1760955,"('disliked', 'liked')",-2.4930437,-2.1760955,0.3169482
5,-0.10153875,-0.18313669,"('distant', 'outgoing')",-0.1015387,-0.1831367,-0.081598
6,-0.3085299,-0.37954548,"('distant', 'open')",-0.3085299,-0.3795455,-0.0710156
7,-0.64196414,-0.67711616,"('insensitive', 'sensitive')",-0.6419641,-0.6771162,-0.0351521
8,0.22095053,0.13367899,"('unaffectionate', 'affectionate')",0.2209505,0.133679,-0.0872715
9,-0.05916318,-0.16744545,"('unaffectionate', 'caring')",-0.0591632,-0.1674455,-0.1082823
10,-1.0096055,-1.0081183,"('unsympathetic', 'sympathetic')",-1.0096055,-1.0081183,0.0014872
11,0.41698968,0.33298707,"('unhelpful', 'helpful')",0.4169897,0.3329871,-0.0840026
12,-1.0519696,-0.9179812,"('unsupportive', 'supportive')",-1.0519696,-0.9179812,0.1339884
13,-0.36281645,-0.5184277,"('impolite', 'polite')",-0.3628165,-0.5184277,-0.1556112
14,-0.7839546,-0.89159185,"('antisocial', 'social')",-0.7839546,-0.8915918,-0.1076372
15,1.223105,1.0436233,"('boring', 'funny')",1.223105,1.0436233,-0.1794817
16,-0.27025506,-0.23842973,"('unpopular', 'popular')",-0.2702551,-0.2384297,0.0318254
17,-0.02122907,-0.027881961,"('nasty', 'nice')",-0.0212291,-0.027882,-0.0066529
18,-0.6280421,-0.7017508,"('disagreeable', 'welcoming')",-0.6280421,-0.7017508,-0.0737087
19,-0.116987176,-0.123884104,"('inhospitable', 'hospitable')",-0.1169872,-0.1238841,-0.0068969
20,-0.06187633,-0.18529741,"('rough', 'thoughtful')",-0.0618763,-0.1852974,-0.1234211
21,-0.5244662,-0.49480546,"('immoral', 'moral')",-0.5244662,-0.4948055,0.0296607
22,-0.5146928,-0.617632,"('untrustworthy', 'trustworthy')",-0.5146928,-0.617632,-0.1029392
23,1.7650542,1.4440156,"('insincere', 'sincere')",1.7650542,1.4440156,-0.3210386
24,-0.09805277,-0.25230005,"('dishonest', 'honest')",-0.0980528,-0.2523001,-0.1542473
25,-0.39053375,-0.5800858,"('egoistic', 'altruistic')",-0.3905337,-0.5800858,-0.1895521
26,0.48356792,0.25667125,"('hardhearted', 'benevolent')",0.4835679,0.2566712,-0.2268967
27,0.8685672,0.5711291,"('hardhearted', 'softhearted')",0.8685672,0.5711291,-0.2974381
28,0.13409854,-0.08662832,"('disloyal', 'loyal')",0.1340985,-0.0866283,-0.2207268
29,-0.33571157,-0.4119542,"('unfair', 'fair')",-0.3357116,-0.4119542,-0.0762426
30,0.26648968,0.099732965,"('intolerant', 'tolerant')",0.2664897,0.099733,-0.1667567
31,-0.7087516,-0.5973048,"('evil', 'good')",-0.7087516,-0.5973048,0.1114468
32,0.50556743,0.3296679,"('unkind', 'kind')",0.5055674,0.3296679,-0.1758995
33,0.21712188,0.107430294,"('wrong', 'right')",0.2171219,0.1074303,-0.1096916
34,2.0806775,2.1555321,"('mean', 'honorable')",2.0806775,2.1555321,0.0748546
35,0.5694487,0.42839244,"('corrupt', 'incorrupt')",0.5694487,0.4283924,-0.1410563
36,-0.6314201,-0.65942174,"('hostile', 'amicable')",-0.6314201,-0.6594217,-0.0280016
37,-0.29920125,-0.41877198,"('fake', 'genuine')",-0.2992013,-0.418772,-0.1195707
38,0.20660102,0.3195536,"('untruthful', 'truthful')",0.206601,0.3195536,0.1129526
39,0.22091061,0.19665636,"('exploitative', 'cooperative')",0.2209106,0.1966564,-0.0242542
40,-2.165206,-2.1892126,"('stingy', 'generous')",-2.165206,-2.1892126,-0.0240066
41,0.028217882,-0.0302123,"('unforgiving', 'forgiving')",0.0282179,-0.0302123,-0.0584302
42,-1.6369977,-1.5405527,"('unreliable', 'reliable')",-1.6369977,-1.5405527,0.096445
43,-0.08400123,-0.0777334,"('irresponsible', 'responsible')",-0.0840012,-0.0777334,0.0062678
44,-0.31357166,-0.24027231,"('prejudiced', 'unprejudiced')",-0.3135717,-0.2402723,0.0732994
45,-0.45336577,-0.4355655,"('incompetent', 'competent')",-0.4533658,-0.4355655,0.0178003
46,-1.2741976,-1.2007526,"('uncompetitive', 'competitive')",-1.2741976,-1.2007526,0.073445
47,2.2060156,1.9870762,"('stupid', 'smart')",2.2060156,1.9870762,-0.2189394
48,0.36620295,0.3489762,"('unintelligent', 'intelligent')",0.366203,0.3489762,-0.0172268
49,0.38293943,0.42942092,"('unable', 'able')",0.3829394,0.4294209,0.0464815
50,-0.01385867,-0.03166785,"('clumsy', 'skillful')",-0.0138587,-0.0316679,-0.0178092
