,somersault_male,somersault_female,tuple,average_male,average_female,female-male
0,-0.84139293,-0.9514946,"('unsociable', 'sociable')",-0.8413929,-0.9514946,-0.1101017
1,-0.081700884,-0.17238417,"('unfriendly', 'friendly')",-0.0817009,-0.1723842,-0.0906833
2,0.06949308,0.12723301,"('unlikable', 'likable')",0.0694931,0.127233,0.0577399
3,-0.7912974,-0.761881,"('repellent', 'pleasant')",-0.7912974,-0.761881,0.0294164
4,-1.6426817,-1.6962723,"('disliked', 'liked')",-1.6426817,-1.6962723,-0.0535906
5,-0.08916978,-0.10948347,"('distant', 'outgoing')",-0.0891698,-0.1094835,-0.0203137
6,-0.42525935,-0.5203497,"('distant', 'open')",-0.4252594,-0.5203497,-0.0950903
7,-0.49781647,-0.5204046,"('insensitive', 'sensitive')",-0.4978165,-0.5204046,-0.0225881
8,-0.47401682,-0.5213496,"('unaffectionate', 'affectionate')",-0.4740168,-0.5213496,-0.0473328
9,-0.8285836,-0.84878206,"('unaffectionate', 'caring')",-0.8285836,-0.8487821,-0.0201985
10,-1.5030733,-1.5966853,"('unsympathetic', 'sympathetic')",-1.5030733,-1.5966853,-0.093612
11,-1.023638,-0.85063237,"('unhelpful', 'helpful')",-1.023638,-0.8506324,0.1730056
12,-1.9523062,-1.9806201,"('unsupportive', 'supportive')",-1.9523062,-1.9806201,-0.0283139
13,-1.0131837,-0.976075,"('impolite', 'polite')",-1.0131837,-0.976075,0.0371087
14,-0.0949882,-0.08528962,"('antisocial', 'social')",-0.0949882,-0.0852896,0.0096986
15,0.7140264,0.7023838,"('boring', 'funny')",0.7140264,0.7023838,-0.0116426
16,-0.39685237,-0.42212555,"('unpopular', 'popular')",-0.3968524,-0.4221255,-0.0252731
17,0.23997155,0.18098834,"('nasty', 'nice')",0.2399715,0.1809883,-0.0589832
18,-0.74154735,-0.75390625,"('disagreeable', 'welcoming')",-0.7415473,-0.7539062,-0.0123589
19,-0.86914414,-0.88365483,"('inhospitable', 'hospitable')",-0.8691441,-0.8836548,-0.0145107
20,0.4666732,0.39560056,"('rough', 'thoughtful')",0.4666732,0.3956006,-0.0710726
21,-1.3240446,-1.187128,"('immoral', 'moral')",-1.3240446,-1.1871279,0.1369167
22,0.20748992,0.08517109,"('untrustworthy', 'trustworthy')",0.2074899,0.0851711,-0.1223188
23,0.9339675,0.96535337,"('insincere', 'sincere')",0.9339675,0.9653534,0.0313859
24,-0.9020641,-1.0038493,"('dishonest', 'honest')",-0.9020641,-1.0038493,-0.1017852
25,1.0407206,0.98000604,"('egoistic', 'altruistic')",1.0407206,0.980006,-0.0607146
26,1.2657993,1.0644077,"('hardhearted', 'benevolent')",1.2657993,1.0644077,-0.2013916
27,0.589637,0.37339842,"('hardhearted', 'softhearted')",0.589637,0.3733984,-0.2162386
28,-1.0235969,-0.9971241,"('disloyal', 'loyal')",-1.0235969,-0.9971241,0.0264728
29,-0.46561715,-0.5465699,"('unfair', 'fair')",-0.4656172,-0.5465699,-0.0809527
30,-0.12163329,-0.06475404,"('intolerant', 'tolerant')",-0.1216333,-0.064754,0.0568793
31,0.037168473,-0.17103726,"('evil', 'good')",0.0371685,-0.1710373,-0.2082058
32,-0.34204862,-0.45612225,"('unkind', 'kind')",-0.3420486,-0.4561222,-0.1140736
33,-0.13559644,-0.21664405,"('wrong', 'right')",-0.1355964,-0.216644,-0.0810476
34,1.5036057,1.5687809,"('mean', 'honorable')",1.5036057,1.5687809,0.0651752
35,1.3345892,1.157005,"('corrupt', 'incorrupt')",1.3345892,1.157005,-0.1775842
36,0.67084754,0.45889375,"('hostile', 'amicable')",0.6708475,0.4588937,-0.2119538
37,-0.019067742,0.017247187,"('fake', 'genuine')",-0.0190677,0.0172472,0.0363149
38,-0.6693031,-0.62669754,"('untruthful', 'truthful')",-0.6693031,-0.6266975,0.0426056
39,-0.09848466,0.03756052,"('exploitative', 'cooperative')",-0.0984847,0.0375605,0.1360452
40,-0.55080205,-0.63027734,"('stingy', 'generous')",-0.5508021,-0.6302773,-0.0794752
41,0.14295387,-0.01042147,"('unforgiving', 'forgiving')",0.1429539,-0.0104215,-0.1533754
42,-0.72293156,-0.7106203,"('unreliable', 'reliable')",-0.7229316,-0.7106203,0.0123113
43,-1.4460292,-1.4223447,"('irresponsible', 'responsible')",-1.4460292,-1.4223447,0.0236845
44,0.021332238,0.15752906,"('prejudiced', 'unprejudiced')",0.0213322,0.1575291,0.1361969
45,-0.121642776,-0.30841085,"('incompetent', 'competent')",-0.1216428,-0.3084109,-0.1867681
46,-1.3567888,-1.30075,"('uncompetitive', 'competitive')",-1.3567888,-1.30075,0.0560388
47,1.7816426,1.7416016,"('stupid', 'smart')",1.7816426,1.7416016,-0.040041
48,-0.49203447,-0.27600378,"('unintelligent', 'intelligent')",-0.4920345,-0.2760038,0.2160307
49,-0.3680073,-0.06924932,"('unable', 'able')",-0.3680073,-0.0692493,0.298758
50,0.06604059,0.04179604,"('clumsy', 'skillful')",0.0660406,0.041796,-0.0242446
51,-1.1435989,-1.1189018,"('uneducated', 'educated')",-1.1435989,-1.1189018,0.0246971
52,-0.5506865,-0.6313364,"('irrational', 'rational')",-0.5506865,-0.6313364,-0.0806499
53,-0.2222125,-0.25764996,"('uncreative', 'creative')",-0.2222125,-0.25765,-0.0354375
54,0.15913516,0.15334634,"('incapable', 'capable')",0.1591352,0.1533463,-0.0057889
55,-0.5081525,-0.4193233,"('incompetent', 'clever')",-0.5081525,-0.4193233,0.0888292
56,-0.002153092,0.09547963,"('impractical', 'practical')",-0.0021531,0.0954796,0.0976327
57,-1.1943073,-1.315489,"('unimaginative', 'imaginative')",-1.1943073,-1.3154891,-0.1211818
58,0.21383607,0.077443376,"('undiscriminating', 'discriminating')",0.2138361,0.0774434,-0.1363927
59,-0.09666657,-0.13565545,"('foolish', 'wise')",-0.0966666,-0.1356554,-0.0389888
60,-1.0540638,-0.7114603,"('inefficient', 'efficient')",-1.0540638,-0.7114603,0.3426035
61,-0.5546827,-0.6849923,"('illogical', 'logical')",-0.5546827,-0.6849923,-0.1303096
62,-0.5729048,-0.28635973,"('incompetent', 'brilliant')",-0.5729048,-0.2863597,0.2865451
63,-0.65651333,-0.5448773,"('unperceptive', 'insightful')",-0.6565133,-0.5448773,0.111636
64,-2.052221,-2.0604076,"('shy', 'confident')",-2.0522211,-2.0604076,-0.0081865
65,-0.17435929,-0.13199954,"('insecure', 'secure')",-0.1743593,-0.1319995,0.0423598
66,0.3914694,0.23265651,"('inactive', 'active')",0.3914694,0.2326565,-0.1588129
67,0.0017415116,0.0889464,"('doubtful', 'determined')",0.0017415,0.0889464,0.0872049
68,-0.19387394,-0.10198179,"('dependent', 'independent')",-0.1938739,-0.1019818,0.0918921
69,0.9678451,0.93824285,"('lazy', 'industrious')",0.9678451,0.9382429,-0.0296022
70,-0.46886668,-0.5650763,"('lethargic', 'energetic')",-0.4688667,-0.5650763,-0.0962096
71,0.26130447,0.29005158,"('diffident', 'self-confident')",0.2613045,0.2900516,0.0287471
72,-0.087808795,-0.029328149,"('unambitious', 'ambitious')",-0.0878088,-0.0293281,0.0584807
73,-0.34329474,-0.26501888,"('helpless', 'self-reliant')",-0.3432947,-0.2650189,0.0782758
74,-0.49601018,-0.5520558,"('undedicated', 'dedicated')",-0.4960102,-0.5520558,-0.0560456
75,0.79732424,0.76250196,"('meek', 'impulsive')",0.7973242,0.762502,-0.0348222
76,-0.14521521,0.094626725,"('anxious', 'daring')",-0.1452152,0.0946267,0.2398419
77,-1.5544126,-1.3380007,"('unmotivated', 'motivated')",-1.5544126,-1.3380007,0.2164119
78,-0.6142352,-0.5932694,"('nonresilient', 'resilient')",-0.6142352,-0.5932694,0.0209658
79,-0.34224918,-0.4857716,"('wavering', 'unwavering')",-0.3422492,-0.4857716,-0.1435224
80,-0.36370546,-0.31253925,"('dominated', 'dominating')",-0.3637055,-0.3125392,0.0511663
81,-0.83210176,-0.5484495,"('submissive', 'aggressive')",-0.8321018,-0.5484495,0.2836523
82,2.0278156,1.9653164,"('poor', 'rich')",2.0278156,1.9653164,-0.0624992
83,-0.18411583,-0.18523231,"('powerless', 'powerful')",-0.1841158,-0.1852323,-0.0011165
84,0.39379236,0.49164474,"('inferior', 'superior')",0.3937924,0.4916447,0.0978523
85,0.118488155,0.04680426,"('insignificant', 'prestigious')",0.1184882,0.0468043,-0.0716839
86,-1.5040029,-1.664796,"('uninfluential', 'influential')",-1.5040029,-1.664796,-0.1607931
87,-0.034828443,0.10110567,"('unsuccessful', 'successful')",-0.0348284,0.1011057,0.1359341
88,-0.5625704,-0.44582114,"('low', 'eminent')",-0.5625704,-0.4458211,0.1167493
