,itinerary_male,itinerary_female,tuple,average_male,average_female,female-male
0,-0.6078282,-0.6179168,"('unsociable', 'sociable')",-0.6078282,-0.6179168,-0.0100886
1,0.19239137,0.30380678,"('unfriendly', 'friendly')",0.1923914,0.3038068,0.1114154
2,-0.101292886,-0.006665472,"('unlikable', 'likable')",-0.1012929,-0.0066655,0.0946274
3,-0.52949286,-0.1925616,"('repellent', 'pleasant')",-0.5294929,-0.1925616,0.3369313
4,-1.5999237,-1.5722181,"('disliked', 'liked')",-1.5999237,-1.5722181,0.0277056
5,0.19254461,0.2207652,"('distant', 'outgoing')",0.1925446,0.2207652,0.0282206
6,0.11786124,0.16906947,"('distant', 'open')",0.1178612,0.1690695,0.0512083
7,-0.06789531,0.17054512,"('insensitive', 'sensitive')",-0.0678953,0.1705451,0.2384404
8,-0.36041263,-0.43014744,"('unaffectionate', 'affectionate')",-0.3604126,-0.4301474,-0.0697348
9,-0.40584624,-0.34654585,"('unaffectionate', 'caring')",-0.4058462,-0.3465458,0.0593004
10,-1.8835406,-1.9981551,"('unsympathetic', 'sympathetic')",-1.8835406,-1.9981551,-0.1146145
11,-0.2996017,-0.28197527,"('unhelpful', 'helpful')",-0.2996017,-0.2819753,0.0176264
12,-1.1506351,-1.0408767,"('unsupportive', 'supportive')",-1.1506351,-1.0408767,0.1097584
13,-0.5329305,-0.6791066,"('impolite', 'polite')",-0.5329305,-0.6791066,-0.1461761
14,-0.318951,-0.32858965,"('antisocial', 'social')",-0.318951,-0.3285896,-0.0096386
15,-0.23362146,-0.5840646,"('boring', 'funny')",-0.2336215,-0.5840646,-0.3504431
16,0.084874965,0.4197711,"('unpopular', 'popular')",0.084875,0.4197711,0.3348961
17,-1.2785853,-1.250119,"('nasty', 'nice')",-1.2785853,-1.250119,0.0284663
18,-0.08782203,0.12984201,"('disagreeable', 'welcoming')",-0.087822,0.129842,0.217664
19,-0.7449276,-0.6586405,"('inhospitable', 'hospitable')",-0.7449276,-0.6586405,0.0862871
20,-0.18122682,-0.08432261,"('rough', 'thoughtful')",-0.1812268,-0.0843226,0.0969042
21,-0.65620303,-0.5089557,"('immoral', 'moral')",-0.656203,-0.5089557,0.1472473
22,-0.0517288,-0.04078091,"('untrustworthy', 'trustworthy')",-0.0517288,-0.0407809,0.0109479
23,1.3072512,1.3570542,"('insincere', 'sincere')",1.3072512,1.3570542,0.049803
24,-0.19469887,-0.23030946,"('dishonest', 'honest')",-0.1946989,-0.2303095,-0.0356106
25,1.0849998,1.2745531,"('egoistic', 'altruistic')",1.0849998,1.2745531,0.1895533
26,1.2167299,0.7958683,"('hardhearted', 'benevolent')",1.2167299,0.7958683,-0.4208616
27,0.27626592,0.35242903,"('hardhearted', 'softhearted')",0.2762659,0.352429,0.0761631
28,-0.3733904,-0.44009453,"('disloyal', 'loyal')",-0.3733904,-0.4400945,-0.0667041
29,-0.27898103,-0.32541165,"('unfair', 'fair')",-0.278981,-0.3254116,-0.0464306
30,-0.8131311,-0.9684322,"('intolerant', 'tolerant')",-0.8131311,-0.9684322,-0.1553011
31,-1.0688382,-1.0377848,"('evil', 'good')",-1.0688382,-1.0377848,0.0310534
32,0.0859717,-0.058513515,"('unkind', 'kind')",0.0859717,-0.0585135,-0.1444852
33,0.30243564,0.35365066,"('wrong', 'right')",0.3024356,0.3536507,0.0512151
34,0.81957567,1.1196904,"('mean', 'honorable')",0.8195757,1.1196904,0.3001147
35,0.73646146,0.61062324,"('corrupt', 'incorrupt')",0.7364615,0.6106232,-0.1258383
36,-0.5142023,-0.5000672,"('hostile', 'amicable')",-0.5142023,-0.5000672,0.0141351
37,-0.46698856,-0.5098933,"('fake', 'genuine')",-0.4669886,-0.5098933,-0.0429047
38,0.23083498,0.24591129,"('untruthful', 'truthful')",0.230835,0.2459113,0.0150763
39,-0.5425869,-0.48889917,"('exploitative', 'cooperative')",-0.5425869,-0.4888992,0.0536877
40,-0.966052,-0.8117599,"('stingy', 'generous')",-0.966052,-0.8117599,0.1542921
41,-0.03775925,-0.10162203,"('unforgiving', 'forgiving')",-0.0377592,-0.101622,-0.0638628
42,-0.72454417,-0.7592132,"('unreliable', 'reliable')",-0.7245442,-0.7592132,-0.034669
43,-0.46001232,-0.5444681,"('irresponsible', 'responsible')",-0.4600123,-0.5444681,-0.0844558
44,0.25787717,0.13894999,"('prejudiced', 'unprejudiced')",0.2578772,0.13895,-0.1189272
45,-1.5847198,-1.5993913,"('incompetent', 'competent')",-1.5847198,-1.5993913,-0.0146715
46,-1.4166696,-1.2453219,"('uncompetitive', 'competitive')",-1.4166696,-1.2453219,0.1713477
47,1.9973171,1.9671642,"('stupid', 'smart')",1.9973171,1.9671642,-0.0301529
48,-1.5389075,-1.5846094,"('unintelligent', 'intelligent')",-1.5389075,-1.5846094,-0.0457019
49,-1.441352,-1.408231,"('unable', 'able')",-1.441352,-1.408231,0.033121
50,0.45508817,0.5514132,"('clumsy', 'skillful')",0.4550882,0.5514132,0.096325
51,-0.6564752,-0.6781536,"('uneducated', 'educated')",-0.6564752,-0.6781536,-0.0216784
52,-0.32753867,-0.5029992,"('irrational', 'rational')",-0.3275387,-0.5029992,-0.1754605
53,-1.1438442,-1.0908813,"('uncreative', 'creative')",-1.1438442,-1.0908813,0.0529629
54,0.24934635,0.22787543,"('incapable', 'capable')",0.2493463,0.2278754,-0.0214709
55,-1.3962284,-1.3188707,"('incompetent', 'clever')",-1.3962284,-1.3188707,0.0773577
56,-0.017285109,-0.039049163,"('impractical', 'practical')",-0.0172851,-0.0390492,-0.0217641
57,-1.8471384,-1.9692245,"('unimaginative', 'imaginative')",-1.8471384,-1.9692245,-0.1220861
58,0.04067024,0.067160346,"('undiscriminating', 'discriminating')",0.0406702,0.0671603,0.0264901
59,0.4466052,0.35902548,"('foolish', 'wise')",0.4466052,0.3590255,-0.0875797
60,-0.6036053,-0.44667214,"('inefficient', 'efficient')",-0.6036053,-0.4466721,0.1569332
61,-1.1558087,-1.2802389,"('illogical', 'logical')",-1.1558087,-1.2802389,-0.1244302
62,-1.2908128,-1.216052,"('incompetent', 'brilliant')",-1.2908128,-1.2160521,0.0747607
63,0.10079222,0.21700284,"('unperceptive', 'insightful')",0.1007922,0.2170028,0.1162106
64,-2.2131371,-2.1751034,"('shy', 'confident')",-2.2131371,-2.1751034,0.0380337
65,-0.8242714,-0.9070063,"('insecure', 'secure')",-0.8242714,-0.9070063,-0.0827349
66,-0.4302544,-0.3534998,"('inactive', 'active')",-0.4302544,-0.3534998,0.0767546
67,0.20124744,-0.04671263,"('doubtful', 'determined')",0.2012474,-0.0467126,-0.24796
68,-0.6426631,-0.40797818,"('dependent', 'independent')",-0.6426631,-0.4079782,0.2346849
69,0.72918385,0.82337284,"('lazy', 'industrious')",0.7291839,0.8233728,0.0941889
70,-0.06588698,0.065056995,"('lethargic', 'energetic')",-0.065887,0.065057,0.130944
71,-0.17831884,0.009290061,"('diffident', 'self-confident')",-0.1783188,0.0092901,0.1876089
72,0.4239509,0.42142925,"('unambitious', 'ambitious')",0.4239509,0.4214292,-0.0025217
73,0.2287005,0.3136991,"('helpless', 'self-reliant')",0.2287005,0.3136991,0.0849986
74,0.25119635,0.23137017,"('undedicated', 'dedicated')",0.2511964,0.2313702,-0.0198262
75,0.9052646,1.0241661,"('meek', 'impulsive')",0.9052646,1.0241661,0.1189015
76,-0.49994344,-0.6640521,"('anxious', 'daring')",-0.4999434,-0.6640521,-0.1641087
77,-0.8974987,-0.5842561,"('unmotivated', 'motivated')",-0.8974987,-0.5842561,0.3132426
78,-0.6092066,-0.33888507,"('nonresilient', 'resilient')",-0.6092066,-0.3388851,0.2703215
79,0.035902996,-0.14735866,"('wavering', 'unwavering')",0.035903,-0.1473587,-0.1832617
80,0.65629953,0.5830767,"('dominated', 'dominating')",0.6562995,0.5830767,-0.0732228
81,-0.35551277,-0.5199684,"('submissive', 'aggressive')",-0.3555128,-0.5199684,-0.1644556
82,0.8641404,1.0415082,"('poor', 'rich')",0.8641404,1.0415082,0.1773678
