,belly_male,belly_female,tuple,average_male,average_female,female-male
0,0.5517311,0.3230617,"('unsociable', 'sociable')",0.5517311,0.3230617,-0.2286694
1,1.3947191,1.4671769,"('unfriendly', 'friendly')",1.3947191,1.4671769,0.0724578
2,0.6945117,0.7304468,"('unlikable', 'likable')",0.6945117,0.7304468,0.0359351
3,1.2944521,1.3513479,"('repellent', 'pleasant')",1.2944521,1.3513479,0.0568958
4,-7.328638,-7.4670606,"('disliked', 'liked')",-7.3286381,-7.4670606,-0.1384225
5,-0.36357594,-0.29539144,"('distant', 'outgoing')",-0.3635759,-0.2953914,0.0681845
6,-0.13127509,-0.02794566,"('distant', 'open')",-0.1312751,-0.0279457,0.1033294
7,1.9100636,1.8143768,"('insensitive', 'sensitive')",1.9100636,1.8143768,-0.0956868
8,0.64980465,0.7056142,"('unaffectionate', 'affectionate')",0.6498047,0.7056142,0.0558095
9,1.1961901,1.2600063,"('unaffectionate', 'caring')",1.1961901,1.2600063,0.0638162
10,1.8800644,1.7418696,"('unsympathetic', 'sympathetic')",1.8800644,1.7418696,-0.1381948
11,2.36605,2.300928,"('unhelpful', 'helpful')",2.36605,2.3009281,-0.0651219
12,-0.97835016,-1.1515372,"('unsupportive', 'supportive')",-0.9783502,-1.1515372,-0.173187
13,0.68759453,0.5723285,"('impolite', 'polite')",0.6875945,0.5723285,-0.115266
14,0.66450554,0.43031117,"('antisocial', 'social')",0.6645055,0.4303112,-0.2341943
15,0.46000004,0.5629052,"('boring', 'funny')",0.46,0.5629052,0.1029052
16,-0.63619626,-0.59513533,"('unpopular', 'popular')",-0.6361963,-0.5951353,0.041061
17,-0.17639463,-0.2433321,"('nasty', 'nice')",-0.1763946,-0.2433321,-0.0669375
18,-0.008551352,-0.13147189,"('disagreeable', 'welcoming')",-0.0085514,-0.1314719,-0.1229205
19,-0.23165052,-0.13042244,"('inhospitable', 'hospitable')",-0.2316505,-0.1304224,0.1012281
20,0.9996226,0.94293255,"('rough', 'thoughtful')",0.9996226,0.9429325,-0.0566901
21,0.8182419,0.7561034,"('immoral', 'moral')",0.8182419,0.7561034,-0.0621385
22,0.26137456,0.102431715,"('untrustworthy', 'trustworthy')",0.2613746,0.1024317,-0.1589429
23,7.310674,7.2931266,"('insincere', 'sincere')",7.3106742,7.2931266,-0.0175476
24,2.575168,2.5115783,"('dishonest', 'honest')",2.5751679,2.5115783,-0.0635896
25,0.19787535,0.18207346,"('egoistic', 'altruistic')",0.1978754,0.1820735,-0.0158019
26,-0.14757282,-0.10940529,"('hardhearted', 'benevolent')",-0.1475728,-0.1094053,0.0381675
27,1.6602802,1.6929536,"('hardhearted', 'softhearted')",1.6602802,1.6929536,0.0326734
28,1.545778,1.4809309,"('disloyal', 'loyal')",1.545778,1.4809309,-0.0648471
29,-0.09494699,-0.24094841,"('unfair', 'fair')",-0.094947,-0.2409484,-0.1460014
30,1.3130627,1.146944,"('intolerant', 'tolerant')",1.3130627,1.146944,-0.1661187
31,-1.6321256,-1.5433292,"('evil', 'good')",-1.6321256,-1.5433292,0.0887964
32,1.5410726,1.4325688,"('unkind', 'kind')",1.5410726,1.4325688,-0.1085038
33,-0.87772655,-0.8474141,"('wrong', 'right')",-0.8777266,-0.8474141,0.0303125
34,4.75169,4.937597,"('mean', 'honorable')",4.7516899,4.9375968,0.1859069
35,-1.1820672,-1.1329993,"('corrupt', 'incorrupt')",-1.1820672,-1.1329993,0.0490679
36,-1.7137693,-1.5232625,"('hostile', 'amicable')",-1.7137693,-1.5232625,0.1905068
37,1.1577492,1.1368626,"('fake', 'genuine')",1.1577492,1.1368626,-0.0208866
38,0.20806453,0.0754677,"('untruthful', 'truthful')",0.2080645,0.0754677,-0.1325968
39,0.21153215,0.11793172,"('exploitative', 'cooperative')",0.2115321,0.1179317,-0.0936004
40,-0.87567604,-1.1156555,"('stingy', 'generous')",-0.875676,-1.1156555,-0.2399795
41,0.014622655,-0.07957167,"('unforgiving', 'forgiving')",0.0146227,-0.0795717,-0.0941944
42,-1.5577234,-1.7469009,"('unreliable', 'reliable')",-1.5577234,-1.7469009,-0.1891775
43,1.7932744,1.6183618,"('irresponsible', 'responsible')",1.7932744,1.6183618,-0.1749126
44,-1.4636568,-1.4857054,"('prejudiced', 'unprejudiced')",-1.4636568,-1.4857054,-0.0220486
45,0.99482435,0.89665174,"('incompetent', 'competent')",0.9948243,0.8966517,-0.0981726
46,0.044393636,-0.052705508,"('uncompetitive', 'competitive')",0.0443936,-0.0527055,-0.0970991
47,5.820769,6.017315,"('stupid', 'smart')",5.8207688,6.0173149,0.1965461
48,1.4050931,1.3730905,"('unintelligent', 'intelligent')",1.4050931,1.3730905,-0.0320026
49,0.4707152,0.54427093,"('unable', 'able')",0.4707152,0.5442709,0.0735557
50,0.19773868,0.29123178,"('clumsy', 'skillful')",0.1977387,0.2912318,0.0934931
51,1.3199153,1.1944294,"('uneducated', 'educated')",1.3199153,1.1944294,-0.1254859
52,-0.8705752,-0.81301314,"('irrational', 'rational')",-0.8705752,-0.8130131,0.0575621
53,0.54728746,0.45567062,"('uncreative', 'creative')",0.5472875,0.4556706,-0.0916169
54,1.1985326,1.2900115,"('incapable', 'capable')",1.1985326,1.2900115,0.0914789
55,1.9018486,1.7396889,"('incompetent', 'clever')",1.9018486,1.7396889,-0.1621597
56,1.3818133,1.3034152,"('impractical', 'practical')",1.3818133,1.3034152,-0.0783981
