,assurant_male,assurant_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.3361287,-1.5140061,"('unsociable', 'sociable')",-0.4541362,-0.6271159,-0.8951324,-1.0705611,-0.1754287
1,-1.8220552,-2.0205398,"('unfriendly', 'friendly')",2.0728426,2.0308542,0.1253937,0.0051572,-0.1202365
2,0.8798564,0.96418566,"('unlikable', 'likable')",0.32641336,0.45127118,0.6031349,0.7077284,0.1045935
3,-1.0893601,-0.9213527,"('repellent', 'pleasant')",0.1361122,0.23015836,-0.476624,-0.3455971,0.1310269
4,-0.39144233,-0.4711605,"('disliked', 'liked')",-6.326144,-6.446593,-3.3587933,-3.4588766,-0.1000833
5,-0.9521466,-1.0448788,"('distant', 'outgoing')",0.18016618,0.1964015,-0.3859902,-0.4242387,-0.0382485
6,-0.80918163,-0.916902,"('distant', 'open')",0.6911966,0.705178,-0.0589925,-0.105862,-0.0468695
7,-0.54391104,-0.46691597,"('insensitive', 'sensitive')",0.88763404,0.880997,0.1718615,0.2070405,0.035179
8,-0.9884756,-1.0894651,"('unaffectionate', 'affectionate')",1.4201118,1.3128475,0.2158181,0.1116912,-0.1041269
9,-1.4657338,-1.5552728,"('unaffectionate', 'caring')",1.3618982,1.3061789,-0.0519178,-0.1245469,-0.0726291
10,-0.7121776,-0.74656343,"('unsympathetic', 'sympathetic')",-0.33497852,-0.44531918,-0.523578,-0.5959413,-0.0723633
11,-1.2935702,-1.1725954,"('unhelpful', 'helpful')",1.3874801,1.478377,0.046955,0.1528908,0.1059358
12,-1.1361411,-1.1227589,"('unsupportive', 'supportive')",-1.6951844,-1.7452096,-1.4156628,-1.4339843,-0.0183215
13,-0.8097598,-0.81174016,"('impolite', 'polite')",-0.84250945,-0.7601683,-0.8261346,-0.7859542,0.0401804
14,-0.17735575,-0.14503203,"('antisocial', 'social')",-0.66365516,-0.6994653,-0.4205055,-0.4222487,-0.0017432
15,0.039435223,-0.08667218,"('boring', 'funny')",0.6127976,0.57451314,0.3261164,0.2439205,-0.0821959
16,-0.7199349,-0.6723899,"('unpopular', 'popular')",0.13789856,0.24315941,-0.2910182,-0.2146153,0.0764029
17,-0.15917344,-0.12344686,"('nasty', 'nice')",-0.2682041,-0.22648244,-0.2136888,-0.1749647,0.0387241
18,-0.69575953,-0.6282322,"('disagreeable', 'welcoming')",-0.32289442,-0.30493754,-0.509327,-0.4665849,0.0427421
19,-1.1658955,-1.2317919,"('inhospitable', 'hospitable')",0.43959072,0.45268705,-0.3631524,-0.3895524,-0.0264
20,0.26567683,0.35606283,"('rough', 'thoughtful')",0.974,0.96717864,0.6198384,0.6616207,0.0417823
21,-0.37674367,-0.2533344,"('immoral', 'moral')",-0.8907311,-0.813654,-0.6337374,-0.5334942,0.1002432
22,-0.22100316,-0.16985513,"('untrustworthy', 'trustworthy')",-1.002138,-1.0404465,-0.6115706,-0.6051508,0.0064198
23,-1.1023616,-1.056487,"('insincere', 'sincere')",5.596081,5.6815677,2.2468596,2.3125403,0.0656807
24,-0.5397455,-0.5348456,"('dishonest', 'honest')",0.80701745,0.7635051,0.133636,0.1143298,-0.0193062
25,0.21503821,0.22459333,"('egoistic', 'altruistic')",1.8119619,1.7829416,1.0135001,1.0037675,-0.0097326
26,1.0602348,0.74630517,"('hardhearted', 'benevolent')",2.0321605,1.8851334,1.5461977,1.3157192,-0.2304785
27,-0.0714051,-0.09507722,"('hardhearted', 'softhearted')",1.7260438,1.6159232,0.8273194,0.7604229,-0.0668965
28,-0.87024415,-0.9588522,"('disloyal', 'loyal')",0.8827269,0.79855776,0.0062414,-0.0801472,-0.0863886
29,-0.5110308,-0.5733433,"('unfair', 'fair')",-0.22390074,-0.3829321,-0.3674658,-0.4781377,-0.1106719
30,-0.006794527,0.020757042,"('intolerant', 'tolerant')",1.225868,1.2088293,0.6095367,0.6147932,0.0052565
31,-0.71864194,-0.77712727,"('evil', 'good')",-0.6118782,-0.68882394,-0.6652601,-0.7329756,-0.0677155
32,-0.5312903,-0.6780826,"('unkind', 'kind')",0.808357,0.6286863,0.1385334,-0.0246981,-0.1632315
33,0.10962195,0.013091281,"('wrong', 'right')",-0.14026043,-0.22793142,-0.0153192,-0.1074201,-0.0921009
34,-0.13019134,0.07279171,"('mean', 'honorable')",5.6767845,5.971155,2.7732966,3.0219734,0.2486768
35,1.0688435,0.8479832,"('corrupt', 'incorrupt')",0.32905716,0.11160044,0.6989503,0.4797918,-0.2191585
36,-0.2142758,-0.40811932,"('hostile', 'amicable')",0.3614667,0.16637614,0.0735954,-0.1208716,-0.194467
37,0.18608005,0.2418804,"('fake', 'genuine')",0.67471254,0.7255584,0.4303963,0.4837194,0.0533231
38,-0.92272276,-0.9303567,"('untruthful', 'truthful')",-0.31213132,-0.19617842,-0.6174271,-0.5632675,0.0541596
39,-0.26648882,-0.11130616,"('exploitative', 'cooperative')",0.029484557,0.021316705,-0.1185021,-0.0449947,0.0735074
