,sovereign_male,sovereign_female,tuple,bancorp_male,bancorp_female,inc_male,inc_female,average_male,average_female,female-male
0,0.08122663,-0.04961912,"('unsociable', 'sociable')",-0.21662813,-0.22998068,-0.29850256,-0.3847423,-0.1446347,-0.2214473,-0.0768126
1,-0.17702636,-0.1639304,"('unfriendly', 'friendly')",0.44017777,0.42139584,2.3471553,2.2835686,0.8701022,0.8470113,-0.0230909
2,1.026349,1.1160184,"('unlikable', 'likable')",1.3082725,1.3441474,0.7903132,0.88734454,1.0416449,1.1158369,0.074192
3,-0.8657538,-0.7686631,"('repellent', 'pleasant')",-0.5073238,-0.41716376,0.0038263127,0.03573563,-0.4564171,-0.3833638,0.0730533
4,0.1225033,0.12268593,"('disliked', 'liked')",0.45928812,0.43934637,-6.5978646,-6.627353,-2.0053577,-2.0217737,-0.016416
5,0.76816773,0.83481634,"('distant', 'outgoing')",1.1749172,1.1928543,0.03786242,0.050293483,0.6603158,0.6926547,0.0323389
6,0.4378083,0.5293227,"('distant', 'open')",0.8822917,0.8998828,0.733195,0.698048,0.6844316,0.7090845,0.0246529
7,0.77311164,0.7127652,"('insensitive', 'sensitive')",-0.13151303,-0.10913795,0.7052483,0.7175721,0.4489489,0.4403998,-0.0085491
8,0.26311612,0.29044524,"('unaffectionate', 'affectionate')",-0.4063908,-0.48331642,1.0593133,1.0107142,0.3053462,0.2726143,-0.0327319
9,1.4574977,1.4665555,"('unaffectionate', 'caring')",0.5395873,0.5175727,1.4738474,1.4699682,1.1569775,1.1513654,-0.0056121
10,0.50273204,0.43066615,"('unsympathetic', 'sympathetic')",-1.8905966,-1.8822284,-0.39329025,-0.41448435,-0.5937183,-0.6220155,-0.0282972
11,0.17648867,0.18367903,"('unhelpful', 'helpful')",-0.8375162,-0.826998,1.6999263,1.7676352,0.3462996,0.3747721,0.0284725
12,1.5885264,1.6686962,"('unsupportive', 'supportive')",-0.2532426,-0.17364721,-1.8317769,-1.7659439,-0.1654977,-0.0902983,0.0751994
13,0.5684593,0.453528,"('impolite', 'polite')",-0.14358577,-0.13646704,-0.44852412,-0.47282225,-0.0078835,-0.0519204,-0.0440369
14,0.01090407,-0.09371479,"('antisocial', 'social')",-0.610878,-0.59626365,-0.7620692,-0.77562803,-0.4540144,-0.4885355,-0.0345211
15,0.62207454,0.52985215,"('boring', 'funny')",1.288349,1.2127538,0.6305233,0.6149929,0.8469823,0.7858663,-0.061116
16,-1.5041674,-1.4028122,"('unpopular', 'popular')",-0.12150322,-0.07178644,0.3195351,0.3358959,-0.4353785,-0.3795676,0.0558109
17,-0.29857793,-0.2791616,"('nasty', 'nice')",0.5896862,0.6309751,-0.5677161,-0.523838,-0.0922026,-0.0573415,0.0348611
18,-0.27178666,-0.22504354,"('disagreeable', 'welcoming')",-0.34491795,-0.34556946,-0.37125003,-0.3979021,-0.3293182,-0.3228384,0.0064798
19,0.035565864,0.13119845,"('inhospitable', 'hospitable')",-0.5108585,-0.49928427,-0.02444979,0.0267433,-0.1665808,-0.1137808,0.0528
20,0.20430313,0.1683386,"('rough', 'thoughtful')",-0.008554747,0.024069209,1.1274457,1.0881313,0.4410647,0.4268464,-0.0142183
21,-0.28781658,-0.37255403,"('immoral', 'moral')",-0.758204,-0.7375477,-0.754922,-0.6926874,-0.6003141,-0.6009297,-0.0006156
22,-0.5701857,-0.6507235,"('untrustworthy', 'trustworthy')",-0.89674795,-0.96169925,-0.74752057,-0.8100678,-0.7381514,-0.8074969,-0.0693455
23,1.4318714,1.3618137,"('insincere', 'sincere')",0.20113526,0.18216039,6.0835257,5.997342,2.5721774,2.513772,-0.0584054
24,1.1412696,1.1106024,"('dishonest', 'honest')",-1.2166281,-1.2784761,0.98971856,0.90234953,0.3047867,0.2448253,-0.0599614
25,-0.9146585,-0.8847159,"('egoistic', 'altruistic')",0.7277243,0.74760675,1.7657733,1.7319837,0.5262797,0.5316248,0.0053451
26,2.0243149,1.9300591,"('hardhearted', 'benevolent')",1.0301347,0.9440449,1.8668119,1.8265392,1.6404204,1.566881,-0.0735394
27,0.561126,0.57695556,"('hardhearted', 'softhearted')",-0.0064947717,-0.009419046,1.5412123,1.4385029,0.6986145,0.6686798,-0.0299347
28,0.99677044,0.8403892,"('disloyal', 'loyal')",-0.7587875,-0.8733193,1.0637697,0.9383577,0.4339175,0.3018092,-0.1321083
29,-0.19211948,-0.24055687,"('unfair', 'fair')",-0.11859797,-0.10876061,-0.15534991,-0.2830547,-0.1553558,-0.2107907,-0.0554349
30,1.2863729,1.2666638,"('intolerant', 'tolerant')",-0.51338434,-0.5761445,0.9210133,0.8602852,0.5646673,0.5169348,-0.0477325
31,-0.88125,-0.6717893,"('evil', 'good')",0.24601899,0.32295257,-0.80696255,-0.8251779,-0.4807312,-0.3913382,0.089393
32,0.5720341,0.4575757,"('unkind', 'kind')",0.30556005,0.305912,1.350107,1.25972,0.7425671,0.6744026,-0.0681645
33,0.76023585,0.74759287,"('wrong', 'right')",1.4303582,1.4052603,-0.47605094,-0.535641,0.5715143,0.5390708,-0.0324435
34,0.015224734,0.16490826,"('mean', 'honorable')",0.46274185,0.53381157,6.266801,6.30981,2.2482559,2.3361767,0.0879208
35,0.32525688,0.26935923,"('corrupt', 'incorrupt')",0.9439097,0.90246636,0.3221961,0.15787467,0.5304542,0.4432335,-0.0872207
36,0.009447217,0.067530334,"('hostile', 'amicable')",1.5687578,1.5300995,0.6598042,0.47179785,0.7460031,0.6898092,-0.0561939
37,0.364849,0.35569558,"('fake', 'genuine')",-1.050047,-1.0505241,0.4606452,0.44379553,-0.074851,-0.0836777,-0.0088267
38,0.675309,0.72051156,"('untruthful', 'truthful')",0.2471689,0.2515244,0.029392198,0.07503118,0.31729,0.3490224,0.0317324
39,1.7073941,1.7149719,"('exploitative', 'cooperative')",0.8468837,0.850027,0.10003762,0.09000805,0.8847718,0.8850023,0.0002305
40,0.66173667,0.6437896,"('stingy', 'generous')",0.9864821,0.995116,-1.3487592,-1.4620944,0.0998199,0.058937,-0.0408829
41,0.33647648,0.30206752,"('unforgiving', 'forgiving')",0.57352114,0.5602779,-0.041761313,-0.12029209,0.2894121,0.2473511,-0.042061
42,0.9783158,0.9628402,"('unreliable', 'reliable')",0.67792183,0.6594087,-2.9849815,-2.9371412,-0.4429146,-0.4382974,0.0046172
43,1.0455747,1.0465536,"('irresponsible', 'responsible')",-0.8104677,-0.83065677,0.49710977,0.5140479,0.2440722,0.2433149,-0.0007573
44,-1.2336484,-1.1890237,"('prejudiced', 'unprejudiced')",-0.36798313,-0.3270443,-1.3316169,-1.3335972,-0.9777495,-0.9498884,0.0278611
45,-0.2676302,-0.25548244,"('incompetent', 'competent')",-1.4208668,-1.4348122,-0.3750358,-0.38610092,-0.6878443,-0.6921318,-0.0042875
