,travel_male,travel_female,tuple,average_male,average_female,female-male
0,0.46859914,0.42054448,"('unsociable', 'sociable')",0.4685991,0.4205445,-0.0480546
1,2.131437,2.1680582,"('unfriendly', 'friendly')",2.1314371,2.1680582,0.0366211
2,0.7101929,0.8194021,"('unlikable', 'likable')",0.7101929,0.8194021,0.1092092
3,-0.2628682,-0.18080921,"('repellent', 'pleasant')",-0.2628682,-0.1808092,0.082059
4,-6.4010677,-6.235789,"('disliked', 'liked')",-6.4010677,-6.2357888,0.1652789
5,0.16405414,0.19409153,"('distant', 'outgoing')",0.1640541,0.1940915,0.0300374
6,0.1553731,0.14931954,"('distant', 'open')",0.1553731,0.1493195,-0.0060536
7,0.8913169,0.9514128,"('insensitive', 'sensitive')",0.8913169,0.9514128,0.0600959
8,1.2709966,1.1926651,"('unaffectionate', 'affectionate')",1.2709966,1.1926651,-0.0783315
9,2.3399901,2.3249373,"('unaffectionate', 'caring')",2.3399901,2.3249373,-0.0150528
10,0.6356935,0.6619777,"('unsympathetic', 'sympathetic')",0.6356935,0.6619777,0.0262842
11,2.4721997,2.5160224,"('unhelpful', 'helpful')",2.4721997,2.5160224,0.0438227
12,-0.83025223,-0.66148597,"('unsupportive', 'supportive')",-0.8302522,-0.661486,0.1687662
13,0.16459249,0.13317597,"('impolite', 'polite')",0.1645925,0.133176,-0.0314165
14,0.5117749,0.52586895,"('antisocial', 'social')",0.5117749,0.525869,0.0140941
15,0.17174013,0.17273532,"('boring', 'funny')",0.1717401,0.1727353,0.0009952
16,0.13199791,0.18748385,"('unpopular', 'popular')",0.1319979,0.1874838,0.0554859
17,-0.042728834,-0.046697207,"('nasty', 'nice')",-0.0427288,-0.0466972,-0.0039684
18,-0.7798897,-0.76558506,"('disagreeable', 'welcoming')",-0.7798897,-0.7655851,0.0143046
19,-0.6115433,-0.6035662,"('inhospitable', 'hospitable')",-0.6115433,-0.6035662,0.0079771
20,0.37058467,0.39466646,"('rough', 'thoughtful')",0.3705847,0.3946665,0.0240818
21,-0.12700869,0.043444157,"('immoral', 'moral')",-0.1270087,0.0434442,0.1704529
22,-0.46883726,-0.4370822,"('untrustworthy', 'trustworthy')",-0.4688373,-0.4370822,0.0317551
23,6.2157784,6.107291,"('insincere', 'sincere')",6.2157784,6.1072912,-0.1084872
24,1.92655,1.8347646,"('dishonest', 'honest')",1.92655,1.8347646,-0.0917854
25,0.99996924,0.96090436,"('egoistic', 'altruistic')",0.9999692,0.9609044,-0.0390648
26,1.5929769,1.583494,"('hardhearted', 'benevolent')",1.5929769,1.5834939,-0.009483
27,1.0777558,0.89007235,"('hardhearted', 'softhearted')",1.0777558,0.8900723,-0.1876835
28,1.4516586,1.3457252,"('disloyal', 'loyal')",1.4516586,1.3457252,-0.1059334
29,-0.49260288,-0.61396086,"('unfair', 'fair')",-0.4926029,-0.6139609,-0.121358
30,1.6300985,1.6801511,"('intolerant', 'tolerant')",1.6300985,1.6801511,0.0500526
31,-1.7568389,-1.7526054,"('evil', 'good')",-1.7568389,-1.7526054,0.0042335
32,1.3885394,1.3302071,"('unkind', 'kind')",1.3885394,1.3302071,-0.0583323
33,0.40534833,0.3708661,"('wrong', 'right')",0.4053483,0.3708661,-0.0344822
34,4.8178906,4.874916,"('mean', 'honorable')",4.8178906,4.8749161,0.0570255
35,-1.0914763,-1.2673417,"('corrupt', 'incorrupt')",-1.0914763,-1.2673417,-0.1758654
36,-0.5518404,-0.61366165,"('hostile', 'amicable')",-0.5518404,-0.6136616,-0.0618212
37,0.2984549,0.21266101,"('fake', 'genuine')",0.2984549,0.212661,-0.0857939
38,0.98070425,0.99824923,"('untruthful', 'truthful')",0.9807042,0.9982492,0.017545
39,0.6523882,0.5702932,"('exploitative', 'cooperative')",0.6523882,0.5702932,-0.082095
40,-1.7477225,-1.760878,"('stingy', 'generous')",-1.7477225,-1.760878,-0.0131555
41,0.73852533,0.7289341,"('unforgiving', 'forgiving')",0.7385253,0.7289341,-0.0095912
42,-2.2122154,-2.086847,"('unreliable', 'reliable')",-2.2122154,-2.0868471,0.1253683
43,1.9193859,1.9963479,"('irresponsible', 'responsible')",1.9193859,1.9963479,0.076962
44,-1.2868524,-1.3325155,"('prejudiced', 'unprejudiced')",-1.2868524,-1.3325155,-0.0456631
45,-0.2327855,-0.15475225,"('incompetent', 'competent')",-0.2327855,-0.1547523,0.0780332
46,-0.522896,-0.4046299,"('uncompetitive', 'competitive')",-0.522896,-0.4046299,0.1182661
47,5.7306843,5.6883984,"('stupid', 'smart')",5.7306843,5.6883984,-0.0422859
48,0.6549644,0.6904263,"('unintelligent', 'intelligent')",0.6549644,0.6904263,0.0354619
49,-0.49698994,-0.44820216,"('unable', 'able')",-0.4969899,-0.4482022,0.0487877
50,-0.36513436,-0.42590427,"('clumsy', 'skillful')",-0.3651344,-0.4259043,-0.0607699
51,-0.22229257,-0.266665,"('uneducated', 'educated')",-0.2222926,-0.266665,-0.0443724
52,-0.5237439,-0.6416223,"('irrational', 'rational')",-0.5237439,-0.6416223,-0.1178784
53,0.6432576,0.76907045,"('uncreative', 'creative')",0.6432576,0.7690704,0.1258128
54,0.81830823,0.8024211,"('incapable', 'capable')",0.8183082,0.8024211,-0.0158871
55,0.02811143,0.12294876,"('incompetent', 'clever')",0.0281114,0.1229488,0.0948374
56,1.2218633,1.3674884,"('impractical', 'practical')",1.2218633,1.3674884,0.1456251
57,-2.2382507,-2.0378728,"('unimaginative', 'imaginative')",-2.2382507,-2.0378728,0.2003779
58,0.46397537,0.57383996,"('undiscriminating', 'discriminating')",0.4639754,0.57384,0.1098646
59,0.18567342,0.10801664,"('foolish', 'wise')",0.1856734,0.1080166,-0.0776568
60,1.1043638,1.2123044,"('inefficient', 'efficient')",1.1043638,1.2123044,0.1079406
61,0.669177,0.561865,"('illogical', 'logical')",0.669177,0.561865,-0.107312
62,0.30591226,0.45640233,"('incompetent', 'brilliant')",0.3059123,0.4564023,0.15049
63,0.8325141,1.0084511,"('unperceptive', 'insightful')",0.8325141,1.0084511,0.175937
64,-6.361412,-6.2394114,"('shy', 'confident')",-6.361412,-6.2394114,0.1220006
65,0.025918253,0.005093083,"('insecure', 'secure')",0.0259183,0.0050931,-0.0208252
66,-0.11580548,-0.13931173,"('inactive', 'active')",-0.1158055,-0.1393117,-0.0235062
67,-0.2770224,-0.2843214,"('doubtful', 'determined')",-0.2770224,-0.2843214,-0.007299
68,-0.94101226,-1.0233308,"('dependent', 'independent')",-0.9410123,-1.0233308,-0.0823185
69,-1.3480494,-1.3410212,"('lazy', 'industrious')",-1.3480494,-1.3410212,0.0070282
70,0.75355697,0.7417052,"('lethargic', 'energetic')",0.753557,0.7417052,-0.0118518
71,1.4825037,1.5734484,"('diffident', 'self-confident')",1.4825037,1.5734484,0.0909447
72,0.56061167,0.63730276,"('unambitious', 'ambitious')",0.5606117,0.6373028,0.0766911
73,-2.6355631,-2.5293658,"('helpless', 'self-reliant')",-2.6355631,-2.5293658,0.1061973
74,0.5676645,0.6114732,"('undedicated', 'dedicated')",0.5676645,0.6114732,0.0438087
75,-1.0356147,-0.965283,"('meek', 'impulsive')",-1.0356147,-0.965283,0.0703317
76,0.3202737,0.40527764,"('anxious', 'daring')",0.3202737,0.4052776,0.0850039
77,-0.9314764,-0.7398441,"('unmotivated', 'motivated')",-0.9314764,-0.7398441,0.1916323
78,-0.13095069,-0.02729068,"('nonresilient', 'resilient')",-0.1309507,-0.0272907,0.10366
79,-0.07516852,-0.09790001,"('wavering', 'unwavering')",-0.0751685,-0.0979,-0.0227315
