,sprag_male,sprag_female,tuple,average_male,average_female,female-male
0,-0.6050911,-0.8579741,"('unsociable', 'sociable')",-0.6050911,-0.8579741,-0.252883
1,-0.6939368,-1.0315505,"('unfriendly', 'friendly')",-0.6939368,-1.0315505,-0.3376137
2,-0.8789648,-0.91869706,"('unlikable', 'likable')",-0.8789648,-0.9186971,-0.0397323
3,-1.1457553,-1.1780708,"('repellent', 'pleasant')",-1.1457553,-1.1780708,-0.0323155
4,-3.1176312,-3.131125,"('disliked', 'liked')",-3.1176312,-3.131125,-0.0134938
5,-0.6365652,-0.7140622,"('distant', 'outgoing')",-0.6365652,-0.7140622,-0.077497
6,-0.43086585,-0.5670044,"('distant', 'open')",-0.4308659,-0.5670044,-0.1361385
7,-0.057376966,-0.12261112,"('insensitive', 'sensitive')",-0.057377,-0.1226111,-0.0652341
8,0.030955486,-0.22642586,"('unaffectionate', 'affectionate')",0.0309555,-0.2264259,-0.2573814
9,0.22117117,0.085884064,"('unaffectionate', 'caring')",0.2211712,0.0858841,-0.1352871
10,-0.8672076,-1.1115924,"('unsympathetic', 'sympathetic')",-0.8672076,-1.1115924,-0.2443848
11,-0.0015512835,0.04046656,"('unhelpful', 'helpful')",-0.0015513,0.0404666,0.0420179
12,-2.0519931,-2.0101116,"('unsupportive', 'supportive')",-2.0519931,-2.0101116,0.0418815
13,-0.7913875,-0.80082464,"('impolite', 'polite')",-0.7913875,-0.8008246,-0.0094371
14,-0.18899861,-0.30645907,"('antisocial', 'social')",-0.1889986,-0.3064591,-0.1174605
15,0.656175,0.6477241,"('boring', 'funny')",0.656175,0.6477241,-0.0084509
16,-0.61140007,-0.5015863,"('unpopular', 'popular')",-0.6114001,-0.5015863,0.1098138
17,-0.49054757,-0.51482487,"('nasty', 'nice')",-0.4905476,-0.5148249,-0.0242773
18,-1.151656,-1.0936701,"('disagreeable', 'welcoming')",-1.151656,-1.0936701,0.0579859
19,-0.68919265,-0.675358,"('inhospitable', 'hospitable')",-0.6891927,-0.675358,0.0138347
20,-0.2514838,-0.26044267,"('rough', 'thoughtful')",-0.2514838,-0.2604427,-0.0089589
21,-1.7354978,-1.5549194,"('immoral', 'moral')",-1.7354978,-1.5549194,0.1805784
22,-0.6493219,-0.71327674,"('untrustworthy', 'trustworthy')",-0.6493219,-0.7132767,-0.0639548
23,2.1462886,2.002679,"('insincere', 'sincere')",2.1462886,2.0026791,-0.1436095
24,-0.6930519,-0.8097403,"('dishonest', 'honest')",-0.6930519,-0.8097403,-0.1166884
25,0.47155163,0.341599,"('egoistic', 'altruistic')",0.4715516,0.341599,-0.1299526
26,1.048819,0.54156286,"('hardhearted', 'benevolent')",1.0488189,0.5415629,-0.507256
27,0.36640036,0.2911127,"('hardhearted', 'softhearted')",0.3664004,0.2911127,-0.0752877
28,0.16846639,-0.07339343,"('disloyal', 'loyal')",0.1684664,-0.0733934,-0.2418598
29,-0.37615332,-0.36910295,"('unfair', 'fair')",-0.3761533,-0.369103,0.0070503
30,0.13881323,0.09080589,"('intolerant', 'tolerant')",0.1388132,0.0908059,-0.0480073
31,-0.88169515,-0.95207286,"('evil', 'good')",-0.8816952,-0.9520729,-0.0703777
32,0.039745774,-0.25532398,"('unkind', 'kind')",0.0397458,-0.255324,-0.2950698
33,-0.23270638,-0.12744145,"('wrong', 'right')",-0.2327064,-0.1274415,0.1052649
34,2.0578983,1.9312599,"('mean', 'honorable')",2.0578983,1.9312599,-0.1266384
35,0.46824682,0.3056352,"('corrupt', 'incorrupt')",0.4682468,0.3056352,-0.1626116
36,0.35770488,0.18778415,"('hostile', 'amicable')",0.3577049,0.1877842,-0.1699207
37,-0.28559002,-0.35368347,"('fake', 'genuine')",-0.28559,-0.3536835,-0.0680935
38,-0.8802758,-0.94354755,"('untruthful', 'truthful')",-0.8802758,-0.9435475,-0.0632717
39,-0.35444123,-0.17234701,"('exploitative', 'cooperative')",-0.3544412,-0.172347,0.1820942
40,-1.2546501,-1.4258965,"('stingy', 'generous')",-1.2546501,-1.4258965,-0.1712464
41,-0.21826968,-0.43122765,"('unforgiving', 'forgiving')",-0.2182697,-0.4312277,-0.212958
42,-1.6433115,-1.5475656,"('unreliable', 'reliable')",-1.6433115,-1.5475656,0.0957459
43,-0.89894056,-1.0443957,"('irresponsible', 'responsible')",-0.8989406,-1.0443957,-0.1454551
44,-0.95345014,-0.91176605,"('prejudiced', 'unprejudiced')",-0.9534501,-0.9117661,0.041684
45,-0.547479,-0.8742193,"('incompetent', 'competent')",-0.547479,-0.8742193,-0.3267403
46,-1.3835267,-1.6017578,"('uncompetitive', 'competitive')",-1.3835267,-1.6017578,-0.2182311
47,2.671873,2.7059402,"('stupid', 'smart')",2.6718731,2.7059402,0.0340671
48,-1.097365,-1.0951546,"('unintelligent', 'intelligent')",-1.097365,-1.0951546,0.0022104
49,-1.1483119,-0.9209863,"('unable', 'able')",-1.1483119,-0.9209863,0.2273256
50,-0.48615348,-0.38858345,"('clumsy', 'skillful')",-0.4861535,-0.3885835,0.09757
51,-0.4869656,-0.4951194,"('uneducated', 'educated')",-0.4869656,-0.4951194,-0.0081538
52,-0.8130519,-0.7049674,"('irrational', 'rational')",-0.8130519,-0.7049674,0.1080845
53,-0.40421122,-0.62882537,"('uncreative', 'creative')",-0.4042112,-0.6288254,-0.2246142
54,-0.33764434,-0.4429556,"('incapable', 'capable')",-0.3376443,-0.4429556,-0.1053113
55,-0.30553293,-0.26597664,"('incompetent', 'clever')",-0.3055329,-0.2659766,0.0395563
56,0.012104435,-0.01533724,"('impractical', 'practical')",0.0121044,-0.0153372,-0.0274416
57,-1.8807316,-2.2824,"('unimaginative', 'imaginative')",-1.8807316,-2.2823999,-0.4016683
58,0.34044665,0.28570372,"('undiscriminating', 'discriminating')",0.3404467,0.2857037,-0.054743
59,-0.1831176,0.06588063,"('foolish', 'wise')",-0.1831176,0.0658806,0.2489982
60,-0.65706354,-0.45708126,"('inefficient', 'efficient')",-0.6570635,-0.4570813,0.1999822
61,-1.010908,-1.1753632,"('illogical', 'logical')",-1.010908,-1.1753632,-0.1644552
62,-0.9048161,-0.7448541,"('incompetent', 'brilliant')",-0.9048161,-0.7448541,0.159962
63,-0.6318659,-0.63914806,"('unperceptive', 'insightful')",-0.6318659,-0.6391481,-0.0072822
64,-3.9062688,-3.7316284,"('shy', 'confident')",-3.9062688,-3.7316284,0.1746404
65,-0.19182953,-0.11440187,"('insecure', 'secure')",-0.1918295,-0.1144019,0.0774276
66,0.18159287,-0.09510049,"('inactive', 'active')",0.1815929,-0.0951005,-0.2766934
67,-0.5345308,-0.4630484,"('doubtful', 'determined')",-0.5345308,-0.4630484,0.0714824
68,-0.9419228,-0.7281944,"('dependent', 'independent')",-0.9419228,-0.7281944,0.2137284
69,-0.17747307,-0.2891012,"('lazy', 'industrious')",-0.1774731,-0.2891012,-0.1116281
70,-0.24362245,-0.35989684,"('lethargic', 'energetic')",-0.2436225,-0.3598968,-0.1162743
71,-0.05142773,-0.03154638,"('diffident', 'self-confident')",-0.0514277,-0.0315464,0.0198813
72,-0.45030376,-0.4020284,"('unambitious', 'ambitious')",-0.4503038,-0.4020284,0.0482754
73,-1.6177441,-1.3705729,"('helpless', 'self-reliant')",-1.6177441,-1.3705729,0.2471712
74,-0.6109178,-0.73866886,"('undedicated', 'dedicated')",-0.6109178,-0.7386689,-0.1277511
75,0.5284322,0.416047,"('meek', 'impulsive')",0.5284322,0.416047,-0.1123852
76,-0.244639,-0.057394937,"('anxious', 'daring')",-0.244639,-0.0573949,0.1872441
77,-1.5483258,-1.4491054,"('unmotivated', 'motivated')",-1.5483258,-1.4491054,0.0992204
78,-1.0068653,-1.002761,"('nonresilient', 'resilient')",-1.0068653,-1.002761,0.0041043
79,-0.32952893,-0.62718886,"('wavering', 'unwavering')",-0.3295289,-0.6271889,-0.29766
80,-0.23717144,-0.1189317,"('dominated', 'dominating')",-0.2371714,-0.1189317,0.1182397
81,-0.57852983,-0.55348957,"('submissive', 'aggressive')",-0.5785298,-0.5534896,0.0250402
82,2.7728512,2.5431535,"('poor', 'rich')",2.7728512,2.5431535,-0.2296977
83,-0.47328687,-0.61231476,"('powerless', 'powerful')",-0.4732869,-0.6123148,-0.1390279
84,0.38029158,0.44180787,"('inferior', 'superior')",0.3802916,0.4418079,0.0615163
85,-0.09905621,-0.30164397,"('insignificant', 'prestigious')",-0.0990562,-0.301644,-0.2025878
86,-1.1299102,-1.5315133,"('uninfluential', 'influential')",-1.1299102,-1.5315133,-0.4016031
87,-0.7023917,-0.6082447,"('unsuccessful', 'successful')",-0.7023917,-0.6082447,0.094147
88,-0.878938,-0.986571,"('low', 'eminent')",-0.878938,-0.986571,-0.107633
