,precision_male,precision_female,tuple,castparts_male,castparts_female,corp_male,corp_female,average_male,average_female,female-male
0,2.1186535,2.4122748,"('unsociable', 'sociable')",-0.031414323,0.014722628,0.08549177,0.058851916,0.7242436,0.8286165,0.1043729
1,-1.0245758,-1.1759548,"('unfriendly', 'friendly')",-0.53019935,-0.59999305,1.4781891,1.2427663,-0.0255287,-0.1777272,-0.1521985
2,0.11880741,0.09257046,"('unlikable', 'likable')",0.32926548,0.46288502,0.5713576,0.5753447,0.3398102,0.3769334,0.0371232
3,0.3071712,0.58602834,"('repellent', 'pleasant')",-0.61153704,-0.38231787,0.5999648,0.6790263,0.098533,0.2942456,0.1957126
4,-0.8292269,-1.0291975,"('disliked', 'liked')",-0.10008962,-0.087630145,-6.929307,-7.1286716,-2.6195412,-2.7484999,-0.1289587
5,-2.663103,-2.9312303,"('distant', 'outgoing')",-0.26264405,-0.29326972,-0.39109638,-0.5292774,-1.1056145,-1.2512591,-0.1456446
6,-2.931828,-3.2509098,"('distant', 'open')",-0.6718634,-0.72873175,-0.1514976,-0.35316044,-1.2517296,-1.4442673,-0.1925377
7,1.0621891,1.2612723,"('insensitive', 'sensitive')",-0.4351893,-0.29895368,0.27129984,0.37590694,0.2994332,0.4460752,0.146642
8,-1.5895996,-1.8412764,"('unaffectionate', 'affectionate')",-0.9959554,-1.1036117,0.88934404,0.72560453,-0.5654037,-0.7397612,-0.1743575
9,-0.18424289,-0.34019896,"('unaffectionate', 'caring')",-0.46128726,-0.5373896,1.3226858,1.2440126,0.2257186,0.1221414,-0.1035772
10,1.8129938,2.1489465,"('unsympathetic', 'sympathetic')",-0.93698186,-0.7867604,-0.16412564,-0.025848344,0.2372954,0.4454459,0.2081505
11,1.1383564,1.3148097,"('unhelpful', 'helpful')",-0.077638604,0.03197659,1.6642933,1.8426052,0.908337,1.0631305,0.1547935
12,1.4438946,1.6376287,"('unsupportive', 'supportive')",0.03336747,0.17338552,-2.0078385,-1.9836149,-0.1768588,-0.0575336,0.1193252
13,1.770791,1.9405643,"('impolite', 'polite')",0.29953808,0.31415212,-0.33554846,-0.16877446,0.5782603,0.695314,0.1170537
