,buzzard_male,buzzard_female,tuple,average_male,average_female,female-male
0,-0.24395123,-0.49479917,"('unsociable', 'sociable')",-0.2439512,-0.4947992,-0.250848
1,0.26762548,0.12402563,"('unfriendly', 'friendly')",0.2676255,0.1240256,-0.1435999
2,-0.13529131,-0.0786099,"('unlikable', 'likable')",-0.1352913,-0.0786099,0.0566814
3,-1.3516877,-1.3603175,"('repellent', 'pleasant')",-1.3516877,-1.3603175,-0.0086298
4,-2.8903182,-2.7909136,"('disliked', 'liked')",-2.8903182,-2.7909136,0.0994046
5,0.5661569,0.6709353,"('distant', 'outgoing')",0.5661569,0.6709353,0.1047784
6,0.26533467,0.45456037,"('distant', 'open')",0.2653347,0.4545604,0.1892257
7,-0.12046667,-0.24818525,"('insensitive', 'sensitive')",-0.1204667,-0.2481852,-0.1277185
8,0.3666049,0.22418858,"('unaffectionate', 'affectionate')",0.3666049,0.2241886,-0.1424163
9,0.39599663,0.24733204,"('unaffectionate', 'caring')",0.3959966,0.247332,-0.1486646
10,-1.0803378,-1.2698336,"('unsympathetic', 'sympathetic')",-1.0803378,-1.2698336,-0.1894958
11,0.34580502,0.37387213,"('unhelpful', 'helpful')",0.345805,0.3738721,0.0280671
12,-1.5432383,-1.5585507,"('unsupportive', 'supportive')",-1.5432383,-1.5585507,-0.0153124
13,-0.07674543,-0.3250584,"('impolite', 'polite')",-0.0767454,-0.3250584,-0.248313
14,-0.22051863,-0.4893498,"('antisocial', 'social')",-0.2205186,-0.4893498,-0.2688312
15,0.14314538,0.19789365,"('boring', 'funny')",0.1431454,0.1978936,0.0547482
16,-0.30469844,-0.22579452,"('unpopular', 'popular')",-0.3046984,-0.2257945,0.0789039
17,-0.69376427,-0.68459195,"('nasty', 'nice')",-0.6937643,-0.6845919,0.0091724
18,-0.8041324,-0.819826,"('disagreeable', 'welcoming')",-0.8041324,-0.819826,-0.0156936
19,0.6783098,0.8475743,"('inhospitable', 'hospitable')",0.6783098,0.8475743,0.1692645
20,0.011935428,-0.03700433,"('rough', 'thoughtful')",0.0119354,-0.0370043,-0.0489397
21,-0.86399573,-0.96964663,"('immoral', 'moral')",-0.8639957,-0.9696466,-0.1056509
22,-0.2723214,-0.3372577,"('untrustworthy', 'trustworthy')",-0.2723214,-0.3372577,-0.0649363
23,2.3025322,2.0074139,"('insincere', 'sincere')",2.3025322,2.0074139,-0.2951183
24,-0.25693402,-0.4708572,"('dishonest', 'honest')",-0.256934,-0.4708572,-0.2139232
25,0.47376466,0.43412462,"('egoistic', 'altruistic')",0.4737647,0.4341246,-0.0396401
26,0.40192398,0.24814522,"('hardhearted', 'benevolent')",0.401924,0.2481452,-0.1537788
27,-0.07778325,-0.18157554,"('hardhearted', 'softhearted')",-0.0777832,-0.1815755,-0.1037923
28,0.3883934,0.11228316,"('disloyal', 'loyal')",0.3883934,0.1122832,-0.2761102
29,0.2352711,0.22166342,"('unfair', 'fair')",0.2352711,0.2216634,-0.0136077
30,0.036568485,-0.17201252,"('intolerant', 'tolerant')",0.0365685,-0.1720125,-0.208581
31,-0.7385429,-0.5974331,"('evil', 'good')",-0.7385429,-0.5974331,0.1411098
32,-0.19049773,-0.51588565,"('unkind', 'kind')",-0.1904977,-0.5158857,-0.325388
33,0.28518757,0.35697553,"('wrong', 'right')",0.2851876,0.3569755,0.0717879
34,2.1016254,2.194558,"('mean', 'honorable')",2.1016254,2.1945579,0.0929325
35,0.569132,0.7114997,"('corrupt', 'incorrupt')",0.569132,0.7114997,0.1423677
36,0.3535839,0.46015286,"('hostile', 'amicable')",0.3535839,0.4601529,0.106569
37,-0.113858946,-0.18966775,"('fake', 'genuine')",-0.1138589,-0.1896677,-0.0758088
38,0.53217983,0.5364291,"('untruthful', 'truthful')",0.5321798,0.5364291,0.0042493
39,0.0008492097,-0.14429986,"('exploitative', 'cooperative')",0.0008492,-0.1442999,-0.1451491
40,-2.850239,-2.8203292,"('stingy', 'generous')",-2.850239,-2.8203292,0.0299098
41,0.026499521,-0.06153022,"('unforgiving', 'forgiving')",0.0264995,-0.0615302,-0.0880297
42,-1.423173,-1.4031049,"('unreliable', 'reliable')",-1.423173,-1.4031049,0.0200681
43,-0.63179266,-0.816609,"('irresponsible', 'responsible')",-0.6317927,-0.816609,-0.1848163
44,-1.3282812,-1.3290361,"('prejudiced', 'unprejudiced')",-1.3282812,-1.3290361,-0.0007549
45,-0.40614668,-0.45941922,"('incompetent', 'competent')",-0.4061467,-0.4594192,-0.0532725
46,-0.8281158,-1.0146561,"('uncompetitive', 'competitive')",-0.8281158,-1.0146561,-0.1865403
47,2.697889,2.5594027,"('stupid', 'smart')",2.6978891,2.5594027,-0.1384864
48,-0.62241375,-0.78498757,"('unintelligent', 'intelligent')",-0.6224138,-0.7849876,-0.1625738
49,0.1432555,0.1007924,"('unable', 'able')",0.1432555,0.1007924,-0.0424631
50,-0.397741,-0.47436577,"('clumsy', 'skillful')",-0.397741,-0.4743658,-0.0766248
51,0.42938602,0.39357603,"('uneducated', 'educated')",0.429386,0.393576,-0.03581
52,-0.38566846,-0.30333897,"('irrational', 'rational')",-0.3856685,-0.303339,0.0823295
