,nektar_male,nektar_female,tuple,therapeutics_male,therapeutics_female,average_male,average_female,female-male
0,-1.3822328,-1.5671064,"('unsociable', 'sociable')",0.370968,0.20482333,-0.5056324,-0.6811415,-0.1755091
1,-1.3550175,-1.4805866,"('unfriendly', 'friendly')",0.24956141,0.074311055,-0.5527281,-0.7031378,-0.1504097
2,0.796878,0.7866061,"('unlikable', 'likable')",1.2912151,1.3074634,1.0440465,1.0470347,0.0029882
3,-1.2818344,-1.239339,"('repellent', 'pleasant')",-1.1532921,-1.0519872,-1.2175632,-1.145663,0.0719002
4,0.06330508,0.01862723,"('disliked', 'liked')",-2.4539661,-2.4003778,-1.1953305,-1.1908753,0.0044552
5,-1.3479432,-1.2575908,"('distant', 'outgoing')",-0.0822525,-0.019143555,-0.7150978,-0.6383672,0.0767306
6,-1.493051,-1.3992616,"('distant', 'open')",-0.28796768,-0.2789061,-0.8905094,-0.8390839,0.0514255
7,-1.5701022,-1.5229342,"('insensitive', 'sensitive')",-1.0682365,-0.9975423,-1.3191693,-1.2602383,0.058931
8,-0.46271384,-0.5662247,"('unaffectionate', 'affectionate')",-0.16081367,-0.31843048,-0.3117638,-0.4423276,-0.1305638
9,-1.4632235,-1.5868251,"('unaffectionate', 'caring')",0.2880021,0.14820367,-0.5876107,-0.7193108,-0.1317001
10,-2.1861,-2.3040712,"('unsympathetic', 'sympathetic')",-1.0747668,-1.2062374,-1.6304333,-1.7551544,-0.1247211
11,-0.9886301,-1.0746875,"('unhelpful', 'helpful')",1.454514,1.3713813,0.232942,0.1483469,-0.0845951
12,-0.8612305,-0.84496194,"('unsupportive', 'supportive')",0.08459607,0.10646829,-0.3883172,-0.3692468,0.0190704
13,-1.0297109,-1.1240141,"('impolite', 'polite')",0.207903,0.106909,-0.4109039,-0.5085526,-0.0976487
14,-0.46872956,-0.43139943,"('antisocial', 'social')",-0.47699517,-0.4136842,-0.4728624,-0.4225418,0.0503206
15,0.25545442,0.19636555,"('boring', 'funny')",0.6572794,0.5782079,0.4563669,0.3872867,-0.0690802
16,0.25494888,0.13758859,"('unpopular', 'popular')",0.49298096,0.48189425,0.3739649,0.3097414,-0.0642235
17,-0.58138657,-0.5798077,"('nasty', 'nice')",-0.50468624,-0.43641227,-0.5430364,-0.50811,0.0349264
18,0.5799291,0.59367114,"('disagreeable', 'welcoming')",0.2282377,0.21715781,0.4040834,0.4054145,0.0013311
19,-1.5086721,-1.5529329,"('inhospitable', 'hospitable')",-0.15681382,-0.20103924,-0.832743,-0.876986,-0.044243
20,-0.35498875,-0.37132797,"('rough', 'thoughtful')",0.2098653,0.19732139,-0.0725617,-0.0870033,-0.0144416
21,-0.74648756,-0.8692416,"('immoral', 'moral')",-0.030639332,-0.099728145,-0.3885635,-0.4844849,-0.0959214
22,-0.19404104,-0.20497602,"('untrustworthy', 'trustworthy')",-0.58898586,-0.648151,-0.3915135,-0.4265635,-0.03505
23,-1.530249,-1.6596048,"('insincere', 'sincere')",2.3636906,2.245121,0.4167208,0.2927581,-0.1239627
24,-1.2945457,-1.2855346,"('dishonest', 'honest')",-1.2691671,-1.3221617,-1.2818563,-1.3038481,-0.0219918
25,-0.007907752,-0.023715714,"('egoistic', 'altruistic')",0.2052348,0.1665706,0.0986635,0.0714274,-0.0272361
26,0.020847514,-0.032603886,"('hardhearted', 'benevolent')",1.1836407,1.0603417,0.6022441,0.5138689,-0.0883752
27,-0.54551,-0.4845925,"('hardhearted', 'softhearted')",0.04141272,0.0031869002,-0.2520486,-0.2407028,0.0113458
28,-1.1800761,-1.284433,"('disloyal', 'loyal')",-0.2610033,-0.42497343,-0.7205397,-0.8547032,-0.1341635
29,-0.33693236,-0.27160028,"('unfair', 'fair')",-1.4644831,-1.4140383,-0.9007077,-0.8428193,0.0578884
