,novell_male,novell_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.23711734,-0.3631286,"('unsociable', 'sociable')",-0.57340914,-0.706199,-0.4052632,-0.5346638,-0.1294006
1,-0.20986323,-0.36898452,"('unfriendly', 'friendly')",2.0168743,1.9254608,0.9035056,0.7782382,-0.1252674
2,0.761406,0.7985134,"('unlikable', 'likable')",0.6024395,0.62152845,0.6819228,0.7100209,0.0280981
3,0.0046042455,0.020553805,"('repellent', 'pleasant')",0.23713468,0.30253845,0.1208695,0.1615461,0.0406766
4,-0.62655044,-0.6520915,"('disliked', 'liked')",-6.2209587,-6.3128557,-3.4237547,-3.4824736,-0.0587189
5,-0.15713862,-0.13520378,"('distant', 'outgoing')",0.11623923,0.13121967,-0.0204497,-0.0019921,0.0184576
6,-0.39222363,-0.33468434,"('distant', 'open')",0.44707495,0.463343,0.0274257,0.0643293,0.0369036
7,-0.1435227,-0.11503217,"('insensitive', 'sensitive')",0.4351115,0.5177404,0.1457944,0.2013541,0.0555597
8,-0.2139937,-0.27910984,"('unaffectionate', 'affectionate')",1.1490176,1.0505668,0.467512,0.3857285,-0.0817835
9,-0.35695052,-0.41206622,"('unaffectionate', 'caring')",1.2860653,1.2344792,0.4645574,0.4112065,-0.0533509
10,-0.4946586,-0.51982975,"('unsympathetic', 'sympathetic')",-0.7692969,-0.7552245,-0.6319777,-0.6375271,-0.0055494
11,-0.2296915,-0.20767017,"('unhelpful', 'helpful')",1.3374732,1.3980713,0.5538908,0.5952005,0.0413097
12,-0.14099626,-0.08227493,"('unsupportive', 'supportive')",-1.7925316,-1.7727934,-0.9667639,-0.9275342,0.0392297
13,-0.32048556,-0.35070562,"('impolite', 'polite')",-0.9166478,-0.91495943,-0.6185667,-0.6328325,-0.0142658
14,0.7783296,0.7404057,"('antisocial', 'social')",-0.6114013,-0.6772248,0.0834641,0.0315904,-0.0518737
15,-0.45748082,-0.48956025,"('boring', 'funny')",0.5865694,0.5370804,0.0645443,0.0237601,-0.0407842
16,-0.5991731,-0.5461186,"('unpopular', 'popular')",0.50574076,0.5618746,-0.0467162,0.007878,0.0545942
17,-0.37546393,-0.3245424,"('nasty', 'nice')",-0.23390605,-0.20709622,-0.304685,-0.2658193,0.0388657
18,0.22342181,0.18471913,"('disagreeable', 'welcoming')",-0.13190015,-0.16215354,0.0457608,0.0112828,-0.034478
19,-0.59468013,-0.52237886,"('inhospitable', 'hospitable')",0.37833843,0.43200308,-0.1081709,-0.0451879,0.062983
