,cooper_male,cooper_female,tuple,industries_male,industries_female,plc_male,plc_female,average_male,average_female,female-male
0,0.5486146,0.395855,"('unsociable', 'sociable')",-0.25040114,-0.30883387,-0.5502647,-0.61637425,-0.0840171,-0.176451,-0.0924339
1,0.025168011,0.0019328408,"('unfriendly', 'friendly')",-0.33700672,-0.49530676,2.1992981,2.013598,0.6291531,0.5067414,-0.1224117
2,0.6223057,0.7345023,"('unlikable', 'likable')",-0.17522627,-0.13395303,0.39057654,0.46812084,0.2792187,0.3562234,0.0770047
3,0.20002213,0.43605986,"('repellent', 'pleasant')",-0.39349142,-0.2535366,-0.20210916,-0.13052115,-0.1318595,0.017334,0.1491935
4,-0.050159626,-0.120762184,"('disliked', 'liked')",0.76502544,0.71403813,-4.639784,-4.6552734,-1.3083061,-1.3539991,-0.045693
5,-0.53715557,-0.5229576,"('distant', 'outgoing')",0.30922887,0.25162622,0.3778843,0.27587137,0.0499859,0.0015133,-0.0484726
6,-0.70078576,-0.65378034,"('distant', 'open')",-0.12974286,-0.21041337,0.4912603,0.3353922,-0.1130894,-0.1762671,-0.0631777
7,0.5239704,0.5210423,"('insensitive', 'sensitive')",-0.32312134,-0.218485,0.69309026,0.7195878,0.2979798,0.340715,0.0427352
8,0.4185198,0.42003572,"('unaffectionate', 'affectionate')",0.1361349,0.027985614,0.90423423,0.7025483,0.4862963,0.3835232,-0.1027731
9,0.8274098,0.7907999,"('unaffectionate', 'caring')",0.13740295,0.031709615,1.3784789,1.2243073,0.7810973,0.6822723,-0.098825
10,0.27589142,0.33761525,"('unsympathetic', 'sympathetic')",-0.8246028,-0.81125987,-0.31724504,-0.2926402,-0.2886521,-0.2554283,0.0332238
11,-0.00076846033,-0.024623526,"('unhelpful', 'helpful')",0.12435467,0.0725613,1.352846,1.3069805,0.4921441,0.4516394,-0.0405047
12,0.68789446,0.67781115,"('unsupportive', 'supportive')",0.29063255,0.30641267,-1.0703775,-1.0490055,-0.0306168,-0.0215939,0.0090229
13,-0.5139989,-0.62748116,"('impolite', 'polite')",-0.22952843,-0.2318574,-0.3859523,-0.38830316,-0.3764932,-0.4158806,-0.0393874
14,1.38481,1.4084241,"('antisocial', 'social')",0.91650665,1.0061271,0.30910698,0.44121826,0.8701413,0.9519232,0.0817819
15,0.91976196,0.7956592,"('boring', 'funny')",0.21798076,0.06666138,0.0676451,0.06326197,0.4017959,0.3085275,-0.0932684
16,-1.2185688,-1.145157,"('unpopular', 'popular')",-0.17587,-0.1492289,0.1894157,0.15238722,-0.4016744,-0.3806662,0.0210082
17,0.4393395,0.4670751,"('nasty', 'nice')",-0.23376384,-0.19085257,-0.7468309,-0.804091,-0.1804184,-0.1759561,0.0044623
18,-0.39809892,-0.33971027,"('disagreeable', 'welcoming')",-0.78802645,-0.7624558,-1.013499,-1.0364666,-0.7332082,-0.7128776,0.0203306
