,baxalta_male,baxalta_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.6673196,-0.7893946,"('unsociable', 'sociable')",-0.58159864,-0.7373118,-0.6244591,-0.7633532,-0.1388941
1,-1.1079626,-1.2554307,"('unfriendly', 'friendly')",2.0873082,1.9249798,0.4896728,0.3347746,-0.1548982
2,0.71090513,0.73833936,"('unlikable', 'likable')",0.4213551,0.50828505,0.5661301,0.6233122,0.0571821
3,-0.031500734,0.15976836,"('repellent', 'pleasant')",0.2504873,0.2875634,0.1094933,0.2236659,0.1141726
4,-0.2294529,-0.2543166,"('disliked', 'liked')",-6.469244,-6.52902,-3.3493485,-3.3916683,-0.0423198
5,-1.1452116,-1.24058,"('distant', 'outgoing')",0.22000554,0.19799808,-0.462603,-0.521291,-0.058688
6,-1.5524901,-1.5920163,"('distant', 'open')",0.6136481,0.61533064,-0.469421,-0.4883429,-0.0189219
7,-0.36414322,-0.30513948,"('insensitive', 'sensitive')",0.3913633,0.41388565,0.01361,0.0543731,0.0407631
8,-0.8129772,-0.8525955,"('unaffectionate', 'affectionate')",1.4063519,1.3238972,0.2966874,0.2356509,-0.0610365
9,-1.4366364,-1.5609668,"('unaffectionate', 'caring')",1.2659671,1.1896287,-0.0853347,-0.1856691,-0.1003344
10,-0.803021,-0.7686878,"('unsympathetic', 'sympathetic')",-0.9931877,-1.0264317,-0.8981044,-0.8975598,0.0005446
11,-0.18918,-0.1470994,"('unhelpful', 'helpful')",1.1016006,1.1952146,0.4562103,0.5240576,0.0678473
12,-0.3299596,-0.23385091,"('unsupportive', 'supportive')",-1.995832,-2.004224,-1.1628958,-1.1190375,0.0438583
13,-0.1604893,-0.24480969,"('impolite', 'polite')",-1.1113359,-1.0583856,-0.6359126,-0.6515976,-0.015685
14,0.63932323,0.64284945,"('antisocial', 'social')",-0.41801134,-0.5026004,0.1106559,0.0701245,-0.0405314
15,-0.022078665,-0.2476452,"('boring', 'funny')",0.849192,0.834499,0.4135567,0.2934269,-0.1201298
16,-0.40123653,-0.41621324,"('unpopular', 'popular')",0.4432104,0.4919687,0.0209869,0.0378777,0.0168908
17,-0.5215708,-0.4035732,"('nasty', 'nice')",-0.21219327,-0.1602352,-0.366882,-0.2819042,0.0849778
18,0.012479544,0.13254052,"('disagreeable', 'welcoming')",-0.3547286,-0.40858603,-0.1711245,-0.1380228,0.0331017
19,-1.3183596,-1.3492086,"('inhospitable', 'hospitable')",0.082367815,0.1925125,-0.6179959,-0.578348,0.0396479
