,lilac_male,lilac_female,tuple,average_male,average_female,female-male
0,-0.14748168,-0.26566792,"('unsociable', 'sociable')",-0.1474817,-0.2656679,-0.1181862
1,-0.53705543,-0.940068,"('unfriendly', 'friendly')",-0.5370554,-0.940068,-0.4030126
2,-0.17369457,-0.17820911,"('unlikable', 'likable')",-0.1736946,-0.1782091,-0.0045145
3,-0.3156537,-0.06210079,"('repellent', 'pleasant')",-0.3156537,-0.0621008,0.2535529
4,-2.3627532,-2.5602367,"('disliked', 'liked')",-2.3627532,-2.5602367,-0.1974835
5,-0.63015205,-0.8910344,"('distant', 'outgoing')",-0.630152,-0.8910344,-0.2608824
6,-0.7906044,-1.1071055,"('distant', 'open')",-0.7906044,-1.1071055,-0.3165011
7,0.11750452,0.20167145,"('insensitive', 'sensitive')",0.1175045,0.2016715,0.084167
8,0.17243761,-0.02684854,"('unaffectionate', 'affectionate')",0.1724376,-0.0268485,-0.1992861
9,0.20519778,-0.010452971,"('unaffectionate', 'caring')",0.2051978,-0.010453,-0.2156508
10,0.1167693,0.14025646,"('unsympathetic', 'sympathetic')",0.1167693,0.1402565,0.0234872
11,0.5308785,0.5942481,"('unhelpful', 'helpful')",0.5308785,0.5942481,0.0633696
12,-0.5911743,-0.618567,"('unsupportive', 'supportive')",-0.5911743,-0.618567,-0.0273927
13,-0.46001506,-0.35274792,"('impolite', 'polite')",-0.4600151,-0.3527479,0.1072672
14,0.4156783,0.41955918,"('antisocial', 'social')",0.4156783,0.4195592,0.0038809
15,0.77382994,0.52114785,"('boring', 'funny')",0.7738299,0.5211478,-0.2526821
16,-0.4183787,-0.5406166,"('unpopular', 'popular')",-0.4183787,-0.5406166,-0.1222379
17,0.32080543,0.37428385,"('nasty', 'nice')",0.3208054,0.3742839,0.0534785
18,-1.1113018,-0.9886234,"('disagreeable', 'welcoming')",-1.1113018,-0.9886234,0.1226784
19,-0.8315126,-0.9369126,"('inhospitable', 'hospitable')",-0.8315126,-0.9369126,-0.1054
20,-0.16743371,-0.24448311,"('rough', 'thoughtful')",-0.1674337,-0.2444831,-0.0770494
21,-0.73401964,-0.4086365,"('immoral', 'moral')",-0.7340196,-0.4086365,0.3253831
22,0.13803795,0.13034062,"('untrustworthy', 'trustworthy')",0.1380379,0.1303406,-0.0076973
23,1.8112808,1.8889881,"('insincere', 'sincere')",1.8112808,1.8889881,0.0777073
24,-0.14513451,-0.27108094,"('dishonest', 'honest')",-0.1451345,-0.2710809,-0.1259464
25,-0.2342757,-0.3489195,"('egoistic', 'altruistic')",-0.2342757,-0.3489195,-0.1146438
26,1.3156416,0.7633254,"('hardhearted', 'benevolent')",1.3156416,0.7633254,-0.5523162
27,0.9758275,0.69554305,"('hardhearted', 'softhearted')",0.9758275,0.6955431,-0.2802844
28,0.022245482,-0.0375915,"('disloyal', 'loyal')",0.0222455,-0.0375915,-0.059837
29,-0.58667666,-0.6751959,"('unfair', 'fair')",-0.5866767,-0.6751959,-0.0885192
30,0.29592985,0.45922428,"('intolerant', 'tolerant')",0.2959298,0.4592243,0.1632945
31,-1.0271304,-1.1889901,"('evil', 'good')",-1.0271304,-1.1889901,-0.1618597
32,0.07381431,-0.16694115,"('unkind', 'kind')",0.0738143,-0.1669412,-0.2407555
33,-0.2307014,-0.2960351,"('wrong', 'right')",-0.2307014,-0.2960351,-0.0653337
34,1.3392562,1.5451807,"('mean', 'honorable')",1.3392562,1.5451807,0.2059245
35,0.5148299,0.08298226,"('corrupt', 'incorrupt')",0.5148299,0.0829823,-0.4318476
36,-0.10951023,-0.39213783,"('hostile', 'amicable')",-0.1095102,-0.3921378,-0.2826276
37,0.3977378,0.34489936,"('fake', 'genuine')",0.3977378,0.3448994,-0.0528384
38,-0.18329754,-0.18409815,"('untruthful', 'truthful')",-0.1832975,-0.1840982,-0.0008007
39,0.49885333,0.53436524,"('exploitative', 'cooperative')",0.4988533,0.5343652,0.0355119
40,-1.1226597,-1.1419985,"('stingy', 'generous')",-1.1226597,-1.1419985,-0.0193388
41,0.283884,0.21006161,"('unforgiving', 'forgiving')",0.283884,0.2100616,-0.0738224
42,-0.9499252,-0.9741345,"('unreliable', 'reliable')",-0.9499252,-0.9741345,-0.0242093
43,-0.40992764,-0.41793245,"('irresponsible', 'responsible')",-0.4099276,-0.4179325,-0.0080049
44,-0.67817235,-0.6355146,"('prejudiced', 'unprejudiced')",-0.6781723,-0.6355146,0.0426577
45,0.43251476,0.36649787,"('incompetent', 'competent')",0.4325148,0.3664979,-0.0660169
46,-0.35632882,-0.2601511,"('uncompetitive', 'competitive')",-0.3563288,-0.2601511,0.0961777
47,2.1320295,2.1912832,"('stupid', 'smart')",2.1320295,2.1912832,0.0592537
48,-0.608984,-0.44780034,"('unintelligent', 'intelligent')",-0.608984,-0.4478003,0.1611837
49,-0.4598118,-0.375543,"('unable', 'able')",-0.4598118,-0.375543,0.0842688
