,deposition_male,deposition_female,tuple,average_male,average_female,female-male
0,0.17062017,0.018070083,"('unsociable', 'sociable')",0.1706202,0.0180701,-0.1525501
1,1.3259557,1.3024487,"('unfriendly', 'friendly')",1.3259557,1.3024487,-0.023507
2,0.56765914,0.752491,"('unlikable', 'likable')",0.5676591,0.752491,0.1848319
3,0.37984502,0.5226468,"('repellent', 'pleasant')",0.379845,0.5226468,0.1428018
4,-7.32055,-7.3562417,"('disliked', 'liked')",-7.32055,-7.3562417,-0.0356917
5,-0.2632244,-0.14907822,"('distant', 'outgoing')",-0.2632244,-0.1490782,0.1141462
6,-0.28971133,-0.14537627,"('distant', 'open')",-0.2897113,-0.1453763,0.144335
7,0.6523531,0.71593684,"('insensitive', 'sensitive')",0.6523531,0.7159368,0.0635837
8,0.99768496,0.9785565,"('unaffectionate', 'affectionate')",0.997685,0.9785565,-0.0191285
9,1.9624057,2.0032237,"('unaffectionate', 'caring')",1.9624057,2.0032237,0.040818
10,0.6689068,0.84502167,"('unsympathetic', 'sympathetic')",0.6689068,0.8450217,0.1761149
11,2.3334234,2.3832974,"('unhelpful', 'helpful')",2.3334234,2.3832974,0.049874
12,-1.2883835,-1.2751163,"('unsupportive', 'supportive')",-1.2883835,-1.2751163,0.0132672
13,0.10587987,0.06955998,"('impolite', 'polite')",0.1058799,0.06956,-0.0363199
14,0.050810315,-0.15052302,"('antisocial', 'social')",0.0508103,-0.150523,-0.2013333
15,0.51534575,0.5301322,"('boring', 'funny')",0.5153458,0.5301322,0.0147864
16,-0.31130815,-0.32868004,"('unpopular', 'popular')",-0.3113081,-0.32868,-0.0173719
17,-0.26771355,-0.31915694,"('nasty', 'nice')",-0.2677135,-0.3191569,-0.0514434
18,-0.53206795,-0.5926635,"('disagreeable', 'welcoming')",-0.532068,-0.5926635,-0.0605955
19,-1.1166391,-0.92702156,"('inhospitable', 'hospitable')",-1.1166391,-0.9270216,0.1896175
20,0.81542027,0.75764436,"('rough', 'thoughtful')",0.8154203,0.7576444,-0.0577759
21,-0.30584493,-0.11815196,"('immoral', 'moral')",-0.3058449,-0.118152,0.1876929
22,-0.59964585,-0.47423816,"('untrustworthy', 'trustworthy')",-0.5996459,-0.4742382,0.1254077
23,6.75006,6.742887,"('insincere', 'sincere')",6.7500601,6.742887,-0.0071731
24,1.6760972,1.794977,"('dishonest', 'honest')",1.6760972,1.7949769,0.1188797
25,0.5617594,0.41902894,"('egoistic', 'altruistic')",0.5617594,0.4190289,-0.1427305
26,0.9297227,0.6786573,"('hardhearted', 'benevolent')",0.9297227,0.6786573,-0.2510654
27,1.2414513,1.1895115,"('hardhearted', 'softhearted')",1.2414513,1.1895115,-0.0519398
28,1.2110828,1.0869505,"('disloyal', 'loyal')",1.2110828,1.0869505,-0.1241323
29,-0.7013849,-0.7690891,"('unfair', 'fair')",-0.7013849,-0.7690891,-0.0677042
30,1.1092391,1.0609081,"('intolerant', 'tolerant')",1.1092391,1.0609081,-0.048331
31,-1.4949485,-1.5076187,"('evil', 'good')",-1.4949485,-1.5076187,-0.0126702
32,1.2984161,1.2561584,"('unkind', 'kind')",1.2984161,1.2561584,-0.0422577
33,-0.08593839,-0.10659007,"('wrong', 'right')",-0.0859384,-0.1065901,-0.0206517
