,formation_male,formation_female,tuple,average_male,average_female,female-male
0,0.28309146,0.106040746,"('unsociable', 'sociable')",0.2830915,0.1060407,-0.1770508
1,0.5349794,0.68082327,"('unfriendly', 'friendly')",0.5349794,0.6808233,0.1458439
2,0.388319,0.55453455,"('unlikable', 'likable')",0.388319,0.5545346,0.1662156
3,0.8086722,0.8778937,"('repellent', 'pleasant')",0.8086722,0.8778937,0.0692215
4,-7.337095,-7.354137,"('disliked', 'liked')",-7.3370948,-7.3541369,-0.0170421
5,-1.3544906,-1.0297568,"('distant', 'outgoing')",-1.3544906,-1.0297568,0.3247338
6,-0.95053715,-0.6969307,"('distant', 'open')",-0.9505371,-0.6969307,0.2536064
7,1.1509409,1.1570773,"('insensitive', 'sensitive')",1.1509409,1.1570773,0.0061364
8,0.8717113,0.9033503,"('unaffectionate', 'affectionate')",0.8717113,0.9033503,0.031639
9,1.3149053,1.3680868,"('unaffectionate', 'caring')",1.3149053,1.3680868,0.0531815
10,1.7223397,1.5532023,"('unsympathetic', 'sympathetic')",1.7223397,1.5532023,-0.1691374
11,2.201461,2.1205347,"('unhelpful', 'helpful')",2.2014611,2.1205347,-0.0809264
12,-1.2407572,-1.2174903,"('unsupportive', 'supportive')",-1.2407572,-1.2174903,0.0232669
13,0.23016028,0.20013803,"('impolite', 'polite')",0.2301603,0.200138,-0.0300223
14,0.56202245,0.42254633,"('antisocial', 'social')",0.5620224,0.4225463,-0.1394761
15,0.15968518,0.19392416,"('boring', 'funny')",0.1596852,0.1939242,0.034239
16,-0.78030485,-0.6354948,"('unpopular', 'popular')",-0.7803048,-0.6354948,0.14481
17,-0.2499319,-0.124456614,"('nasty', 'nice')",-0.2499319,-0.1244566,0.1254753
18,-0.9949331,-0.78129196,"('disagreeable', 'welcoming')",-0.9949331,-0.781292,0.2136411
19,-0.9848294,-0.87033325,"('inhospitable', 'hospitable')",-0.9848294,-0.8703333,0.1144961
20,0.77257067,0.6210627,"('rough', 'thoughtful')",0.7725707,0.6210627,-0.151508
21,0.41703144,0.36754718,"('immoral', 'moral')",0.4170314,0.3675472,-0.0494842
22,0.05876273,0.017415296,"('untrustworthy', 'trustworthy')",0.0587627,0.0174153,-0.0413474
23,6.162981,6.2159843,"('insincere', 'sincere')",6.162981,6.2159843,0.0530033
24,1.4899648,1.4543434,"('dishonest', 'honest')",1.4899648,1.4543434,-0.0356214
