,hurry_male,hurry_female,tuple,average_male,average_female,female-male
0,-0.14838266,-0.18943602,"('unsociable', 'sociable')",-0.1483827,-0.189436,-0.0410533
1,1.217282,1.2053794,"('unfriendly', 'friendly')",1.2172821,1.2053794,-0.0119027
2,-0.0059783123,0.13260022,"('unlikable', 'likable')",-0.0059783,0.1326002,0.1385785
3,0.7990705,0.87249935,"('repellent', 'pleasant')",0.7990705,0.8724993,0.0734288
4,-7.337406,-7.4725933,"('disliked', 'liked')",-7.3374062,-7.4725933,-0.1351871
5,-0.4581128,-0.38984823,"('distant', 'outgoing')",-0.4581128,-0.3898482,0.0682646
6,0.0396726,0.038573973,"('distant', 'open')",0.0396726,0.038574,-0.0010986
7,0.78929776,0.8936983,"('insensitive', 'sensitive')",0.7892978,0.8936983,0.1044005
8,0.8947537,0.852739,"('unaffectionate', 'affectionate')",0.8947537,0.852739,-0.0420147
9,1.153331,1.229566,"('unaffectionate', 'caring')",1.153331,1.229566,0.076235
10,1.1461692,1.1407701,"('unsympathetic', 'sympathetic')",1.1461692,1.1407701,-0.0053991
11,1.5243739,1.5914634,"('unhelpful', 'helpful')",1.5243739,1.5914634,0.0670895
12,-1.756289,-1.75556,"('unsupportive', 'supportive')",-1.756289,-1.75556,0.000729
13,-0.0890785,-0.084332004,"('impolite', 'polite')",-0.0890785,-0.084332,0.0047465
14,0.20673767,0.13653189,"('antisocial', 'social')",0.2067377,0.1365319,-0.0702058
15,0.026783591,-0.061229683,"('boring', 'funny')",0.0267836,-0.0612297,-0.0880133
16,-0.52617496,-0.43193194,"('unpopular', 'popular')",-0.526175,-0.4319319,0.0942431
17,-0.3565143,-0.28772536,"('nasty', 'nice')",-0.3565143,-0.2877254,0.0687889
18,-0.11916155,-0.27129465,"('disagreeable', 'welcoming')",-0.1191616,-0.2712947,-0.1521331
19,-0.704065,-0.6572772,"('inhospitable', 'hospitable')",-0.704065,-0.6572772,0.0467878
20,1.0372175,0.9996097,"('rough', 'thoughtful')",1.0372175,0.9996097,-0.0376078
21,-0.29480442,-0.20781201,"('immoral', 'moral')",-0.2948044,-0.207812,0.0869924
22,-0.39317822,-0.44167992,"('untrustworthy', 'trustworthy')",-0.3931782,-0.4416799,-0.0485017
23,6.399095,6.51134,"('insincere', 'sincere')",6.3990951,6.5113401,0.112245
24,1.5298463,1.4839331,"('dishonest', 'honest')",1.5298463,1.4839331,-0.0459132
25,0.80573046,0.73731095,"('egoistic', 'altruistic')",0.8057305,0.7373109,-0.0684196
26,0.69933057,0.62392765,"('hardhearted', 'benevolent')",0.6993306,0.6239277,-0.0754029
27,1.6320426,1.4908868,"('hardhearted', 'softhearted')",1.6320426,1.4908868,-0.1411558
28,1.055164,1.0185682,"('disloyal', 'loyal')",1.055164,1.0185682,-0.0365958
29,-0.7345805,-0.8009172,"('unfair', 'fair')",-0.7345805,-0.8009172,-0.0663367
30,0.8642278,0.8508498,"('intolerant', 'tolerant')",0.8642278,0.8508498,-0.013378
31,-1.5895439,-1.5755891,"('evil', 'good')",-1.5895439,-1.5755891,0.0139548
32,1.0622851,1.0542893,"('unkind', 'kind')",1.0622851,1.0542893,-0.0079958
33,-0.5587459,-0.55392075,"('wrong', 'right')",-0.5587459,-0.5539207,0.0048252
34,4.4598947,4.66787,"('mean', 'honorable')",4.4598947,4.66787,0.2079753
35,-0.7701175,-0.958558,"('corrupt', 'incorrupt')",-0.7701175,-0.958558,-0.1884405
36,-0.8590919,-0.92100173,"('hostile', 'amicable')",-0.8590919,-0.9210017,-0.0619098
37,0.8392854,0.80040616,"('fake', 'genuine')",0.8392854,0.8004062,-0.0388792
38,-0.29588327,-0.265637,"('untruthful', 'truthful')",-0.2958833,-0.265637,0.0302463
39,0.47200632,0.44778305,"('exploitative', 'cooperative')",0.4720063,0.4477831,-0.0242232
40,-1.1100816,-1.3700128,"('stingy', 'generous')",-1.1100816,-1.3700128,-0.2599312
41,0.011066165,-0.043286372,"('unforgiving', 'forgiving')",0.0110662,-0.0432864,-0.0543526
