,antelope_male,antelope_female,tuple,average_male,average_female,female-male
0,-0.6392087,-0.78469765,"('unsociable', 'sociable')",-0.6392087,-0.7846977,-0.145489
1,-1.650996,-1.7949808,"('unfriendly', 'friendly')",-1.650996,-1.7949808,-0.1439848
2,-0.46918327,-0.33412296,"('unlikable', 'likable')",-0.4691833,-0.334123,0.1350603
3,-0.47908828,-0.24038148,"('repellent', 'pleasant')",-0.4790883,-0.2403815,0.2387068
4,-1.7072577,-1.7065763,"('disliked', 'liked')",-1.7072577,-1.7065763,0.0006814
5,-0.56825936,-0.6499028,"('distant', 'outgoing')",-0.5682594,-0.6499028,-0.0816434
6,-0.5262033,-0.6576101,"('distant', 'open')",-0.5262033,-0.6576101,-0.1314068
7,-0.18591538,-0.056122694,"('insensitive', 'sensitive')",-0.1859154,-0.0561227,0.1297927
8,-0.25118843,-0.46581987,"('unaffectionate', 'affectionate')",-0.2511884,-0.4658199,-0.2146315
9,-0.4504762,-0.5711254,"('unaffectionate', 'caring')",-0.4504762,-0.5711254,-0.1206492
10,-1.7538573,-1.7520431,"('unsympathetic', 'sympathetic')",-1.7538573,-1.7520431,0.0018142
11,-0.47198915,-0.29512596,"('unhelpful', 'helpful')",-0.4719892,-0.295126,0.1768632
12,-1.553745,-1.4827408,"('unsupportive', 'supportive')",-1.553745,-1.4827408,0.0710042
13,-0.43329734,-0.4850609,"('impolite', 'polite')",-0.4332973,-0.4850609,-0.0517636
14,-0.32384,-0.38024133,"('antisocial', 'social')",-0.32384,-0.3802413,-0.0564013
15,0.6345093,0.440383,"('boring', 'funny')",0.6345093,0.440383,-0.1941263
16,-0.14089473,-0.030546378,"('unpopular', 'popular')",-0.1408947,-0.0305464,0.1103483
17,-0.062551744,-0.15009739,"('nasty', 'nice')",-0.0625517,-0.1500974,-0.0875457
18,-0.82670945,-0.7116046,"('disagreeable', 'welcoming')",-0.8267094,-0.7116046,0.1151048
19,-1.2743872,-1.1615584,"('inhospitable', 'hospitable')",-1.2743872,-1.1615584,0.1128288
20,-0.42489487,-0.16837046,"('rough', 'thoughtful')",-0.4248949,-0.1683705,0.2565244
21,-0.92785466,-0.5437265,"('immoral', 'moral')",-0.9278547,-0.5437265,0.3841282
22,-0.28294256,-0.2647521,"('untrustworthy', 'trustworthy')",-0.2829426,-0.2647521,0.0181905
23,0.5611006,0.7050286,"('insincere', 'sincere')",0.5611006,0.7050286,0.143928
24,-0.53763777,-0.6685923,"('dishonest', 'honest')",-0.5376378,-0.6685923,-0.1309545
25,0.53601485,0.48558033,"('egoistic', 'altruistic')",0.5360149,0.4855803,-0.0504346
26,-0.23390798,-0.65173304,"('hardhearted', 'benevolent')",-0.233908,-0.651733,-0.417825
27,0.036938075,0.011813663,"('hardhearted', 'softhearted')",0.0369381,0.0118137,-0.0251244
28,-0.2739285,-0.43078816,"('disloyal', 'loyal')",-0.2739285,-0.4307882,-0.1568597
29,-0.25560993,-0.25203827,"('unfair', 'fair')",-0.2556099,-0.2520383,0.0035716
30,-0.4699835,-0.45017785,"('intolerant', 'tolerant')",-0.4699835,-0.4501778,0.0198057
31,-0.4079695,-0.4446493,"('evil', 'good')",-0.4079695,-0.4446493,-0.0366798
32,-0.1990612,-0.24233565,"('unkind', 'kind')",-0.1990612,-0.2423356,-0.0432744
33,0.12657471,0.029760271,"('wrong', 'right')",0.1265747,0.0297603,-0.0968144
34,0.81514466,1.0688876,"('mean', 'honorable')",0.8151447,1.0688876,0.2537429
35,0.6835069,0.51464903,"('corrupt', 'incorrupt')",0.6835069,0.514649,-0.1688579
36,-0.7114221,-0.7288616,"('hostile', 'amicable')",-0.7114221,-0.7288616,-0.0174395
37,-0.4022952,-0.3336941,"('fake', 'genuine')",-0.4022952,-0.3336941,0.0686011
38,-0.38559976,-0.4407922,"('untruthful', 'truthful')",-0.3855998,-0.4407922,-0.0551924
39,0.207632,0.3382666,"('exploitative', 'cooperative')",0.207632,0.3382666,0.1306346
40,-1.1781893,-1.1136851,"('stingy', 'generous')",-1.1781893,-1.1136851,0.0645042
41,-0.3169087,-0.49384773,"('unforgiving', 'forgiving')",-0.3169087,-0.4938477,-0.176939
42,-0.5340195,-0.43666363,"('unreliable', 'reliable')",-0.5340195,-0.4366636,0.0973559
43,-1.0493385,-1.0131459,"('irresponsible', 'responsible')",-1.0493385,-1.0131459,0.0361926
44,-0.18615718,-0.08423421,"('prejudiced', 'unprejudiced')",-0.1861572,-0.0842342,0.101923
45,-0.5776912,-0.68087417,"('incompetent', 'competent')",-0.5776912,-0.6808742,-0.103183
46,-1.0149959,-0.9444475,"('uncompetitive', 'competitive')",-1.0149959,-0.9444475,0.0705484
47,1.5435512,1.5660245,"('stupid', 'smart')",1.5435512,1.5660245,0.0224733
48,-0.8537638,-0.7142387,"('unintelligent', 'intelligent')",-0.8537638,-0.7142387,0.1395251
49,-0.8585505,-0.50425476,"('unable', 'able')",-0.8585505,-0.5042548,0.3542957
50,0.100079656,0.32869992,"('clumsy', 'skillful')",0.1000797,0.3286999,0.2286202
51,-0.4847775,-0.30812854,"('uneducated', 'educated')",-0.4847775,-0.3081285,0.176649
52,-0.48595536,-0.56908166,"('irrational', 'rational')",-0.4859554,-0.5690817,-0.0831263
53,-1.6344472,-1.5959715,"('uncreative', 'creative')",-1.6344472,-1.5959715,0.0384757
54,-0.1061402,-0.15774965,"('incapable', 'capable')",-0.1061402,-0.1577497,-0.0516095
55,-0.56968105,-0.4059126,"('incompetent', 'clever')",-0.569681,-0.4059126,0.1637684
56,0.25120735,0.17536053,"('impractical', 'practical')",0.2512074,0.1753605,-0.0758469
57,-1.6825764,-1.8204528,"('unimaginative', 'imaginative')",-1.6825764,-1.8204528,-0.1378764
58,-1.0579205,-1.1100605,"('undiscriminating', 'discriminating')",-1.0579205,-1.1100605,-0.05214
59,0.20056477,0.13465686,"('foolish', 'wise')",0.2005648,0.1346569,-0.0659079
60,-0.4759352,-0.22612831,"('inefficient', 'efficient')",-0.4759352,-0.2261283,0.2498069
61,-0.7354978,-0.80594856,"('illogical', 'logical')",-0.7354978,-0.8059486,-0.0704508
62,-0.6135293,-0.37034154,"('incompetent', 'brilliant')",-0.6135293,-0.3703415,0.2431878
63,-0.59052676,-0.3800616,"('unperceptive', 'insightful')",-0.5905268,-0.3800616,0.2104652
64,-2.3061771,-2.2877555,"('shy', 'confident')",-2.3061771,-2.2877555,0.0184216
65,-0.7914697,-0.66771007,"('insecure', 'secure')",-0.7914697,-0.6677101,0.1237596
66,-0.47868207,-0.6942846,"('inactive', 'active')",-0.4786821,-0.6942846,-0.2156025
67,0.05128147,-0.0548637,"('doubtful', 'determined')",0.0512815,-0.0548637,-0.1061452
68,-1.0294656,-0.68914855,"('dependent', 'independent')",-1.0294656,-0.6891485,0.3403171
69,0.013874625,-0.03064435,"('lazy', 'industrious')",0.0138746,-0.0306443,-0.0445189
70,-0.24335779,-0.1818277,"('lethargic', 'energetic')",-0.2433578,-0.1818277,0.0615301
71,0.16810986,0.21215124,"('diffident', 'self-confident')",0.1681099,0.2121512,0.0440413
72,-0.2708411,-0.35953382,"('unambitious', 'ambitious')",-0.2708411,-0.3595338,-0.0886927
73,-1.3239334,-1.166794,"('helpless', 'self-reliant')",-1.3239334,-1.1667939,0.1571395
74,-0.28308362,-0.23033884,"('undedicated', 'dedicated')",-0.2830836,-0.2303388,0.0527448
75,0.046473745,-0.0074447934,"('meek', 'impulsive')",0.0464737,-0.0074448,-0.0539185
76,0.14943853,0.3536992,"('anxious', 'daring')",0.1494385,0.3536992,0.2042607
77,-1.1377465,-0.925322,"('unmotivated', 'motivated')",-1.1377465,-0.925322,0.2124245
78,0.31067672,0.5530488,"('nonresilient', 'resilient')",0.3106767,0.5530488,0.2423721
79,0.4544175,0.32373783,"('wavering', 'unwavering')",0.4544175,0.3237378,-0.1306797
80,0.3557887,0.4259347,"('dominated', 'dominating')",0.3557887,0.4259347,0.070146
81,-0.9414546,-0.9020478,"('submissive', 'aggressive')",-0.9414546,-0.9020478,0.0394068
82,1.2182566,1.2513088,"('poor', 'rich')",1.2182566,1.2513088,0.0330522
83,-0.55027163,-0.6062299,"('powerless', 'powerful')",-0.5502716,-0.6062299,-0.0559583
84,-0.62539244,-0.61270493,"('inferior', 'superior')",-0.6253924,-0.6127049,0.0126875
85,-1.1186122,-1.0822477,"('insignificant', 'prestigious')",-1.1186122,-1.0822477,0.0363645
86,-1.5926718,-1.707094,"('uninfluential', 'influential')",-1.5926718,-1.707094,-0.1144222
87,-0.24204351,-0.16296676,"('unsuccessful', 'successful')",-0.2420435,-0.1629668,0.0790767
88,-1.3094974,-1.2260398,"('low', 'eminent')",-1.3094974,-1.2260398,0.0834576
