,saxophone_male,saxophone_female,tuple,average_male,average_female,female-male
0,-0.32059273,-0.34771472,"('unsociable', 'sociable')",-0.3205927,-0.3477147,-0.027122
1,1.5240343,1.2733718,"('unfriendly', 'friendly')",1.5240343,1.2733718,-0.2506625
2,0.10268621,0.27224004,"('unlikable', 'likable')",0.1026862,0.27224,0.1695538
3,0.33428332,0.80523634,"('repellent', 'pleasant')",0.3342833,0.8052363,0.470953
4,-7.340643,-7.3396726,"('disliked', 'liked')",-7.3406429,-7.3396726,0.0009703
5,-0.17948547,-0.2868083,"('distant', 'outgoing')",-0.1794855,-0.2868083,-0.1073228
6,0.24084286,0.12634628,"('distant', 'open')",0.2408429,0.1263463,-0.1144966
7,0.46631318,0.7290562,"('insensitive', 'sensitive')",0.4663132,0.7290562,0.262743
8,1.5505762,1.2338039,"('unaffectionate', 'affectionate')",1.5505762,1.2338039,-0.3167723
9,1.8641394,1.6562742,"('unaffectionate', 'caring')",1.8641394,1.6562742,-0.2078652
10,0.5526351,0.8581834,"('unsympathetic', 'sympathetic')",0.5526351,0.8581834,0.3055483
11,1.3876569,1.3634055,"('unhelpful', 'helpful')",1.3876569,1.3634055,-0.0242514
12,-1.6118501,-1.6218485,"('unsupportive', 'supportive')",-1.6118501,-1.6218485,-0.0099984
13,-0.19480953,-0.15115073,"('impolite', 'polite')",-0.1948095,-0.1511507,0.0436588
14,-0.47712725,-0.4272184,"('antisocial', 'social')",-0.4771273,-0.4272184,0.0499089
15,0.332148,0.21640503,"('boring', 'funny')",0.332148,0.216405,-0.115743
16,-0.27119333,-0.30276942,"('unpopular', 'popular')",-0.2711933,-0.3027694,-0.0315761
17,-0.063298315,-0.09060805,"('nasty', 'nice')",-0.0632983,-0.0906081,-0.0273098
18,-0.61864966,-0.4659484,"('disagreeable', 'welcoming')",-0.6186497,-0.4659484,0.1527013
19,-0.4371524,-0.614371,"('inhospitable', 'hospitable')",-0.4371524,-0.614371,-0.1772186
20,0.9417923,0.97601825,"('rough', 'thoughtful')",0.9417923,0.9760182,0.0342259
21,-0.6483026,-0.2544742,"('immoral', 'moral')",-0.6483026,-0.2544742,0.3938284
22,-0.9133997,-0.6528933,"('untrustworthy', 'trustworthy')",-0.9133997,-0.6528933,0.2605064
23,5.9469843,5.8704658,"('insincere', 'sincere')",5.9469843,5.8704658,-0.0765185
24,0.8907825,0.9536359,"('dishonest', 'honest')",0.8907825,0.9536359,0.0628534
25,0.92824835,0.80348474,"('egoistic', 'altruistic')",0.9282483,0.8034847,-0.1247636
26,1.2497666,0.7300091,"('hardhearted', 'benevolent')",1.2497666,0.7300091,-0.5197575
27,1.439116,1.440732,"('hardhearted', 'softhearted')",1.439116,1.440732,0.001616
28,0.87549955,0.7925785,"('disloyal', 'loyal')",0.8754995,0.7925785,-0.082921
29,-0.6788515,-0.65044045,"('unfair', 'fair')",-0.6788515,-0.6504405,0.028411
30,0.79485977,0.7872257,"('intolerant', 'tolerant')",0.7948598,0.7872257,-0.0076341
31,-1.0966264,-1.1499219,"('evil', 'good')",-1.0966264,-1.1499219,-0.0532955
32,1.0965606,0.9183226,"('unkind', 'kind')",1.0965606,0.9183226,-0.178238
33,-0.1481877,-0.36788753,"('wrong', 'right')",-0.1481877,-0.3678875,-0.2196998
34,4.3405123,4.279399,"('mean', 'honorable')",4.3405123,4.2793989,-0.0611134
35,-0.42535076,-0.91340005,"('corrupt', 'incorrupt')",-0.4253508,-0.9134001,-0.4880493
36,-0.33615142,-0.65143645,"('hostile', 'amicable')",-0.3361514,-0.6514364,-0.315285
37,0.9041478,0.99032587,"('fake', 'genuine')",0.9041478,0.9903259,0.0861781
38,-0.32697797,-0.54183865,"('untruthful', 'truthful')",-0.326978,-0.5418386,-0.2148606
39,0.33675128,0.23991488,"('exploitative', 'cooperative')",0.3367513,0.2399149,-0.0968364
40,-1.8625767,-1.6161275,"('stingy', 'generous')",-1.8625767,-1.6161275,0.2464492
41,0.043431967,-0.006174106,"('unforgiving', 'forgiving')",0.043432,-0.0061741,-0.0496061
42,-2.602888,-2.0268822,"('unreliable', 'reliable')",-2.6028881,-2.0268822,0.5760059
43,0.7463228,0.91690147,"('irresponsible', 'responsible')",0.7463228,0.9169015,0.1705787
44,-1.495572,-1.0547316,"('prejudiced', 'unprejudiced')",-1.495572,-1.0547316,0.4408404
45,-0.34948793,-0.3289049,"('incompetent', 'competent')",-0.3494879,-0.3289049,0.020583
46,-1.303408,-0.9224314,"('uncompetitive', 'competitive')",-1.303408,-0.9224314,0.3809766
47,4.841234,4.763962,"('stupid', 'smart')",4.8412342,4.7639618,-0.0772724
48,0.2583031,0.21322103,"('unintelligent', 'intelligent')",0.2583031,0.213221,-0.0450821
49,-0.1927285,-0.005669497,"('unable', 'able')",-0.1927285,-0.0056695,0.187059
50,-0.16407475,-0.16317996,"('clumsy', 'skillful')",-0.1640747,-0.16318,0.0008947
51,-0.36152118,-0.20971972,"('uneducated', 'educated')",-0.3615212,-0.2097197,0.1518015
52,-0.1758224,-0.35310206,"('irrational', 'rational')",-0.1758224,-0.3531021,-0.1772797
53,0.4576712,0.30398238,"('uncreative', 'creative')",0.4576712,0.3039824,-0.1536888
54,0.96852124,1.034241,"('incapable', 'capable')",0.9685212,1.034241,0.0657198
55,0.3872872,0.6342027,"('incompetent', 'clever')",0.3872872,0.6342027,0.2469155
56,0.33193558,0.31361634,"('impractical', 'practical')",0.3319356,0.3136163,-0.0183193
57,-3.0566006,-2.6416519,"('unimaginative', 'imaginative')",-3.0566006,-2.6416519,0.4149487
58,0.316223,0.29280686,"('undiscriminating', 'discriminating')",0.316223,0.2928069,-0.0234161
59,0.014390704,-0.0060118586,"('foolish', 'wise')",0.0143907,-0.0060119,-0.0204026
60,0.17964897,0.43942383,"('inefficient', 'efficient')",0.179649,0.4394238,0.2597748
61,0.033691205,-0.025392115,"('illogical', 'logical')",0.0336912,-0.0253921,-0.0590833
62,0.13184829,0.43215197,"('incompetent', 'brilliant')",0.1318483,0.432152,0.3003037
63,-0.10742462,-0.020304218,"('unperceptive', 'insightful')",-0.1074246,-0.0203042,0.0871204
64,-6.475698,-6.1842504,"('shy', 'confident')",-6.475698,-6.1842504,0.2914476
65,0.13024758,0.46689537,"('insecure', 'secure')",0.1302476,0.4668954,0.3366478
66,0.03599739,-0.049296357,"('inactive', 'active')",0.0359974,-0.0492964,-0.0852938
67,-0.27287933,-0.3470176,"('doubtful', 'determined')",-0.2728793,-0.3470176,-0.0741383
68,-1.1524979,-0.7723567,"('dependent', 'independent')",-1.1524979,-0.7723567,0.3801412
69,-1.5072763,-1.7541018,"('lazy', 'industrious')",-1.5072763,-1.7541018,-0.2468255
70,0.5478732,1.0315727,"('lethargic', 'energetic')",0.5478732,1.0315727,0.4836995
71,0.9099103,0.6336984,"('diffident', 'self-confident')",0.9099103,0.6336984,-0.2762119
72,0.6590533,0.95119095,"('unambitious', 'ambitious')",0.6590533,0.9511909,0.2921376
73,-2.9593751,-2.7029414,"('helpless', 'self-reliant')",-2.9593751,-2.7029414,0.2564337
74,-0.16191477,-0.19434968,"('undedicated', 'dedicated')",-0.1619148,-0.1943497,-0.0324349
75,-0.92659193,-0.6672157,"('meek', 'impulsive')",-0.9265919,-0.6672157,0.2593762
76,0.2980396,0.63606167,"('anxious', 'daring')",0.2980396,0.6360617,0.3380221
77,-1.4088341,-1.3013806,"('unmotivated', 'motivated')",-1.4088341,-1.3013806,0.1074535
78,-0.55435306,-0.70956993,"('nonresilient', 'resilient')",-0.5543531,-0.7095699,-0.1552168
79,-0.41550273,-0.5075902,"('wavering', 'unwavering')",-0.4155027,-0.5075902,-0.0920875
80,-0.72809637,-0.5360756,"('dominated', 'dominating')",-0.7280964,-0.5360756,0.1920208
81,-0.7584591,-0.24010453,"('submissive', 'aggressive')",-0.7584591,-0.2401045,0.5183546
82,5.9988775,6.276298,"('poor', 'rich')",5.9988775,6.276298,0.2774205
83,-0.34255376,-0.40949178,"('powerless', 'powerful')",-0.3425538,-0.4094918,-0.066938
84,0.34285396,0.45367292,"('inferior', 'superior')",0.342854,0.4536729,0.1108189
85,0.02837371,-0.5619574,"('insignificant', 'prestigious')",0.0283737,-0.5619574,-0.5903311
86,0.18051168,0.13794105,"('uninfluential', 'influential')",0.1805117,0.137941,-0.0425707
87,-0.43665758,-0.39213395,"('unsuccessful', 'successful')",-0.4366576,-0.392134,0.0445236
88,-0.12169458,-0.06602349,"('low', 'eminent')",-0.1216946,-0.0660235,0.0556711
