,cyclamen_male,cyclamen_female,tuple,average_male,average_female,female-male
0,-0.21930322,-0.40955076,"('unsociable', 'sociable')",-0.2193032,-0.4095508,-0.1902476
1,-0.32950798,-0.60604274,"('unfriendly', 'friendly')",-0.329508,-0.6060427,-0.2765347
2,0.81105906,0.7003908,"('unlikable', 'likable')",0.8110591,0.7003908,-0.1106683
3,-0.009177087,0.16068123,"('repellent', 'pleasant')",-0.0091771,0.1606812,0.1698583
4,-2.6053433,-2.6707866,"('disliked', 'liked')",-2.6053433,-2.6707866,-0.0654433
5,-1.0095186,-1.0976549,"('distant', 'outgoing')",-1.0095186,-1.0976549,-0.0881363
6,-1.0807042,-1.172812,"('distant', 'open')",-1.0807042,-1.172812,-0.0921078
7,-0.58455336,-0.49752748,"('insensitive', 'sensitive')",-0.5845534,-0.4975275,0.0870259
8,-0.4313321,-0.5393077,"('unaffectionate', 'affectionate')",-0.4313321,-0.5393077,-0.1079756
9,-0.67792726,-0.7853906,"('unaffectionate', 'caring')",-0.6779273,-0.7853906,-0.1074633
10,-1.0536294,-1.024116,"('unsympathetic', 'sympathetic')",-1.0536294,-1.024116,0.0295134
11,0.101828344,0.16584519,"('unhelpful', 'helpful')",0.1018283,0.1658452,0.0640169
12,-1.3792138,-1.3466265,"('unsupportive', 'supportive')",-1.3792138,-1.3466265,0.0325873
13,-0.8907202,-0.916795,"('impolite', 'polite')",-0.8907202,-0.916795,-0.0260748
14,0.5007256,0.46181405,"('antisocial', 'social')",0.5007256,0.461814,-0.0389116
15,0.06322025,-0.11097863,"('boring', 'funny')",0.0632202,-0.1109786,-0.1741988
16,-0.12579475,-0.09912213,"('unpopular', 'popular')",-0.1257948,-0.0991221,0.0266727
17,-0.43646556,-0.3784252,"('nasty', 'nice')",-0.4364656,-0.3784252,0.0580404
18,-0.06943743,-0.08086626,"('disagreeable', 'welcoming')",-0.0694374,-0.0808663,-0.0114289
19,-1.5354991,-1.5594333,"('inhospitable', 'hospitable')",-1.5354991,-1.5594333,-0.0239342
20,0.23991904,0.27700636,"('rough', 'thoughtful')",0.239919,0.2770064,0.0370874
21,0.030474937,0.059795648,"('immoral', 'moral')",0.0304749,0.0597956,0.0293207
22,-0.093486056,-0.14114901,"('untrustworthy', 'trustworthy')",-0.0934861,-0.141149,-0.0476629
23,1.2923712,1.3001766,"('insincere', 'sincere')",1.2923712,1.3001766,0.0078054
24,-0.22203392,-0.34627536,"('dishonest', 'honest')",-0.2220339,-0.3462754,-0.1242415
25,-0.17924924,-0.29429123,"('egoistic', 'altruistic')",-0.1792492,-0.2942912,-0.115042
26,0.77286524,0.43166885,"('hardhearted', 'benevolent')",0.7728652,0.4316688,-0.3411964
27,0.32581386,0.285133,"('hardhearted', 'softhearted')",0.3258139,0.285133,-0.0406809
28,-0.22219932,-0.367395,"('disloyal', 'loyal')",-0.2221993,-0.367395,-0.1451957
29,-0.35043183,-0.41252264,"('unfair', 'fair')",-0.3504318,-0.4125226,-0.0620908
30,0.51923496,0.43484,"('intolerant', 'tolerant')",0.519235,0.43484,-0.084395
31,-0.6508553,-0.6686356,"('evil', 'good')",-0.6508553,-0.6686356,-0.0177803
32,0.3425726,0.14610255,"('unkind', 'kind')",0.3425726,0.1461025,-0.1964701
33,-0.19977583,-0.36479846,"('wrong', 'right')",-0.1997758,-0.3647985,-0.1650227
34,1.5445918,1.7343781,"('mean', 'honorable')",1.5445918,1.7343781,0.1897863
35,-0.4103465,-0.6057251,"('corrupt', 'incorrupt')",-0.4103465,-0.6057251,-0.1953786
36,-0.57408935,-0.7887512,"('hostile', 'amicable')",-0.5740893,-0.7887512,-0.2146619
37,-0.22963284,-0.24153458,"('fake', 'genuine')",-0.2296328,-0.2415346,-0.0119018
38,-0.5691883,-0.62971187,"('untruthful', 'truthful')",-0.5691883,-0.6297119,-0.0605236
39,0.8193526,0.897236,"('exploitative', 'cooperative')",0.8193526,0.897236,0.0778834
40,-0.40548766,-0.5532339,"('stingy', 'generous')",-0.4054877,-0.5532339,-0.1477462
41,0.06378753,-0.0038774088,"('unforgiving', 'forgiving')",0.0637875,-0.0038774,-0.0676649
42,-0.7443188,-0.71809196,"('unreliable', 'reliable')",-0.7443188,-0.718092,0.0262268
43,-0.16595952,-0.11637063,"('irresponsible', 'responsible')",-0.1659595,-0.1163706,0.0495889
44,0.123024,0.21942186,"('prejudiced', 'unprejudiced')",0.123024,0.2194219,0.0963979
45,-0.32429898,-0.35732973,"('incompetent', 'competent')",-0.324299,-0.3573297,-0.0330307
46,-0.3560954,-0.21529739,"('uncompetitive', 'competitive')",-0.3560954,-0.2152974,0.140798
47,1.8872951,1.8858596,"('stupid', 'smart')",1.8872951,1.8858596,-0.0014355
48,0.106329285,0.14934418,"('unintelligent', 'intelligent')",0.1063293,0.1493442,0.0430149
49,-0.2799193,0.037946835,"('unable', 'able')",-0.2799193,0.0379468,0.3178661
50,0.0989768,0.12113992,"('clumsy', 'skillful')",0.0989768,0.1211399,0.0221631
51,-0.45375952,-0.54657966,"('uneducated', 'educated')",-0.4537595,-0.5465797,-0.0928202
52,-0.25578216,-0.5094252,"('irrational', 'rational')",-0.2557822,-0.5094252,-0.253643
53,-1.2511618,-1.3401198,"('uncreative', 'creative')",-1.2511618,-1.3401198,-0.088958
54,-0.4625502,-0.5038571,"('incapable', 'capable')",-0.4625502,-0.5038571,-0.0413069
55,0.38936326,0.51405656,"('incompetent', 'clever')",0.3893633,0.5140566,0.1246933
56,-0.23431402,-0.2678884,"('impractical', 'practical')",-0.234314,-0.2678884,-0.0335744
57,-1.7075903,-1.7382462,"('unimaginative', 'imaginative')",-1.7075903,-1.7382462,-0.0306559
58,0.873527,0.8477168,"('undiscriminating', 'discriminating')",0.873527,0.8477168,-0.0258102
59,0.084916085,-0.017716583,"('foolish', 'wise')",0.0849161,-0.0177166,-0.1026327
60,0.3455517,0.59703165,"('inefficient', 'efficient')",0.3455517,0.5970317,0.25148
61,-0.02920245,-0.15187755,"('illogical', 'logical')",-0.0292025,-0.1518776,-0.1226751
62,0.22252099,0.39394107,"('incompetent', 'brilliant')",0.222521,0.3939411,0.1714201
63,-0.36721572,-0.30629626,"('unperceptive', 'insightful')",-0.3672157,-0.3062963,0.0609194
64,-2.2415423,-2.252543,"('shy', 'confident')",-2.2415423,-2.252543,-0.0110007
65,0.47965944,0.47372788,"('insecure', 'secure')",0.4796594,0.4737279,-0.0059315
66,-0.7688442,-0.88946795,"('inactive', 'active')",-0.7688442,-0.889468,-0.1206238
67,-0.24926512,-0.27279347,"('doubtful', 'determined')",-0.2492651,-0.2727935,-0.0235284
68,0.18758926,0.22193405,"('dependent', 'independent')",0.1875893,0.2219341,0.0343448
69,-0.2164728,-0.3433752,"('lazy', 'industrious')",-0.2164728,-0.3433752,-0.1269024
70,-0.42670283,-0.33308852,"('lethargic', 'energetic')",-0.4267028,-0.3330885,0.0936143
71,-0.36866748,-0.41708165,"('diffident', 'self-confident')",-0.3686675,-0.4170817,-0.0484142
72,0.08514213,0.07600686,"('unambitious', 'ambitious')",0.0851421,0.0760069,-0.0091352
73,-0.31110963,-0.37386742,"('helpless', 'self-reliant')",-0.3111096,-0.3738674,-0.0627578
74,0.221104,0.15533361,"('undedicated', 'dedicated')",0.221104,0.1553336,-0.0657704
75,-0.0674847,-0.07705873,"('meek', 'impulsive')",-0.0674847,-0.0770587,-0.009574
76,0.49628854,0.72029096,"('anxious', 'daring')",0.4962885,0.720291,0.2240025
77,-1.0832691,-0.8973789,"('unmotivated', 'motivated')",-1.0832691,-0.8973789,0.1858902
78,-0.56525093,-0.40967292,"('nonresilient', 'resilient')",-0.5652509,-0.4096729,0.155578
79,-0.9690384,-1.0319391,"('wavering', 'unwavering')",-0.9690384,-1.0319391,-0.0629007
