,mccormick_male,mccormick_female,tuple,&_male,&_female,co_male,co_female,inc_male,inc_female,average_male,average_female,female-male
0,0.403822,0.30521122,"('unsociable', 'sociable')",-0.02141003,-0.16899242,-0.5753715,-0.68442994,-0.58475673,-0.6923661,-0.1944291,-0.3101443,-0.1157152
1,1.3496672,1.2664182,"('unfriendly', 'friendly')",0.5561089,0.50859195,-0.3433283,-0.41705614,2.3818245,2.2642102,0.9860681,0.9055411,-0.080527
2,0.18491052,0.21935329,"('unlikable', 'likable')",0.75876206,0.8329961,0.44243824,0.52820355,0.3730086,0.43798906,0.4397798,0.5046355,0.0648557
3,-1.6221094,-1.5656788,"('repellent', 'pleasant')",-0.9445196,-0.9654841,0.24567854,0.24872698,-0.40817648,-0.35368356,-0.6822817,-0.6590298,0.0232519
4,0.96705216,0.9110294,"('disliked', 'liked')",0.27304906,0.2531738,-0.07798171,-0.14096716,-5.9310284,-6.013644,-1.1922272,-1.247602,-0.0553748
5,2.295076,2.2352614,"('distant', 'outgoing')",1.0066018,1.0217648,1.2252741,1.2058164,0.75591195,0.71751124,1.3207159,1.2950884,-0.0256275
6,2.1487088,2.0911725,"('distant', 'open')",1.1356945,1.1863273,0.72467387,0.6882717,1.1751165,1.1188762,1.2960484,1.2711619,-0.0248865
7,0.19621459,0.21093833,"('insensitive', 'sensitive')",-0.7709755,-0.7922905,-1.4786247,-1.4776405,0.61095566,0.5713791,-0.3606075,-0.3719034,-0.0112959
8,1.4974802,1.4227356,"('unaffectionate', 'affectionate')",0.7201631,0.7427768,-0.16682708,-0.24433133,1.3370743,1.2502065,0.8469726,0.7928469,-0.0541257
9,1.7573266,1.7072587,"('unaffectionate', 'caring')",0.55383587,0.48429272,0.0104291625,-0.06439327,1.9659826,1.886498,1.0718936,1.003414,-0.0684796
10,-1.0433147,-1.0354692,"('unsympathetic', 'sympathetic')",-0.7996336,-0.8905551,-1.6781113,-1.7468996,-0.4524684,-0.5268014,-0.993382,-1.0499313,-0.0565493
11,-1.1946491,-1.2042823,"('unhelpful', 'helpful')",-1.7086896,-1.826717,-1.7106158,-1.7050097,1.7235991,1.7062919,-0.7225889,-0.7574292,-0.0348403
