,technipfmc_male,technipfmc_female,tuple,plc_male,plc_female,average_male,average_female,female-male
0,-0.2526157,-0.26760262,"('unsociable', 'sociable')",-0.2696636,-0.34210995,-0.2611396,-0.3048563,-0.0437167
1,-1.741491,-1.8417733,"('unfriendly', 'friendly')",1.6898041,1.4293516,-0.0258434,-0.2062109,-0.1803675
2,0.60507655,0.60861194,"('unlikable', 'likable')",0.6698406,0.7002934,0.6374586,0.6544527,0.0169941
3,0.15935723,0.20336784,"('repellent', 'pleasant')",-0.2794844,-0.1967728,-0.0600636,0.0032975,0.0633611
4,-0.26387393,-0.31435782,"('disliked', 'liked')",-4.064853,-3.9818523,-2.1643636,-2.1481051,0.0162585
5,-1.3588767,-1.3883305,"('distant', 'outgoing')",0.18309313,0.043523856,-0.5878918,-0.6724033,-0.0845115
6,-1.9007457,-1.9279113,"('distant', 'open')",0.1855777,0.03221339,-0.857584,-0.9478489,-0.0902649
7,0.026104145,0.06671808,"('insensitive', 'sensitive')",0.39225823,0.42255154,0.2091812,0.2446348,0.0354536
8,-2.048557,-2.0971332,"('unaffectionate', 'affectionate')",0.46155965,0.25152123,-0.7934987,-0.922806,-0.1293073
9,-1.7316936,-1.7724396,"('unaffectionate', 'caring')",0.98252255,0.81882447,-0.3745855,-0.4768076,-0.1022221
10,-0.9754339,-0.93970007,"('unsympathetic', 'sympathetic')",-0.44700217,-0.4010962,-0.711218,-0.6703981,0.0408199
11,-0.16409175,-0.14767681,"('unhelpful', 'helpful')",0.9427973,0.89003056,0.3893528,0.3711769,-0.0181759
12,-0.4041299,-0.36250454,"('unsupportive', 'supportive')",-0.95168257,-0.8715621,-0.6779062,-0.6170334,0.0608728
13,-0.07945542,-0.046675403,"('impolite', 'polite')",-0.365628,-0.3266455,-0.2225417,-0.1866605,0.0358812
14,1.2364315,1.2688303,"('antisocial', 'social')",0.79087484,0.92483485,1.0136532,1.0968325,0.0831793
15,0.24437857,0.17643367,"('boring', 'funny')",0.25943947,0.18854336,0.251909,0.1824885,-0.0694205
16,-0.24492106,-0.3006916,"('unpopular', 'popular')",-0.18978232,-0.25037494,-0.2173517,-0.2755333,-0.0581816
