,ross_male,ross_female,tuple,stores_male,stores_female,inc_male,inc_female,average_male,average_female,female-male
0,1.0050135,0.8878562,"('unsociable', 'sociable')",1.4237627,1.6432528,-0.43379852,-0.56777984,0.6649926,0.6544431,-0.0105495
1,0.2563183,0.22174028,"('unfriendly', 'friendly')",0.27268067,0.2638022,2.220262,2.2230363,0.9164203,0.9028596,-0.0135607
2,1.7993249,1.8998727,"('unlikable', 'likable')",0.4418825,0.5077637,0.4448068,0.5476018,0.8953381,0.9850794,0.0897413
3,0.5391843,0.6734164,"('repellent', 'pleasant')",0.4499096,0.8185439,0.2152879,0.32331088,0.4014606,0.6050904,0.2036298
4,-0.65317863,-0.76764715,"('disliked', 'liked')",-0.48079816,-0.5939514,-6.387382,-6.469472,-2.5071197,-2.6103568,-0.1032371
5,-0.32795548,-0.31944394,"('distant', 'outgoing')",-0.4236487,-0.6377417,0.06297325,0.15685531,-0.2295436,-0.2667768,-0.0372332
6,-0.66419405,-0.59585845,"('distant', 'open')",-0.63451916,-0.7969878,0.6126292,0.6940572,-0.2286947,-0.2329297,-0.004235
7,1.2624578,1.256414,"('insensitive', 'sensitive')",0.93174255,1.3520434,1.1148767,1.0689521,1.1030258,1.2258032,0.1227774
8,0.4925474,0.515865,"('unaffectionate', 'affectionate')",-0.06692254,-0.14676115,1.2372661,1.2400163,0.554297,0.5363734,-0.0179236
9,1.303378,1.3431611,"('unaffectionate', 'caring')",0.61266917,0.56705374,1.5032334,1.5273286,1.1397602,1.1458478,0.0060876
10,1.8111244,1.8479291,"('unsympathetic', 'sympathetic')",1.012725,1.5156605,-0.043616466,-0.07056068,0.9267443,1.0976764,0.1709321
11,0.32667577,0.34404427,"('unhelpful', 'helpful')",0.3406441,0.6123811,1.8793764,2.0017292,0.8488987,0.9860516,0.1371529
12,1.8297203,1.9156988,"('unsupportive', 'supportive')",1.2998036,1.6106114,-1.4989661,-1.5087662,0.5435192,0.6725147,0.1289955
13,0.8918484,0.8674691,"('impolite', 'polite')",1.5729843,1.7525407,-0.16798879,-0.27002048,0.7656147,0.7833298,0.0177151
14,1.1210195,1.0776418,"('antisocial', 'social')",1.28762,1.5175767,-0.667182,-0.7245265,0.5804858,0.623564,0.0430782
15,-0.012593858,-0.14305891,"('boring', 'funny')",0.115612455,-0.056400638,0.46944568,0.47328967,0.1908214,0.0912767,-0.0995447
