,centimeter_male,centimeter_female,tuple,average_male,average_female,female-male
0,-0.4692318,-0.6749256,"('unsociable', 'sociable')",-0.4692318,-0.6749256,-0.2056938
1,0.14830622,-0.008016132,"('unfriendly', 'friendly')",0.1483062,-0.0080161,-0.1563223
2,0.038210258,0.07573144,"('unlikable', 'likable')",0.0382103,0.0757314,0.0375211
3,-0.59226316,-0.5284307,"('repellent', 'pleasant')",-0.5922632,-0.5284307,0.0638325
4,-3.4320729,-3.5467002,"('disliked', 'liked')",-3.4320729,-3.5467002,-0.1146273
5,-1.1114446,-1.0827422,"('distant', 'outgoing')",-1.1114446,-1.0827422,0.0287024
6,-1.2547752,-1.2304124,"('distant', 'open')",-1.2547752,-1.2304124,0.0243628
7,0.25230062,0.27728307,"('insensitive', 'sensitive')",0.2523006,0.2772831,0.0249825
8,0.28346503,0.18109845,"('unaffectionate', 'affectionate')",0.283465,0.1810984,-0.1023666
9,0.52765226,0.4619698,"('unaffectionate', 'caring')",0.5276523,0.4619698,-0.0656825
10,-0.424682,-0.41677132,"('unsympathetic', 'sympathetic')",-0.424682,-0.4167713,0.0079107
11,0.9270211,0.98481685,"('unhelpful', 'helpful')",0.9270211,0.9848168,0.0577957
12,-1.2964089,-1.3318079,"('unsupportive', 'supportive')",-1.2964089,-1.3318079,-0.035399
13,-0.40570426,-0.47101155,"('impolite', 'polite')",-0.4057043,-0.4710115,-0.0653072
14,-0.5249943,-0.59683686,"('antisocial', 'social')",-0.5249943,-0.5968369,-0.0718426
15,0.4829653,0.33352324,"('boring', 'funny')",0.4829653,0.3335232,-0.1494421
16,-0.17047188,-0.19990909,"('unpopular', 'popular')",-0.1704719,-0.1999091,-0.0294372
17,-0.046631973,-0.08095781,"('nasty', 'nice')",-0.046632,-0.0809578,-0.0343258
18,-0.51947534,-0.60568094,"('disagreeable', 'welcoming')",-0.5194753,-0.6056809,-0.0862056
19,-1.0804958,-1.1048466,"('inhospitable', 'hospitable')",-1.0804958,-1.1048466,-0.0243508
20,0.8622541,0.9058846,"('rough', 'thoughtful')",0.8622541,0.9058846,0.0436305
