,moderna_male,moderna_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.34289503,0.3900291,"('unsociable', 'sociable')",-0.45957366,-0.5645079,-0.0583393,-0.0872394,-0.0289001
1,-0.8362249,-0.9259323,"('unfriendly', 'friendly')",1.613799,1.3648791,0.388787,0.2194734,-0.1693136
2,0.97006005,1.0056677,"('unlikable', 'likable')",0.7892085,0.8416762,0.8796343,0.923672,0.0440377
3,0.46527994,0.7264349,"('repellent', 'pleasant')",0.45766324,0.645529,0.4614716,0.6859819,0.2245103
4,-0.5408318,-0.55603063,"('disliked', 'liked')",-6.2411485,-6.236587,-3.3909903,-3.3963089,-0.0053186
5,-0.92029935,-1.0173073,"('distant', 'outgoing')",-0.12928075,-0.26072022,-0.52479,-0.6390138,-0.1142238
6,-1.330816,-1.4234046,"('distant', 'open')",0.13255046,-0.037545495,-0.5991328,-0.730475,-0.1313422
7,0.21625742,0.45413223,"('insensitive', 'sensitive')",0.32505494,0.405068,0.2706562,0.4296001,0.1589439
8,-0.85896546,-0.944821,"('unaffectionate', 'affectionate')",0.5393785,0.3576192,-0.1597935,-0.2936009,-0.1338074
9,-0.86592144,-0.9069957,"('unaffectionate', 'caring')",0.8990765,0.7783476,0.0165775,-0.0643241,-0.0809016
10,0.21522954,0.47363925,"('unsympathetic', 'sympathetic')",-0.35486814,-0.35425067,-0.0698193,0.0596943,0.1295136
11,0.24179658,0.30519158,"('unhelpful', 'helpful')",1.9476705,2.004771,1.0947335,1.1549813,0.0602478
12,0.18240607,0.39526948,"('unsupportive', 'supportive')",-1.814684,-1.7442697,-0.816139,-0.6745001,0.1416389
13,0.7495924,0.76535606,"('impolite', 'polite')",-0.3170967,-0.22101891,0.2162479,0.2721686,0.0559207
14,1.8610426,2.0367832,"('antisocial', 'social')",-0.20433587,-0.097682856,0.8283534,0.9695502,0.1411968
15,-0.09049434,-0.25895014,"('boring', 'funny')",0.63832676,0.5540927,0.2739162,0.1475713,-0.1263449
16,-1.5795298,-1.6192404,"('unpopular', 'popular')",0.3909319,0.39393952,-0.594299,-0.6126505,-0.0183515
17,-0.6654795,-0.64127517,"('nasty', 'nice')",-0.10274081,-0.080703706,-0.3841102,-0.3609895,0.0231207
18,-0.15371378,0.013430178,"('disagreeable', 'welcoming')",-0.22590491,-0.20653483,-0.1898094,-0.0965523,0.0932571
19,-1.0032005,-1.0603803,"('inhospitable', 'hospitable')",0.082021296,-0.0006792955,-0.4605896,-0.5305298,-0.0699402
20,0.8568929,0.88708574,"('rough', 'thoughtful')",1.1144547,1.040467,0.9856738,0.9637764,-0.0218974
21,1.2604196,1.3368816,"('immoral', 'moral')",-0.18514605,-0.054368,0.5376368,0.6412568,0.10362
22,0.79555047,0.8981125,"('untrustworthy', 'trustworthy')",-1.0976999,-1.084277,-0.1510747,-0.0930823,0.0579924
23,0.4023227,0.5341366,"('insincere', 'sincere')",5.7126184,5.663019,3.0574706,3.098578,0.0411074
24,0.04429768,0.04120804,"('dishonest', 'honest')",0.9737082,0.9555431,0.5090029,0.4983756,-0.0106273
25,-0.6976826,-0.84861493,"('egoistic', 'altruistic')",1.4835242,1.3802987,0.3929208,0.2658419,-0.1270789
26,0.48376727,0.41267765,"('hardhearted', 'benevolent')",1.7928865,1.6602396,1.1383269,1.0364586,-0.1018683
27,-0.05692123,0.0026277471,"('hardhearted', 'softhearted')",1.387896,1.3079134,0.6654873,0.6552706,-0.0102167
28,-0.44634968,-0.57754636,"('disloyal', 'loyal')",0.74936026,0.5948764,0.1515053,0.008665,-0.1428403
29,0.09638322,-0.016086154,"('unfair', 'fair')",-0.59421486,-0.7946032,-0.2489158,-0.4053447,-0.1564289
30,1.0997778,1.2374699,"('intolerant', 'tolerant')",1.8793482,1.8828112,1.489563,1.5601406,0.0705776
31,-1.9826531,-2.0338023,"('evil', 'good')",-1.3192991,-1.4476002,-1.6509762,-1.7407012,-0.089725
32,0.23035707,0.23613387,"('unkind', 'kind')",1.0456823,0.98417354,0.6380197,0.6101537,-0.027866
33,-0.124238744,-0.2446633,"('wrong', 'right')",-0.47495607,-0.5364323,-0.2995974,-0.3905478,-0.0909504
34,0.32958353,0.44549596,"('mean', 'honorable')",5.8247027,5.8823586,3.0771432,3.1639273,0.0867841
35,-1.5631827,-1.8393795,"('corrupt', 'incorrupt')",-0.3196219,-0.51964056,-0.9414023,-1.1795101,-0.2381078
36,-1.818861,-1.971674,"('hostile', 'amicable')",-0.062866926,-0.26394415,-0.940864,-1.1178091,-0.1769451
37,0.24025331,0.24483651,"('fake', 'genuine')",0.1913774,0.19322489,0.2158154,0.2190307,0.0032153
38,0.30724174,0.297157,"('untruthful', 'truthful')",0.2810249,0.3670027,0.2941333,0.3320798,0.0379465
39,0.55578405,0.61159825,"('exploitative', 'cooperative')",0.19222869,0.2426764,0.3740064,0.4271373,0.0531309
