,celebrity_male,celebrity_female,tuple,average_male,average_female,female-male
0,0.56852525,0.46011627,"('unsociable', 'sociable')",0.5685253,0.4601163,-0.108409
1,0.9113803,0.94371957,"('unfriendly', 'friendly')",0.9113803,0.9437196,0.0323393
2,0.46918613,0.61015266,"('unlikable', 'likable')",0.4691861,0.6101527,0.1409666
3,0.9733634,0.97916174,"('repellent', 'pleasant')",0.9733634,0.9791617,0.0057983
4,-7.523245,-7.5816026,"('disliked', 'liked')",-7.5232449,-7.5816026,-0.0583577
5,-1.0002794,-0.9763438,"('distant', 'outgoing')",-1.0002794,-0.9763438,0.0239356
6,-0.67107546,-0.6825355,"('distant', 'open')",-0.6710755,-0.6825355,-0.01146
7,1.6495452,1.6165764,"('insensitive', 'sensitive')",1.6495452,1.6165764,-0.0329688
8,0.6737211,0.6868741,"('unaffectionate', 'affectionate')",0.6737211,0.6868741,0.013153
9,1.1816926,1.3204544,"('unaffectionate', 'caring')",1.1816926,1.3204544,0.1387618
10,1.9814812,1.8776246,"('unsympathetic', 'sympathetic')",1.9814812,1.8776246,-0.1038566
11,1.9891506,2.050633,"('unhelpful', 'helpful')",1.9891506,2.050633,0.0614824
12,-1.21389,-1.2175483,"('unsupportive', 'supportive')",-1.21389,-1.2175483,-0.0036583
13,0.68481535,0.6530649,"('impolite', 'polite')",0.6848153,0.6530649,-0.0317504
14,0.6151779,0.53717196,"('antisocial', 'social')",0.6151779,0.537172,-0.0780059
15,0.2730144,0.35143483,"('boring', 'funny')",0.2730144,0.3514348,0.0784204
16,-0.98376477,-0.8381382,"('unpopular', 'popular')",-0.9837648,-0.8381382,0.1456266
17,-0.17212093,-0.21827728,"('nasty', 'nice')",-0.1721209,-0.2182773,-0.0461564
18,-0.61268365,-0.63218606,"('disagreeable', 'welcoming')",-0.6126837,-0.6321861,-0.0195024
19,-0.8205984,-0.74158555,"('inhospitable', 'hospitable')",-0.8205984,-0.7415856,0.0790128
20,0.8996698,0.7988481,"('rough', 'thoughtful')",0.8996698,0.7988481,-0.1008217
21,0.70624024,0.7537269,"('immoral', 'moral')",0.7062402,0.7537269,0.0474867
22,0.6565534,0.55763257,"('untrustworthy', 'trustworthy')",0.6565534,0.5576326,-0.0989208
23,6.521652,6.5756955,"('insincere', 'sincere')",6.5216522,6.5756955,0.0540433
24,1.9164473,1.8840945,"('dishonest', 'honest')",1.9164473,1.8840945,-0.0323528
25,-0.27815267,-0.28636417,"('egoistic', 'altruistic')",-0.2781527,-0.2863642,-0.0082115
26,0.25652128,0.25591296,"('hardhearted', 'benevolent')",0.2565213,0.255913,-0.0006083
27,1.7869585,1.6323076,"('hardhearted', 'softhearted')",1.7869585,1.6323076,-0.1546509
28,0.93209237,0.8955792,"('disloyal', 'loyal')",0.9320924,0.8955792,-0.0365132
29,-0.3508661,-0.5258075,"('unfair', 'fair')",-0.3508661,-0.5258075,-0.1749414
30,1.7299105,1.6869017,"('intolerant', 'tolerant')",1.7299105,1.6869017,-0.0430088
31,-1.9802016,-2.0312243,"('evil', 'good')",-1.9802016,-2.0312243,-0.0510227
32,1.4748627,1.4483398,"('unkind', 'kind')",1.4748627,1.4483398,-0.0265229
33,-0.9665945,-0.8826224,"('wrong', 'right')",-0.9665945,-0.8826224,0.0839721
34,4.1944056,4.3665514,"('mean', 'honorable')",4.1944056,4.3665514,0.1721458
35,-1.8696117,-2.0069125,"('corrupt', 'incorrupt')",-1.8696117,-2.0069125,-0.1373008
36,-1.3783393,-1.4901502,"('hostile', 'amicable')",-1.3783393,-1.4901502,-0.1118109
37,0.6554331,0.607224,"('fake', 'genuine')",0.6554331,0.607224,-0.0482091
38,-0.24033532,-0.17260821,"('untruthful', 'truthful')",-0.2403353,-0.1726082,0.0677271
39,0.099428676,0.055687115,"('exploitative', 'cooperative')",0.0994287,0.0556871,-0.0437416
40,-1.1359774,-1.3441852,"('stingy', 'generous')",-1.1359774,-1.3441852,-0.2082078
41,0.42888203,0.30756593,"('unforgiving', 'forgiving')",0.428882,0.3075659,-0.1213161
42,-1.5261959,-1.5770433,"('unreliable', 'reliable')",-1.5261959,-1.5770433,-0.0508474
43,1.9027369,1.9288937,"('irresponsible', 'responsible')",1.9027369,1.9288937,0.0261568
44,-1.055829,-1.1140715,"('prejudiced', 'unprejudiced')",-1.055829,-1.1140715,-0.0582425
45,0.48578444,0.39026177,"('incompetent', 'competent')",0.4857844,0.3902618,-0.0955226
46,0.24141453,0.19020978,"('uncompetitive', 'competitive')",0.2414145,0.1902098,-0.0512047
47,5.5478783,5.6639185,"('stupid', 'smart')",5.5478783,5.6639185,0.1160402
48,1.1752492,1.1401623,"('unintelligent', 'intelligent')",1.1752492,1.1401623,-0.0350869
49,-0.23854133,-0.14494923,"('unable', 'able')",-0.2385413,-0.1449492,0.0935921
50,-0.29767707,-0.22158225,"('clumsy', 'skillful')",-0.2976771,-0.2215822,0.0760949
51,0.8130115,0.75575715,"('uneducated', 'educated')",0.8130115,0.7557572,-0.0572543
52,-1.2010915,-1.2190381,"('irrational', 'rational')",-1.2010915,-1.2190381,-0.0179466
53,0.15040596,0.15364003,"('uncreative', 'creative')",0.150406,0.15364,0.003234
54,0.87644714,1.0006858,"('incapable', 'capable')",0.8764471,1.0006858,0.1242387
55,1.4174362,1.4227703,"('incompetent', 'clever')",1.4174362,1.4227703,0.0053341
56,0.99171764,0.9869173,"('impractical', 'practical')",0.9917176,0.9869173,-0.0048003
57,-2.16049,-2.2644897,"('unimaginative', 'imaginative')",-2.16049,-2.2644897,-0.1039997
58,-0.010426946,-0.0668398,"('undiscriminating', 'discriminating')",-0.0104269,-0.0668398,-0.0564129
