,shape_male,shape_female,tuple,average_male,average_female,female-male
0,0.31305164,0.197982,"('unsociable', 'sociable')",0.3130516,0.197982,-0.1150696
1,1.5479178,1.5210109,"('unfriendly', 'friendly')",1.5479178,1.5210109,-0.0269069
2,0.54338557,0.62384546,"('unlikable', 'likable')",0.5433856,0.6238455,0.0804599
3,1.0247083,1.1947451,"('repellent', 'pleasant')",1.0247083,1.1947451,0.1700368
4,-7.3172417,-7.22037,"('disliked', 'liked')",-7.3172417,-7.2203698,0.0968719
5,-0.20986164,-0.09243035,"('distant', 'outgoing')",-0.2098616,-0.0924304,0.1174312
6,-0.0212961,0.08972422,"('distant', 'open')",-0.0212961,0.0897242,0.1110203
7,1.934408,1.8326029,"('insensitive', 'sensitive')",1.9344079,1.8326029,-0.101805
8,1.1327071,1.095475,"('unaffectionate', 'affectionate')",1.1327071,1.095475,-0.0372321
9,1.6623076,1.7365153,"('unaffectionate', 'caring')",1.6623076,1.7365153,0.0742077
10,1.5790697,1.5276923,"('unsympathetic', 'sympathetic')",1.5790697,1.5276923,-0.0513774
11,2.4996834,2.4815633,"('unhelpful', 'helpful')",2.4996834,2.4815633,-0.0181201
12,-0.5925766,-0.64703083,"('unsupportive', 'supportive')",-0.5925766,-0.6470308,-0.0544542
13,0.41588238,0.30452952,"('impolite', 'polite')",0.4158824,0.3045295,-0.1113529
14,0.18538168,0.06745594,"('antisocial', 'social')",0.1853817,0.0674559,-0.1179258
15,0.38094005,0.3938605,"('boring', 'funny')",0.38094,0.3938605,0.0129205
16,-0.54168594,-0.3945578,"('unpopular', 'popular')",-0.5416859,-0.3945578,0.1471281
17,-0.642416,-0.53195864,"('nasty', 'nice')",-0.642416,-0.5319586,0.1104574
18,-0.3444216,-0.42356312,"('disagreeable', 'welcoming')",-0.3444216,-0.4235631,-0.0791415
19,0.010975723,0.06282606,"('inhospitable', 'hospitable')",0.0109757,0.0628261,0.0518504
20,0.94177556,0.83097833,"('rough', 'thoughtful')",0.9417756,0.8309783,-0.1107973
21,0.59278077,0.5800111,"('immoral', 'moral')",0.5927808,0.5800111,-0.0127697
22,0.15259008,0.043158557,"('untrustworthy', 'trustworthy')",0.1525901,0.0431586,-0.1094315
23,7.304436,7.280337,"('insincere', 'sincere')",7.3044362,7.2803369,-0.0240993
24,2.572,2.5320907,"('dishonest', 'honest')",2.572,2.5320907,-0.0399093
25,0.37035447,0.37071177,"('egoistic', 'altruistic')",0.3703545,0.3707118,0.0003573
26,0.0362913,-0.008995831,"('hardhearted', 'benevolent')",0.0362913,-0.0089958,-0.0452871
27,1.5465117,1.4818922,"('hardhearted', 'softhearted')",1.5465117,1.4818922,-0.0646195
28,1.3983465,1.3635492,"('disloyal', 'loyal')",1.3983465,1.3635492,-0.0347973
29,-0.1803706,-0.28513604,"('unfair', 'fair')",-0.1803706,-0.285136,-0.1047654
30,1.4717684,1.3699273,"('intolerant', 'tolerant')",1.4717684,1.3699273,-0.1018411
31,-1.5067272,-1.3995583,"('evil', 'good')",-1.5067272,-1.3995583,0.1071689
32,1.5546234,1.4423562,"('unkind', 'kind')",1.5546234,1.4423562,-0.1122672
33,-0.20801358,-0.18014124,"('wrong', 'right')",-0.2080136,-0.1801412,0.0278724
34,4.8788767,5.0300107,"('mean', 'honorable')",4.8788767,5.0300107,0.151134
