,dam_male,dam_female,tuple,average_male,average_female,female-male
0,0.8707624,0.7333475,"('unsociable', 'sociable')",0.8707624,0.7333475,-0.1374149
1,1.0875793,0.9628524,"('unfriendly', 'friendly')",1.0875793,0.9628524,-0.1247269
2,0.38107002,0.43771383,"('unlikable', 'likable')",0.38107,0.4377138,0.0566438
3,0.42072746,0.6121476,"('repellent', 'pleasant')",0.4207275,0.6121476,0.1914201
4,-7.00221,-7.3430476,"('disliked', 'liked')",-7.0022101,-7.3430476,-0.3408375
5,-0.7156944,-0.7561867,"('distant', 'outgoing')",-0.7156944,-0.7561867,-0.0404923
6,-0.35370758,-0.4328208,"('distant', 'open')",-0.3537076,-0.4328208,-0.0791132
7,1.3619457,1.4379944,"('insensitive', 'sensitive')",1.3619457,1.4379944,0.0760487
8,1.2026352,1.1048276,"('unaffectionate', 'affectionate')",1.2026352,1.1048276,-0.0978076
9,1.7290792,1.6916888,"('unaffectionate', 'caring')",1.7290792,1.6916888,-0.0373904
10,0.9310152,1.0239675,"('unsympathetic', 'sympathetic')",0.9310152,1.0239675,0.0929523
11,1.8884289,1.9221808,"('unhelpful', 'helpful')",1.8884289,1.9221808,0.0337519
12,-1.0713413,-1.1245166,"('unsupportive', 'supportive')",-1.0713413,-1.1245166,-0.0531753
13,0.20892279,0.28835562,"('impolite', 'polite')",0.2089228,0.2883556,0.0794328
14,0.8784045,0.89966154,"('antisocial', 'social')",0.8784045,0.8996615,0.021257
15,0.6270428,0.45305416,"('boring', 'funny')",0.6270428,0.4530542,-0.1739886
16,-0.6415754,-0.8292532,"('unpopular', 'popular')",-0.6415754,-0.8292532,-0.1876778
17,-0.72419095,-0.613321,"('nasty', 'nice')",-0.724191,-0.613321,0.11087
18,-0.97372913,-0.8219819,"('disagreeable', 'welcoming')",-0.9737291,-0.8219819,0.1517472
19,-0.8253145,-0.79914606,"('inhospitable', 'hospitable')",-0.8253145,-0.7991461,0.0261684
20,-0.15995677,-0.12880358,"('rough', 'thoughtful')",-0.1599568,-0.1288036,0.0311532
21,-0.20105192,0.031683765,"('immoral', 'moral')",-0.2010519,0.0316838,0.2327357
22,0.0030315146,-0.07692395,"('untrustworthy', 'trustworthy')",0.0030315,-0.076924,-0.0799555
23,5.782888,6.0473146,"('insincere', 'sincere')",5.7828879,6.0473146,0.2644267
24,1.3094244,1.402807,"('dishonest', 'honest')",1.3094244,1.402807,0.0933826
25,0.359526,0.2776698,"('egoistic', 'altruistic')",0.359526,0.2776698,-0.0818562
26,1.8880677,1.577846,"('hardhearted', 'benevolent')",1.8880677,1.5778461,-0.3102216
27,1.1693861,1.0702015,"('hardhearted', 'softhearted')",1.1693861,1.0702015,-0.0991846
28,1.1228907,1.0182343,"('disloyal', 'loyal')",1.1228907,1.0182343,-0.1046564
29,-0.39684075,-0.46647763,"('unfair', 'fair')",-0.3968408,-0.4664776,-0.0696368
30,0.92741245,1.0065788,"('intolerant', 'tolerant')",0.9274125,1.0065788,0.0791663
31,-1.6258831,-1.6881835,"('evil', 'good')",-1.6258831,-1.6881835,-0.0623004
32,1.0900728,1.0759329,"('unkind', 'kind')",1.0900728,1.0759329,-0.0141399
33,0.2119031,0.063364506,"('wrong', 'right')",0.2119031,0.0633645,-0.1485386
34,3.7268705,4.060394,"('mean', 'honorable')",3.7268705,4.0603938,0.3335233
35,-1.1191988,-1.4102198,"('corrupt', 'incorrupt')",-1.1191988,-1.4102198,-0.291021
36,-1.0932608,-1.3243977,"('hostile', 'amicable')",-1.0932608,-1.3243977,-0.2311369
37,0.50341606,0.4793648,"('fake', 'genuine')",0.5034161,0.4793648,-0.0240513
38,0.07672274,0.07913366,"('untruthful', 'truthful')",0.0767227,0.0791337,0.002411
39,0.2500756,0.47230577,"('exploitative', 'cooperative')",0.2500756,0.4723058,0.2222302
40,-1.6198447,-1.7303853,"('stingy', 'generous')",-1.6198447,-1.7303853,-0.1105406
41,1.0741062,0.89605504,"('unforgiving', 'forgiving')",1.0741062,0.896055,-0.1780512
42,-2.472818,-2.516548,"('unreliable', 'reliable')",-2.4728179,-2.5165479,-0.04373
43,1.1947093,1.3055532,"('irresponsible', 'responsible')",1.1947093,1.3055532,0.1108439
44,-1.5545728,-1.5594954,"('prejudiced', 'unprejudiced')",-1.5545728,-1.5594954,-0.0049226
45,0.6458972,0.40826127,"('incompetent', 'competent')",0.6458972,0.4082613,-0.2376359
46,-0.31626618,-0.35616663,"('uncompetitive', 'competitive')",-0.3162662,-0.3561666,-0.0399004
47,4.7694426,4.986484,"('stupid', 'smart')",4.7694426,4.9864841,0.2170415
48,0.47266743,0.5741293,"('unintelligent', 'intelligent')",0.4726674,0.5741293,0.1014619
