,quanta_male,quanta_female,tuple,services_male,services_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.9133303,-0.95480114,"('unsociable', 'sociable')",1.2105951,1.0475377,-0.20543784,-0.43717495,0.030609,-0.1148128,-0.1454218
1,-1.5205005,-1.364417,"('unfriendly', 'friendly')",-0.08061309,-0.18542191,1.8054124,1.6994176,0.0680996,0.0498596,-0.01824
2,0.55804497,0.6214554,"('unlikable', 'likable')",1.4483507,1.5547149,0.9754454,1.1355771,0.993947,1.1039159,0.1099689
3,-0.3817857,-0.18999349,"('repellent', 'pleasant')",0.6230341,0.71910274,0.11015099,0.16855752,0.1171331,0.2325556,0.1154225
4,-0.44858587,-0.4657875,"('disliked', 'liked')",-0.465609,-0.4778545,-5.316003,-5.1527677,-2.0767326,-2.0321366,0.044596
5,-0.97056574,-1.0009955,"('distant', 'outgoing')",-0.66141355,-0.6341834,-0.08369333,0.017602205,-0.5718909,-0.5391922,0.0326987
6,-1.2627383,-1.1692317,"('distant', 'open')",-1.1849661,-1.1463006,0.45027375,0.53099114,-0.6658102,-0.594847,0.0709632
7,-0.035318807,0.1267328,"('insensitive', 'sensitive')",0.46824473,0.56645983,0.56782746,0.5344415,0.3335845,0.4092114,0.0756269
8,-1.2566284,-1.1344376,"('unaffectionate', 'affectionate')",-0.8127172,-0.7516153,0.7493594,0.7063937,-0.4399954,-0.3932197,0.0467757
9,-1.3626521,-1.2784753,"('unaffectionate', 'caring')",0.5579659,0.54752785,1.1422698,1.1331835,0.1125279,0.1340787,0.0215508
10,-0.8065255,-0.5985436,"('unsympathetic', 'sympathetic')",0.5441444,0.6031633,-0.2034958,-0.33025193,-0.1552923,-0.1085441,0.0467482
11,0.2987969,0.34581947,"('unhelpful', 'helpful')",1.8232976,1.8658154,1.8931218,1.8900044,1.3384055,1.3672131,0.0288076
12,-0.112606466,0.1296792,"('unsupportive', 'supportive')",1.3652356,1.552393,-1.4739903,-1.3667777,-0.0737871,0.1050982,0.1788853
13,-0.36296993,-0.5324592,"('impolite', 'polite')",0.7838598,0.6758015,-0.097387806,-0.2565407,0.107834,-0.0377328,-0.1455668
14,0.50322497,0.5577842,"('antisocial', 'social')",1.4710295,1.5302362,-0.6135242,-0.7064801,0.4535768,0.4605134,0.0069366
15,0.0013692696,-0.13624452,"('boring', 'funny')",-0.35692886,-0.39506686,0.59939915,0.61909205,0.0812799,0.0292602,-0.0520197
16,-0.7020781,-0.57697666,"('unpopular', 'popular')",-0.23422828,-0.16351448,0.45585138,0.47051468,-0.1601517,-0.0899922,0.0701595
17,-0.3589595,-0.28121695,"('nasty', 'nice')",0.35532698,0.4750887,-0.5518597,-0.43687463,-0.1851641,-0.081001,0.1041631
18,-0.32582223,-0.09306106,"('disagreeable', 'welcoming')",0.32768416,0.4874086,-0.10230856,-0.011407066,-0.0334822,0.1276468,0.161129
19,-1.8001157,-1.780757,"('inhospitable', 'hospitable')",-0.7175543,-0.7401698,0.11167708,0.25470442,-0.8019976,-0.7554074,0.0465902
20,-0.09394862,0.062366232,"('rough', 'thoughtful')",0.52069855,0.5842561,0.78463805,0.74356574,0.403796,0.463396,0.0596
21,0.14307795,0.16967131,"('immoral', 'moral')",1.4249922,1.4097465,-0.4862886,-0.46837753,0.3605939,0.3703468,0.0097529
22,0.4068255,0.5049937,"('untrustworthy', 'trustworthy')",0.6684081,0.63778234,-0.7330134,-0.80671674,0.1140734,0.1120198,-0.0020536
23,-0.629228,-0.5279734,"('insincere', 'sincere')",1.7202041,1.6719762,5.05632,4.805132,2.0490988,1.9830449,-0.0660539
24,-0.17797518,-0.12548769,"('dishonest', 'honest')",0.52850175,0.51443,0.8901217,0.8177833,0.4135494,0.4022419,-0.0113075
25,-0.7648994,-0.7238768,"('egoistic', 'altruistic')",0.5624761,0.5575279,1.4510376,1.3966652,0.4162048,0.4101055,-0.0060993
26,-0.18695709,-0.15313831,"('hardhearted', 'benevolent')",1.3345667,1.3217775,1.750252,1.63909,0.9659538,0.9359097,-0.0300441
27,-0.7395915,-0.49087334,"('hardhearted', 'softhearted')",0.9521337,1.0420872,1.7049701,1.6438731,0.6391708,0.7316957,0.0925249
