,great-grandfather_male,great-grandfather_female,tuple,average_male,average_female,female-male
0,-0.6043137,-1.1461667,"('unsociable', 'sociable')",-0.6043137,-1.1461667,-0.541853
1,0.10670254,0.04005418,"('unfriendly', 'friendly')",0.1067025,0.0400542,-0.0666483
2,-1.0675015,-0.88152945,"('unlikable', 'likable')",-1.0675015,-0.8815295,0.185972
3,-0.6185484,-0.6022025,"('repellent', 'pleasant')",-0.6185484,-0.6022025,0.0163459
4,1.382709,1.452924,"('disliked', 'liked')",1.382709,1.452924,0.070215
5,-0.8379471,-0.6213867,"('distant', 'outgoing')",-0.8379471,-0.6213867,0.2165604
6,-0.88187397,-0.6659132,"('distant', 'open')",-0.881874,-0.6659132,0.2159608
7,-0.80487794,-1.0212955,"('insensitive', 'sensitive')",-0.8048779,-1.0212955,-0.2164176
8,0.7735011,0.64505386,"('unaffectionate', 'affectionate')",0.7735011,0.6450539,-0.1284472
9,0.095862,-0.07757094,"('unaffectionate', 'caring')",0.095862,-0.0775709,-0.1734329
10,-1.5562288,-1.9410813,"('unsympathetic', 'sympathetic')",-1.5562288,-1.9410813,-0.3848525
11,-1.6962683,-1.8764024,"('unhelpful', 'helpful')",-1.6962683,-1.8764024,-0.1801341
12,-0.5015208,-0.67311144,"('unsupportive', 'supportive')",-0.5015208,-0.6731114,-0.1715906
13,-0.7258845,-0.9341891,"('impolite', 'polite')",-0.7258845,-0.9341891,-0.2083046
14,-1.0415956,-1.2291882,"('antisocial', 'social')",-1.0415956,-1.2291882,-0.1875926
15,1.3122206,1.40356,"('boring', 'funny')",1.3122206,1.40356,0.0913394
16,-0.7385924,-0.6988386,"('unpopular', 'popular')",-0.7385924,-0.6988386,0.0397538
17,0.55816346,0.66011983,"('nasty', 'nice')",0.5581635,0.6601198,0.1019563
18,0.33986852,0.44529533,"('disagreeable', 'welcoming')",0.3398685,0.4452953,0.1054268
19,0.8510819,0.88047194,"('inhospitable', 'hospitable')",0.8510819,0.8804719,0.02939
20,0.1646554,0.12305148,"('rough', 'thoughtful')",0.1646554,0.1230515,-0.0416039
21,-1.1021615,-1.3426067,"('immoral', 'moral')",-1.1021615,-1.3426067,-0.2404452
22,-1.1451968,-1.3272467,"('untrustworthy', 'trustworthy')",-1.1451968,-1.3272467,-0.1820499
23,0.10246207,-0.27484658,"('insincere', 'sincere')",0.1024621,-0.2748466,-0.3773087
24,-0.79475385,-0.9322747,"('dishonest', 'honest')",-0.7947538,-0.9322747,-0.1375209
25,0.3093488,0.46173733,"('egoistic', 'altruistic')",0.3093488,0.4617373,0.1523885
26,1.9788651,1.852816,"('hardhearted', 'benevolent')",1.9788651,1.852816,-0.1260491
27,-1.0197896,-1.1555108,"('hardhearted', 'softhearted')",-1.0197896,-1.1555108,-0.1357212
28,-0.14884326,-0.5058391,"('disloyal', 'loyal')",-0.1488433,-0.5058391,-0.3569958
