,motorboat_male,motorboat_female,tuple,average_male,average_female,female-male
0,0.22380005,0.24052668,"('unsociable', 'sociable')",0.2238,0.2405267,0.0167267
1,0.30753344,0.2712998,"('unfriendly', 'friendly')",0.3075334,0.2712998,-0.0362336
2,0.62444156,0.6709588,"('unlikable', 'likable')",0.6244416,0.6709588,0.0465172
3,-0.24941307,-0.10485445,"('repellent', 'pleasant')",-0.2494131,-0.1048544,0.1445587
4,-3.1722865,-3.1642723,"('disliked', 'liked')",-3.1722865,-3.1642723,0.0080142
5,-0.20835973,-0.2736166,"('distant', 'outgoing')",-0.2083597,-0.2736166,-0.0652569
6,-0.3568179,-0.433774,"('distant', 'open')",-0.3568179,-0.433774,-0.0769561
7,0.3486557,0.49060735,"('insensitive', 'sensitive')",0.3486557,0.4906074,0.1419517
8,0.033587575,-0.08838814,"('unaffectionate', 'affectionate')",0.0335876,-0.0883881,-0.1219757
9,0.63152754,0.56603646,"('unaffectionate', 'caring')",0.6315275,0.5660365,-0.065491
10,-0.16315937,-0.08543196,"('unsympathetic', 'sympathetic')",-0.1631594,-0.085432,0.0777274
11,1.1371505,1.1453643,"('unhelpful', 'helpful')",1.1371505,1.1453643,0.0082138
12,-0.98716956,-0.9437976,"('unsupportive', 'supportive')",-0.9871696,-0.9437976,0.043372
13,0.22594494,0.22171694,"('impolite', 'polite')",0.2259449,0.2217169,-0.004228
14,0.6043213,0.62223065,"('antisocial', 'social')",0.6043213,0.6222306,0.0179093
15,0.88928,0.77064115,"('boring', 'funny')",0.88928,0.7706411,-0.1186389
16,-0.30710566,-0.25218523,"('unpopular', 'popular')",-0.3071057,-0.2521852,0.0549205
17,-0.5272173,-0.47832543,"('nasty', 'nice')",-0.5272173,-0.4783254,0.0488919
18,-0.7360093,-0.76923704,"('disagreeable', 'welcoming')",-0.7360093,-0.769237,-0.0332277
19,-0.5750522,-0.5672492,"('inhospitable', 'hospitable')",-0.5750522,-0.5672492,0.007803
20,-0.3158481,-0.2791375,"('rough', 'thoughtful')",-0.3158481,-0.2791375,0.0367106
