,time_male,time_female,tuple,warner_male,warner_female,cable_male,cable_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.2683767,-1.4406964,"('unsociable', 'sociable')",-0.9070947,-1.1148578,-0.22976074,-0.273472,-0.45229113,-0.6730466,-0.7143807,-0.8755182,-0.1611375
1,0.0036063641,-0.12616594,"('unfriendly', 'friendly')",1.2008873,1.0966053,1.3988734,1.3150473,1.7931883,1.5645887,1.0991389,0.9625188,-0.1366201
2,1.0397778,1.0062425,"('unlikable', 'likable')",0.80704534,0.8413596,1.0755163,1.1076263,0.9784007,1.0371686,0.975185,0.9980992,0.0229142
3,-1.0057492,-0.89405066,"('repellent', 'pleasant')",-1.5975688,-1.5146016,-0.5447029,-0.37557924,0.32935935,0.41089997,-0.7046654,-0.5933329,0.1113325
4,0.00065866485,-0.14944822,"('disliked', 'liked')",0.6086165,0.52284676,0.11645758,0.0033234209,-5.4691315,-5.57855,-1.1858497,-1.300457,-0.1146073
5,-0.29805702,-0.28565127,"('distant', 'outgoing')",0.63892436,0.71038353,0.6032722,0.5448258,-0.35450023,-0.3044523,0.1474098,0.1662764,0.0188666
6,-0.37132806,-0.3472073,"('distant', 'open')",0.6130127,0.75230193,0.5511092,0.5269412,0.12347066,0.19390526,0.2290661,0.2814853,0.0524192
7,0.32680523,0.31212783,"('insensitive', 'sensitive')",-0.73385805,-0.7368696,0.19431198,0.3543764,0.5792957,0.5617312,0.0916387,0.1228415,0.0312028
8,0.16405088,0.15773986,"('unaffectionate', 'affectionate')",1.0252098,1.0837481,0.6539792,0.58599216,0.114479676,0.04553903,0.4894299,0.4682548,-0.0211751
9,0.64322805,0.6206252,"('unaffectionate', 'caring')",0.9087976,0.896371,1.5386559,1.5029018,0.75691,0.7138224,0.9618979,0.9334301,-0.0284678
10,-1.5776086,-1.5881369,"('unsympathetic', 'sympathetic')",-1.6407977,-1.670652,-1.1330773,-1.0162462,-0.5379817,-0.6188758,-1.2223662,-1.2234778,-0.0011116
11,-0.6431838,-0.63261396,"('unhelpful', 'helpful')",-1.4027048,-1.3749475,-0.2692769,-0.14760728,1.7977929,1.8140583,-0.1293432,-0.0852776,0.0440656
12,-0.21148783,-0.1975218,"('unsupportive', 'supportive')",0.5719879,0.67998844,0.5209571,0.6435146,-1.5862521,-1.5550064,-0.1761987,-0.1072563,0.0689424
13,-0.029366614,-0.14319703,"('impolite', 'polite')",-1.4191602,-1.6177235,-0.50092065,-0.484273,-0.30868298,-0.37860963,-0.5645326,-0.6559508,-0.0914182
14,0.5734575,0.49020693,"('antisocial', 'social')",-0.5505542,-0.676587,0.6974386,0.76629037,-0.44008198,-0.5077303,0.070065,0.018045,-0.05202
15,1.5011336,1.44118,"('boring', 'funny')",1.5533152,1.4080963,1.8498708,1.7637831,0.39881977,0.39430416,1.3257848,1.2518409,-0.0739439
16,-0.01861509,-0.11957116,"('unpopular', 'popular')",-0.33250248,-0.29984432,-0.11664769,-0.09429367,0.24043354,0.28072456,-0.0568329,-0.0582461,-0.0014132
17,-0.031270653,-0.021194637,"('nasty', 'nice')",-0.16414244,-0.21863864,-0.18472981,-0.18817517,-0.67287433,-0.5659683,-0.2632543,-0.2484942,0.0147601
18,-0.7400647,-0.79642296,"('disagreeable', 'welcoming')",0.14301223,0.12587182,-0.2380504,-0.2816591,-0.21017143,-0.22767007,-0.2613186,-0.2949701,-0.0336515
19,-0.008393288,0.01486551,"('inhospitable', 'hospitable')",0.08445421,0.13322797,-0.34241006,-0.3774046,0.21443123,0.24443336,-0.0129795,0.0037806,0.0167601
20,0.32411164,0.33417934,"('rough', 'thoughtful')",-1.0631592,-1.0978997,-0.98152965,-0.9235601,0.8924191,0.9241097,-0.2070395,-0.1907927,0.0162468
21,0.39325368,0.3177222,"('immoral', 'moral')",-1.6013033,-1.6755203,0.16476189,0.24976586,-0.6159411,-0.6411751,-0.4148072,-0.4373018,-0.0224946
22,-0.667115,-0.74813676,"('untrustworthy', 'trustworthy')",-0.96295685,-0.99890405,0.29505157,0.35579386,-0.757543,-0.8061007,-0.5231408,-0.5493369,-0.0261961
23,-0.48886463,-0.5257117,"('insincere', 'sincere')",-0.79766244,-0.8488061,0.028674103,0.12644643,5.4808316,5.363585,1.0557446,1.0288785,-0.0268661
24,0.1878884,0.17176858,"('dishonest', 'honest')",-0.8608955,-0.8309617,0.41702884,0.4372138,0.9039334,0.7515666,0.1619888,0.1323968,-0.029592
25,0.6553151,0.6309078,"('egoistic', 'altruistic')",1.1085637,1.0862387,1.1034112,1.0511185,1.7697917,1.7712809,1.1592704,1.1348865,-0.0243839
26,0.76948315,0.64331317,"('hardhearted', 'benevolent')",1.6988896,1.5760981,1.8659304,1.7026554,1.6893655,1.4559239,1.5059172,1.3444977,-0.1614195
