,satellite_male,satellite_female,tuple,average_male,average_female,female-male
0,-0.37548542,-0.38252574,"('unsociable', 'sociable')",-0.3754854,-0.3825257,-0.0070403
1,1.4547062,1.3658029,"('unfriendly', 'friendly')",1.4547062,1.3658029,-0.0889033
2,0.116568014,0.14463861,"('unlikable', 'likable')",0.116568,0.1446386,0.0280706
3,0.36210904,0.4797404,"('repellent', 'pleasant')",0.362109,0.4797404,0.1176314
4,-6.981073,-7.141917,"('disliked', 'liked')",-6.9810729,-7.1419172,-0.1608443
5,-0.42408818,-0.46044543,"('distant', 'outgoing')",-0.4240882,-0.4604454,-0.0363572
6,0.03317713,-0.029832426,"('distant', 'open')",0.0331771,-0.0298324,-0.0630095
7,0.36102965,0.4124313,"('insensitive', 'sensitive')",0.3610297,0.4124313,0.0514016
8,1.542438,1.4210752,"('unaffectionate', 'affectionate')",1.542438,1.4210752,-0.1213628
9,1.8200502,1.773796,"('unaffectionate', 'caring')",1.8200502,1.773796,-0.0462542
10,0.1667469,0.2959464,"('unsympathetic', 'sympathetic')",0.1667469,0.2959464,0.1291995
11,1.2287798,1.3055888,"('unhelpful', 'helpful')",1.2287798,1.3055888,0.076809
12,-1.7178322,-1.7611752,"('unsupportive', 'supportive')",-1.7178322,-1.7611752,-0.043343
13,-0.78528726,-0.7114571,"('impolite', 'polite')",-0.7852873,-0.7114571,0.0738302
14,-0.3371626,-0.31157982,"('antisocial', 'social')",-0.3371626,-0.3115798,0.0255828
15,0.0966503,-0.022892773,"('boring', 'funny')",0.0966503,-0.0228928,-0.1195431
16,-0.110044256,-0.15004262,"('unpopular', 'popular')",-0.1100443,-0.1500426,-0.0399983
17,-0.22493553,-0.20340367,"('nasty', 'nice')",-0.2249355,-0.2034037,0.0215318
18,-0.44755214,-0.5096827,"('disagreeable', 'welcoming')",-0.4475521,-0.5096827,-0.0621306
19,-0.6281072,-0.6548091,"('inhospitable', 'hospitable')",-0.6281072,-0.6548091,-0.0267019
20,0.8910807,0.8189107,"('rough', 'thoughtful')",0.8910807,0.8189107,-0.07217
21,-0.96871215,-0.85709906,"('immoral', 'moral')",-0.9687122,-0.8570991,0.1116131
22,-0.95871097,-0.91900307,"('untrustworthy', 'trustworthy')",-0.958711,-0.9190031,0.0397079
23,5.7613597,5.863105,"('insincere', 'sincere')",5.7613597,5.8631048,0.1017451
24,0.9933027,0.9355678,"('dishonest', 'honest')",0.9933027,0.9355678,-0.0577349
25,1.1855736,1.0677944,"('egoistic', 'altruistic')",1.1855736,1.0677944,-0.1177792
26,1.367713,1.2497543,"('hardhearted', 'benevolent')",1.367713,1.2497543,-0.1179587
27,1.5669783,1.4510248,"('hardhearted', 'softhearted')",1.5669783,1.4510248,-0.1159535
28,1.26979,1.1808783,"('disloyal', 'loyal')",1.2697901,1.1808783,-0.0889118
29,-0.6086219,-0.7390962,"('unfair', 'fair')",-0.6086219,-0.7390962,-0.1304743
30,0.4857753,0.54047215,"('intolerant', 'tolerant')",0.4857753,0.5404721,0.0546968
31,-0.6033427,-0.7022872,"('evil', 'good')",-0.6033427,-0.7022872,-0.0989445
32,0.67508084,0.63386714,"('unkind', 'kind')",0.6750808,0.6338671,-0.0412137
33,0.15508121,-0.022705719,"('wrong', 'right')",0.1550812,-0.0227057,-0.1777869
34,4.226997,4.382025,"('mean', 'honorable')",4.2269969,4.3820248,0.1550279
35,-0.104627214,-0.37881392,"('corrupt', 'incorrupt')",-0.1046272,-0.3788139,-0.2741867
36,0.14251512,-0.06270313,"('hostile', 'amicable')",0.1425151,-0.0627031,-0.2052182
37,0.4167842,0.4169382,"('fake', 'genuine')",0.4167842,0.4169382,0.000154
38,-0.075113416,-0.10828649,"('untruthful', 'truthful')",-0.0751134,-0.1082865,-0.0331731
39,0.49629018,0.49533987,"('exploitative', 'cooperative')",0.4962902,0.4953399,-0.0009503
40,-1.66537,-1.7485383,"('stingy', 'generous')",-1.66537,-1.7485383,-0.0831683
41,0.14583674,0.058762178,"('unforgiving', 'forgiving')",0.1458367,0.0587622,-0.0870745
42,-2.9432805,-2.905549,"('unreliable', 'reliable')",-2.9432805,-2.905549,0.0377315
43,0.35136712,0.44131878,"('irresponsible', 'responsible')",0.3513671,0.4413188,0.0899517
44,-0.9300436,-0.8788738,"('prejudiced', 'unprejudiced')",-0.9300436,-0.8788738,0.0511698
45,-0.27230525,-0.2528052,"('incompetent', 'competent')",-0.2723053,-0.2528052,0.0195001
46,-1.5574985,-1.4792125,"('uncompetitive', 'competitive')",-1.5574985,-1.4792125,0.078286
47,4.8154974,4.983897,"('stupid', 'smart')",4.8154974,4.9838972,0.1683998
48,0.4052939,0.38847962,"('unintelligent', 'intelligent')",0.4052939,0.3884796,-0.0168143
49,-0.08370851,-0.012803224,"('unable', 'able')",-0.0837085,-0.0128032,0.0709053
50,-0.5113545,-0.5843476,"('clumsy', 'skillful')",-0.5113545,-0.5843476,-0.0729931
51,0.009932362,-0.047042504,"('uneducated', 'educated')",0.0099324,-0.0470425,-0.0569749
52,0.3190839,0.10183557,"('irrational', 'rational')",0.3190839,0.1018356,-0.2172483
53,-0.047233008,-0.113902695,"('uncreative', 'creative')",-0.047233,-0.1139027,-0.0666697
