,founder_male,founder_female,tuple,average_male,average_female,female-male
0,0.9481628,0.62499857,"('unsociable', 'sociable')",0.9481628,0.6249986,-0.3231642
1,1.0130919,1.0585849,"('unfriendly', 'friendly')",1.0130919,1.0585849,0.045493
2,0.369666,0.50687355,"('unlikable', 'likable')",0.369666,0.5068735,0.1372075
3,0.43723205,0.5953614,"('repellent', 'pleasant')",0.437232,0.5953614,0.1581294
4,-6.8703,-7.033056,"('disliked', 'liked')",-6.8702998,-7.0330558,-0.162756
5,-1.1700464,-1.0398502,"('distant', 'outgoing')",-1.1700464,-1.0398502,0.1301962
6,-1.2142879,-1.0044159,"('distant', 'open')",-1.2142879,-1.0044159,0.209872
7,1.4700385,1.4347135,"('insensitive', 'sensitive')",1.4700385,1.4347135,-0.035325
8,0.58750725,0.66370684,"('unaffectionate', 'affectionate')",0.5875072,0.6637068,0.0761996
9,1.5914326,1.6911716,"('unaffectionate', 'caring')",1.5914326,1.6911716,0.099739
10,1.3458368,1.261085,"('unsympathetic', 'sympathetic')",1.3458368,1.261085,-0.0847518
11,2.8973076,2.726753,"('unhelpful', 'helpful')",2.8973076,2.726753,-0.1705546
12,-0.7872965,-0.8851825,"('unsupportive', 'supportive')",-0.7872965,-0.8851825,-0.097886
13,1.3128449,1.0017086,"('impolite', 'polite')",1.3128449,1.0017086,-0.3111363
14,1.0388764,0.7813747,"('antisocial', 'social')",1.0388764,0.7813747,-0.2575017
15,0.35049945,0.32683516,"('boring', 'funny')",0.3504995,0.3268352,-0.0236643
16,-0.4926639,-0.4374982,"('unpopular', 'popular')",-0.4926639,-0.4374982,0.0551657
17,-0.29996532,-0.3387453,"('nasty', 'nice')",-0.2999653,-0.3387453,-0.03878
18,-0.25946423,-0.36824265,"('disagreeable', 'welcoming')",-0.2594642,-0.3682427,-0.1087785
19,-0.5992107,-0.5345266,"('inhospitable', 'hospitable')",-0.5992107,-0.5345266,0.0646841
20,1.067816,1.0225279,"('rough', 'thoughtful')",1.067816,1.0225279,-0.0452881
21,0.93463975,0.77116287,"('immoral', 'moral')",0.9346398,0.7711629,-0.1634769
22,0.5043522,0.25326294,"('untrustworthy', 'trustworthy')",0.5043522,0.2532629,-0.2510893
23,7.3013616,7.2473736,"('insincere', 'sincere')",7.3013616,7.2473736,-0.053988
24,1.8922663,1.7639788,"('dishonest', 'honest')",1.8922663,1.7639788,-0.1282875
25,0.19829962,0.30024117,"('egoistic', 'altruistic')",0.1982996,0.3002412,0.1019416
26,0.15625493,0.09592055,"('hardhearted', 'benevolent')",0.1562549,0.0959205,-0.0603344
27,1.0133741,1.0411657,"('hardhearted', 'softhearted')",1.0133741,1.0411657,0.0277916
28,1.3798507,1.2307806,"('disloyal', 'loyal')",1.3798507,1.2307806,-0.1490701
29,-0.46539927,-0.62708586,"('unfair', 'fair')",-0.4653993,-0.6270859,-0.1616866
30,1.7538947,1.6157056,"('intolerant', 'tolerant')",1.7538947,1.6157056,-0.1381891
31,-2.4645398,-2.2553833,"('evil', 'good')",-2.4645398,-2.2553833,0.2091565
32,2.1519873,1.8904469,"('unkind', 'kind')",2.1519873,1.8904469,-0.2615404
33,-0.6775484,-0.6998101,"('wrong', 'right')",-0.6775484,-0.6998101,-0.0222617
34,5.070579,5.312126,"('mean', 'honorable')",5.0705791,5.3121262,0.2415471
35,-1.5027767,-1.5665197,"('corrupt', 'incorrupt')",-1.5027767,-1.5665197,-0.063743
36,-0.9904365,-1.0538957,"('hostile', 'amicable')",-0.9904365,-1.0538957,-0.0634592
37,1.1106488,1.1093553,"('fake', 'genuine')",1.1106488,1.1093553,-0.0012935
38,0.8677104,0.70002294,"('untruthful', 'truthful')",0.8677104,0.7000229,-0.1676875
39,0.59205157,0.43881598,"('exploitative', 'cooperative')",0.5920516,0.438816,-0.1532356
40,-1.9442846,-1.9787962,"('stingy', 'generous')",-1.9442846,-1.9787962,-0.0345116
41,0.6695063,0.428503,"('unforgiving', 'forgiving')",0.6695063,0.428503,-0.2410033
42,-1.9461644,-2.0931535,"('unreliable', 'reliable')",-1.9461644,-2.0931535,-0.1469891
43,1.8983928,1.8435677,"('irresponsible', 'responsible')",1.8983928,1.8435677,-0.0548251
44,-0.9487351,-1.0139084,"('prejudiced', 'unprejudiced')",-0.9487351,-1.0139084,-0.0651733
45,0.3450049,0.28209832,"('incompetent', 'competent')",0.3450049,0.2820983,-0.0629066
46,0.059794288,-0.08823283,"('uncompetitive', 'competitive')",0.0597943,-0.0882328,-0.1480271
47,5.2894335,5.610218,"('stupid', 'smart')",5.2894335,5.610218,0.3207845
48,1.287034,1.116623,"('unintelligent', 'intelligent')",1.287034,1.116623,-0.170411
49,-0.026853956,0.108658224,"('unable', 'able')",-0.026854,0.1086582,0.1355122
50,-0.17321466,-0.17947048,"('clumsy', 'skillful')",-0.1732147,-0.1794705,-0.0062558
51,1.5714452,1.3575668,"('uneducated', 'educated')",1.5714452,1.3575668,-0.2138784
52,-1.5711066,-1.6110103,"('irrational', 'rational')",-1.5711066,-1.6110103,-0.0399037
53,-0.107883915,-0.038671657,"('uncreative', 'creative')",-0.1078839,-0.0386717,0.0692122
54,1.0137618,1.1583564,"('incapable', 'capable')",1.0137618,1.1583564,0.1445946
55,1.7087592,1.5755426,"('incompetent', 'clever')",1.7087592,1.5755426,-0.1332166
56,1.47815,1.303295,"('impractical', 'practical')",1.47815,1.303295,-0.174855
57,-3.1412416,-3.1482215,"('unimaginative', 'imaginative')",-3.1412416,-3.1482215,-0.0069799
58,-0.27812216,-0.2241699,"('undiscriminating', 'discriminating')",-0.2781222,-0.2241699,0.0539523
59,-0.6736608,-0.5564882,"('foolish', 'wise')",-0.6736608,-0.5564882,0.1171726
60,1.8626524,1.7972727,"('inefficient', 'efficient')",1.8626524,1.7972727,-0.0653797
61,0.39253733,0.11019989,"('illogical', 'logical')",0.3925373,0.1101999,-0.2823374
62,1.6345291,1.6420138,"('incompetent', 'brilliant')",1.6345291,1.6420138,0.0074847
63,1.1637678,1.1148608,"('unperceptive', 'insightful')",1.1637678,1.1148608,-0.048907
64,-5.1396294,-5.4017553,"('shy', 'confident')",-5.1396294,-5.4017553,-0.2621259
65,1.1625339,0.8863425,"('insecure', 'secure')",1.1625339,0.8863425,-0.2761914
66,-0.47463274,-0.4201049,"('inactive', 'active')",-0.4746327,-0.4201049,0.0545278
67,-0.08893185,-0.032355614,"('doubtful', 'determined')",-0.0889319,-0.0323556,0.0565763
68,-0.4594753,-0.49990278,"('dependent', 'independent')",-0.4594753,-0.4999028,-0.0404275
69,-2.148748,-2.045314,"('lazy', 'industrious')",-2.1487479,-2.0453141,0.1034338
70,1.932697,1.8227057,"('lethargic', 'energetic')",1.9326971,1.8227057,-0.1099914
71,0.508562,0.5559164,"('diffident', 'self-confident')",0.508562,0.5559164,0.0473544
72,0.5333944,0.59965205,"('unambitious', 'ambitious')",0.5333944,0.5996521,0.0662577
73,-3.033617,-2.994479,"('helpless', 'self-reliant')",-3.033617,-2.9944789,0.0391381
74,0.36992607,0.2585277,"('undedicated', 'dedicated')",0.3699261,0.2585277,-0.1113984
75,-1.2531133,-0.97332156,"('meek', 'impulsive')",-1.2531133,-0.9733216,0.2797917
76,0.6911901,0.57507336,"('anxious', 'daring')",0.6911901,0.5750734,-0.1161167
77,-0.29670313,-0.31515288,"('unmotivated', 'motivated')",-0.2967031,-0.3151529,-0.0184498
78,-0.5027553,-0.49256372,"('nonresilient', 'resilient')",-0.5027553,-0.4925637,0.0101916
79,-0.92503494,-0.88117653,"('wavering', 'unwavering')",-0.9250349,-0.8811765,0.0438584
80,0.4206919,0.2412069,"('dominated', 'dominating')",0.4206919,0.2412069,-0.179485
81,0.72380376,0.67113364,"('submissive', 'aggressive')",0.7238038,0.6711336,-0.0526702
82,5.8599215,6.2231026,"('poor', 'rich')",5.8599215,6.2231026,0.3631811
83,-0.11010362,-0.19549173,"('powerless', 'powerful')",-0.1101036,-0.1954917,-0.0853881
84,-0.119597696,-0.03907625,"('inferior', 'superior')",-0.1195977,-0.0390763,0.0805214
85,-1.4114206,-1.3963847,"('insignificant', 'prestigious')",-1.4114206,-1.3963847,0.0150359
86,1.1603758,1.0292941,"('uninfluential', 'influential')",1.1603758,1.0292941,-0.1310817
