,costco_male,costco_female,tuple,wholesale_male,wholesale_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.08030542,-0.24861819,"('unsociable', 'sociable')",1.779302,1.6704292,0.35783786,0.17792046,0.6856115,0.5332439,-0.1523676
1,-1.4577644,-1.4245605,"('unfriendly', 'friendly')",0.1765978,0.13395463,0.85862744,0.70346236,-0.1408464,-0.1957145,-0.0548681
2,1.3782147,1.364047,"('unlikable', 'likable')",0.9051641,0.89737505,1.1626543,1.2765094,1.1486777,1.1793105,0.0306328
3,0.10839,0.069310926,"('repellent', 'pleasant')",-0.37111616,-0.29745808,1.2130425,1.1927506,0.3167721,0.3215345,0.0047624
4,-0.061528075,-0.032014996,"('disliked', 'liked')",-0.14966315,-0.051745098,-6.722255,-6.688252,-2.3111488,-2.2573374,0.0538114
5,-1.4051639,-1.2360598,"('distant', 'outgoing')",-1.0984246,-0.9071789,-0.976583,-0.92577326,-1.1600571,-1.0230039,0.1370532
6,-1.9220735,-1.7348288,"('distant', 'open')",-0.92940724,-0.76976496,-1.2115873,-1.1980566,-1.354356,-1.2342168,0.1201392
7,-0.0811147,-0.10916152,"('insensitive', 'sensitive')",0.81885386,0.8137655,0.31936067,0.3155891,0.3523666,0.3400644,-0.0123022
8,-1.270964,-1.2789521,"('unaffectionate', 'affectionate')",-0.4092245,-0.47213638,-0.14159274,-0.16368112,-0.6072604,-0.6382565,-0.0309961
9,-0.68500686,-0.75771236,"('unaffectionate', 'caring')",0.6403234,0.5762707,0.6810674,0.6671312,0.212128,0.1618965,-0.0502315
10,0.10493383,-0.11298972,"('unsympathetic', 'sympathetic')",0.2976173,0.20550454,-0.012914428,-0.0313643,0.1298789,0.0203835,-0.1094954
11,0.49185872,0.38757542,"('unhelpful', 'helpful')",0.8404585,0.73680514,2.6497693,2.720103,1.3273622,1.2814945,-0.0458677
12,-0.01831761,-0.01828479,"('unsupportive', 'supportive')",0.7111181,0.83319634,-2.0357945,-1.9817828,-0.4476647,-0.3889571,0.0587076
13,0.25991797,0.1752664,"('impolite', 'polite')",1.9488372,1.8755238,-0.004974816,0.02091933,0.7345934,0.6905699,-0.0440235
14,1.1397102,1.0970061,"('antisocial', 'social')",2.1724877,2.1430445,0.7970602,0.7169963,1.3697527,1.3190157,-0.050737
15,-0.051571384,-0.09465386,"('boring', 'funny')",0.55758905,0.48710114,-0.0440207,-0.0430943,0.153999,0.116451,-0.037548
16,-0.8590691,-0.89927727,"('unpopular', 'popular')",-1.1710734,-1.1955734,0.41615772,0.34867603,-0.5379949,-0.5820583,-0.0440634
17,0.22122845,0.2915645,"('nasty', 'nice')",-0.21390307,-0.109654166,-0.6517031,-0.62561536,-0.2147926,-0.1479017,0.0668909
18,-1.1809274,-1.13959,"('disagreeable', 'welcoming')",-0.7830121,-0.7072119,-0.84903663,-0.8493598,-0.9376587,-0.8987206,0.0389381
19,-1.234429,-1.2415695,"('inhospitable', 'hospitable')",-0.8029597,-0.7862899,-0.8876352,-0.8031509,-0.975008,-0.9436701,0.0313379
20,-0.63289696,-0.61071247,"('rough', 'thoughtful')",-0.48432884,-0.46551627,0.51462036,0.56575716,-0.2008685,-0.1701572,0.0307113
21,0.9627607,0.75773317,"('immoral', 'moral')",0.83650696,0.7313162,0.27479947,0.2645133,0.6913557,0.5845209,-0.1068348
22,-0.092535466,-0.13771862,"('untrustworthy', 'trustworthy')",-0.45450968,-0.46625245,-0.48653305,-0.48208094,-0.3445261,-0.3620173,-0.0174912
23,-0.22219242,-0.40886334,"('insincere', 'sincere')",1.5959747,1.4888984,6.483843,6.3290806,2.6192083,2.4697053,-0.149503
24,0.1692586,0.12312691,"('dishonest', 'honest')",0.6948276,0.6589453,0.7405573,0.8372462,0.5348812,0.5397728,0.0048916
25,-0.07039039,-0.046952248,"('egoistic', 'altruistic')",0.75115556,0.71961117,0.9498338,0.864941,0.543533,0.5125333,-0.0309997
26,-0.37091404,-0.32579485,"('hardhearted', 'benevolent')",1.9806386,1.8997396,1.3034616,1.2113538,0.971062,0.9284329,-0.0426291
27,-0.7302194,-0.6033562,"('hardhearted', 'softhearted')",-0.021651939,-0.010175265,0.11549874,0.048717305,-0.2121242,-0.1882714,0.0238528
28,0.16426957,0.019235587,"('disloyal', 'loyal')",1.349398,1.2342736,1.3423829,1.2209986,0.9520168,0.8248359,-0.1271809
29,-0.7001426,-0.63370454,"('unfair', 'fair')",-0.8804405,-0.8431643,-0.7248917,-0.81044763,-0.7684916,-0.7624389,0.0060527
30,1.171771,1.1006057,"('intolerant', 'tolerant')",0.831273,0.86707497,1.3103296,1.3503833,1.1044579,1.1060213,0.0015634
31,-1.3697622,-1.1224977,"('evil', 'good')",-2.086715,-1.8837605,-1.7849303,-1.8542197,-1.7471358,-1.6201591,0.1269767
32,0.7309606,0.53449017,"('unkind', 'kind')",1.1642296,0.943814,1.3673599,1.2715957,1.0875167,0.9166333,-0.1708834
33,-0.17986016,-0.19981141,"('wrong', 'right')",0.13291396,0.14963116,-1.0344963,-1.0731671,-0.3604808,-0.3744491,-0.0139683
