,example_male,example_female,tuple,average_male,average_female,female-male
0,-0.17276412,-0.098449714,"('unsociable', 'sociable')",-0.1727641,-0.0984497,0.0743144
1,1.2023181,1.2190316,"('unfriendly', 'friendly')",1.2023181,1.2190316,0.0167135
2,0.17000642,0.30261052,"('unlikable', 'likable')",0.1700064,0.3026105,0.1326041
3,0.77303547,0.8968389,"('repellent', 'pleasant')",0.7730355,0.8968389,0.1238034
4,-7.5993047,-7.4540095,"('disliked', 'liked')",-7.5993047,-7.4540095,0.1452952
5,-0.4577574,-0.55226904,"('distant', 'outgoing')",-0.4577574,-0.552269,-0.0945116
6,-0.094810255,-0.20925087,"('distant', 'open')",-0.0948103,-0.2092509,-0.1144406
7,1.3176624,1.4281274,"('insensitive', 'sensitive')",1.3176624,1.4281274,0.110465
8,0.9517733,0.8416451,"('unaffectionate', 'affectionate')",0.9517733,0.8416451,-0.1101282
9,1.3354558,1.3677014,"('unaffectionate', 'caring')",1.3354558,1.3677014,0.0322456
10,1.3820555,1.3866526,"('unsympathetic', 'sympathetic')",1.3820555,1.3866526,0.0045971
11,2.1185803,2.2206118,"('unhelpful', 'helpful')",2.1185803,2.2206118,0.1020315
12,-1.3441207,-1.1738055,"('unsupportive', 'supportive')",-1.3441207,-1.1738055,0.1703152
13,0.20038201,0.37027377,"('impolite', 'polite')",0.200382,0.3702738,0.1698918
14,0.08710748,0.21209903,"('antisocial', 'social')",0.0871075,0.212099,0.1249915
15,0.32477742,0.3419501,"('boring', 'funny')",0.3247774,0.3419501,0.0171727
16,-0.70051306,-0.59404457,"('unpopular', 'popular')",-0.7005131,-0.5940446,0.1064685
17,0.04590608,-0.053960644,"('nasty', 'nice')",0.0459061,-0.0539606,-0.0998667
18,-0.5917203,-0.53241277,"('disagreeable', 'welcoming')",-0.5917203,-0.5324128,0.0593075
19,-0.47273624,-0.57081425,"('inhospitable', 'hospitable')",-0.4727362,-0.5708143,-0.0980781
20,0.84923744,0.7414573,"('rough', 'thoughtful')",0.8492374,0.7414573,-0.1077801
