,anagram_male,anagram_female,tuple,average_male,average_female,female-male
0,-0.99966794,-1.1160572,"('unsociable', 'sociable')",-0.9996679,-1.1160572,-0.1163893
1,-0.08509253,-0.46640602,"('unfriendly', 'friendly')",-0.0850925,-0.466406,-0.3813135
2,0.27874112,0.25891247,"('unlikable', 'likable')",0.2787411,0.2589125,-0.0198286
3,-0.6359764,-0.43482637,"('repellent', 'pleasant')",-0.6359764,-0.4348264,0.20115
4,-3.243313,-3.4300191,"('disliked', 'liked')",-3.2433131,-3.4300191,-0.186706
5,-0.29870552,-0.42683616,"('distant', 'outgoing')",-0.2987055,-0.4268362,-0.1281307
6,-0.40264162,-0.5811866,"('distant', 'open')",-0.4026416,-0.5811866,-0.178545
7,-0.40165338,-0.33148438,"('insensitive', 'sensitive')",-0.4016534,-0.3314844,0.070169
8,-0.10082735,-0.28982458,"('unaffectionate', 'affectionate')",-0.1008274,-0.2898246,-0.1889972
9,-0.25634065,-0.41635475,"('unaffectionate', 'caring')",-0.2563407,-0.4163547,-0.160014
10,-1.045644,-1.009854,"('unsympathetic', 'sympathetic')",-1.045644,-1.009854,0.03579
11,0.407742,0.46744832,"('unhelpful', 'helpful')",0.407742,0.4674483,0.0597063
12,-1.0701731,-1.0867369,"('unsupportive', 'supportive')",-1.0701731,-1.0867369,-0.0165638
13,-1.3371727,-1.3688781,"('impolite', 'polite')",-1.3371727,-1.3688781,-0.0317054
14,-0.38133734,-0.40609428,"('antisocial', 'social')",-0.3813373,-0.4060943,-0.024757
15,0.7970292,0.61730105,"('boring', 'funny')",0.7970292,0.617301,-0.1797282
16,-0.7336696,-0.6939005,"('unpopular', 'popular')",-0.7336696,-0.6939005,0.0397691
17,-0.3088386,-0.23130693,"('nasty', 'nice')",-0.3088386,-0.2313069,0.0775317
18,-0.016027704,-0.05100311,"('disagreeable', 'welcoming')",-0.0160277,-0.0510031,-0.0349754
19,-0.77413523,-0.8820016,"('inhospitable', 'hospitable')",-0.7741352,-0.8820016,-0.1078664
20,0.45234156,0.42279202,"('rough', 'thoughtful')",0.4523416,0.422792,-0.0295496
21,-0.7099659,-0.5349438,"('immoral', 'moral')",-0.7099659,-0.5349438,0.1750221
22,-0.35678697,-0.42699292,"('untrustworthy', 'trustworthy')",-0.356787,-0.4269929,-0.0702059
23,2.0327034,2.196927,"('insincere', 'sincere')",2.0327034,2.1969271,0.1642237
