,fork_male,fork_female,tuple,average_male,average_female,female-male
0,0.08758175,-0.012460167,"('unsociable', 'sociable')",0.0875817,-0.0124602,-0.1000419
1,2.1228313,2.0708404,"('unfriendly', 'friendly')",2.1228313,2.0708404,-0.0519909
2,0.22430217,0.3415802,"('unlikable', 'likable')",0.2243022,0.3415802,0.117278
3,1.0322691,1.1613787,"('repellent', 'pleasant')",1.0322691,1.1613787,0.1291096
4,-7.227268,-7.2521486,"('disliked', 'liked')",-7.2272682,-7.2521486,-0.0248804
5,-0.20823327,0.07132562,"('distant', 'outgoing')",-0.2082333,0.0713256,0.2795589
6,0.2147034,0.4384719,"('distant', 'open')",0.2147034,0.4384719,0.2237685
7,1.5037271,1.6616867,"('insensitive', 'sensitive')",1.5037271,1.6616867,0.1579596
8,1.0924342,1.0254028,"('unaffectionate', 'affectionate')",1.0924342,1.0254028,-0.0670314
9,2.1837866,2.1631067,"('unaffectionate', 'caring')",2.1837866,2.1631067,-0.0206799
10,1.274637,1.3250469,"('unsympathetic', 'sympathetic')",1.274637,1.3250469,0.0504099
11,2.253504,2.277737,"('unhelpful', 'helpful')",2.253504,2.2777369,0.0242329
12,-1.0399593,-0.8589482,"('unsupportive', 'supportive')",-1.0399593,-0.8589482,0.1810111
13,0.3685439,0.15389004,"('impolite', 'polite')",0.3685439,0.15389,-0.2146539
14,-0.18498293,-0.2349087,"('antisocial', 'social')",-0.1849829,-0.2349087,-0.0499258
15,1.0217266,0.92439127,"('boring', 'funny')",1.0217266,0.9243913,-0.0973353
16,-0.81485903,-0.73654956,"('unpopular', 'popular')",-0.814859,-0.7365496,0.0783094
17,-0.40687782,-0.41958454,"('nasty', 'nice')",-0.4068778,-0.4195845,-0.0127067
18,-0.23633398,-0.16212784,"('disagreeable', 'welcoming')",-0.236334,-0.1621278,0.0742062
19,-0.035782613,0.21328285,"('inhospitable', 'hospitable')",-0.0357826,0.2132829,0.2490655
20,0.63681185,0.50386715,"('rough', 'thoughtful')",0.6368119,0.5038671,-0.1329448
21,0.1857731,0.28252846,"('immoral', 'moral')",0.1857731,0.2825285,0.0967554
22,-0.23811018,-0.12023446,"('untrustworthy', 'trustworthy')",-0.2381102,-0.1202345,0.1178757
23,7.2112584,7.346533,"('insincere', 'sincere')",7.2112584,7.3465328,0.1352744
24,2.3503768,2.4322112,"('dishonest', 'honest')",2.3503768,2.4322112,0.0818344
25,0.9997484,0.78948903,"('egoistic', 'altruistic')",0.9997484,0.789489,-0.2102594
