,morphology_male,morphology_female,tuple,average_male,average_female,female-male
0,0.24781744,0.12620941,"('unsociable', 'sociable')",0.2478174,0.1262094,-0.121608
1,0.60381526,0.5017123,"('unfriendly', 'friendly')",0.6038153,0.5017123,-0.102103
2,0.060422935,0.24190603,"('unlikable', 'likable')",0.0604229,0.241906,0.1814831
3,0.9846903,1.0173005,"('repellent', 'pleasant')",0.9846903,1.0173005,0.0326102
4,-7.13452,-7.3091683,"('disliked', 'liked')",-7.1345201,-7.3091683,-0.1746482
5,-0.87963915,-0.83633834,"('distant', 'outgoing')",-0.8796391,-0.8363383,0.0433008
6,-0.39170724,-0.43224218,"('distant', 'open')",-0.3917072,-0.4322422,-0.040535
7,1.0695531,0.9987233,"('insensitive', 'sensitive')",1.0695531,0.9987233,-0.0708298
8,0.5729626,0.52341557,"('unaffectionate', 'affectionate')",0.5729626,0.5234156,-0.049547
9,1.0638982,1.117026,"('unaffectionate', 'caring')",1.0638982,1.117026,0.0531278
10,1.390144,1.3734666,"('unsympathetic', 'sympathetic')",1.390144,1.3734666,-0.0166774
11,1.7185948,1.7366831,"('unhelpful', 'helpful')",1.7185948,1.7366831,0.0180883
12,-1.570682,-1.5980021,"('unsupportive', 'supportive')",-1.570682,-1.5980021,-0.0273201
13,0.23642948,0.23467413,"('impolite', 'polite')",0.2364295,0.2346741,-0.0017554
14,0.18982866,0.07026116,"('antisocial', 'social')",0.1898287,0.0702612,-0.1195675
15,0.019070307,-0.06818916,"('boring', 'funny')",0.0190703,-0.0681892,-0.0872595
16,-0.52297014,-0.50105375,"('unpopular', 'popular')",-0.5229701,-0.5010538,0.0219163
17,-0.1770571,-0.17394517,"('nasty', 'nice')",-0.1770571,-0.1739452,0.0031119
18,-0.5034182,-0.48020083,"('disagreeable', 'welcoming')",-0.5034182,-0.4802008,0.0232174
19,-1.1580305,-1.1358793,"('inhospitable', 'hospitable')",-1.1580305,-1.1358793,0.0221512
20,0.9784847,0.8641226,"('rough', 'thoughtful')",0.9784847,0.8641226,-0.1143621
21,0.056166254,0.17513153,"('immoral', 'moral')",0.0561663,0.1751315,0.1189652
22,-0.11714226,-0.14285497,"('untrustworthy', 'trustworthy')",-0.1171423,-0.142855,-0.0257127
23,5.6722245,5.718707,"('insincere', 'sincere')",5.6722245,5.7187071,0.0464826
24,1.371659,1.3215322,"('dishonest', 'honest')",1.371659,1.3215322,-0.0501268
25,0.18738079,0.21807355,"('egoistic', 'altruistic')",0.1873808,0.2180735,0.0306927
26,0.57829237,0.32819933,"('hardhearted', 'benevolent')",0.5782924,0.3281993,-0.2500931
27,1.5765799,1.3619395,"('hardhearted', 'softhearted')",1.5765799,1.3619395,-0.2146404
28,0.85868204,0.7967982,"('disloyal', 'loyal')",0.858682,0.7967982,-0.0618838
