,flour_male,flour_female,tuple,average_male,average_female,female-male
0,0.13411655,0.16607665,"('unsociable', 'sociable')",0.1341165,0.1660766,0.0319601
1,1.2879573,1.1948215,"('unfriendly', 'friendly')",1.2879573,1.1948215,-0.0931358
2,0.03269118,0.09501077,"('unlikable', 'likable')",0.0326912,0.0950108,0.0623196
3,0.48887825,0.6911626,"('repellent', 'pleasant')",0.4888783,0.6911626,0.2022843
4,-7.0903873,-7.2167783,"('disliked', 'liked')",-7.0903873,-7.2167783,-0.126391
5,-0.5872553,-0.65828997,"('distant', 'outgoing')",-0.5872553,-0.65829,-0.0710347
6,-0.16585568,-0.3267899,"('distant', 'open')",-0.1658557,-0.3267899,-0.1609342
7,1.0932109,1.2421418,"('insensitive', 'sensitive')",1.0932109,1.2421418,0.1489309
8,1.3102677,1.1119541,"('unaffectionate', 'affectionate')",1.3102677,1.1119541,-0.1983136
9,1.7274808,1.7106283,"('unaffectionate', 'caring')",1.7274808,1.7106283,-0.0168525
10,0.9468012,1.1636719,"('unsympathetic', 'sympathetic')",0.9468012,1.1636719,0.2168707
11,1.4174482,1.59642,"('unhelpful', 'helpful')",1.4174482,1.59642,0.1789718
12,-1.4332702,-1.3567793,"('unsupportive', 'supportive')",-1.4332702,-1.3567793,0.0764909
13,-0.017126992,0.15512258,"('impolite', 'polite')",-0.017127,0.1551226,0.1722496
14,0.059793998,0.13328023,"('antisocial', 'social')",0.059794,0.1332802,0.0734862
15,0.40940312,0.2511274,"('boring', 'funny')",0.4094031,0.2511274,-0.1582757
16,-0.13514048,-0.20469417,"('unpopular', 'popular')",-0.1351405,-0.2046942,-0.0695537
17,-0.37513012,-0.36519152,"('nasty', 'nice')",-0.3751301,-0.3651915,0.0099386
18,-1.0231435,-0.94783014,"('disagreeable', 'welcoming')",-1.0231435,-0.9478301,0.0753134
19,-0.7328125,-0.8128678,"('inhospitable', 'hospitable')",-0.7328125,-0.8128678,-0.0800553
20,0.976954,0.96683127,"('rough', 'thoughtful')",0.976954,0.9668313,-0.0101227
21,-0.33007106,-0.020440541,"('immoral', 'moral')",-0.3300711,-0.0204405,0.3096306
22,-0.62491596,-0.51850563,"('untrustworthy', 'trustworthy')",-0.624916,-0.5185056,0.1064104
23,5.846715,6.0703735,"('insincere', 'sincere')",5.846715,6.0703735,0.2236585
24,1.297117,1.3274566,"('dishonest', 'honest')",1.297117,1.3274566,0.0303396
25,0.6550673,0.5827281,"('egoistic', 'altruistic')",0.6550673,0.5827281,-0.0723392
